"fipscode","state","jurisdiction","clinton","trump","johnson","stein","other","totalvotes"
1001,"Alabama","Autauga",5936,18172,546,105,214,24973
1003,"Alabama","Baldwin",18458,72883,2464,456,954,95215
1005,"Alabama","Barbour",4871,5454,93,18,33,10469
1007,"Alabama","Bibb",1874,6738,124,17,66,8819
1009,"Alabama","Blount",2156,22859,338,89,146,25588
1011,"Alabama","Bullock",3530,1140,22,10,8,4710
1013,"Alabama","Butler",3726,4901,65,13,27,8732
1015,"Alabama","Calhoun",13242,32865,1116,262,379,47864
1017,"Alabama","Chambers",5784,7843,168,44,61,13900
1019,"Alabama","Cherokee",1547,8953,147,26,60,10733
1021,"Alabama","Chilton",2911,15081,228,52,97,18369
1023,"Alabama","Choctaw",3109,4106,52,6,19,7292
1025,"Alabama","Clarke",5749,7140,99,17,26,13031
1027,"Alabama","Clay",1237,5245,93,16,33,6624
1029,"Alabama","Cleburne",684,5764,90,20,35,6593
1031,"Alabama","Coffee",4221,15875,396,104,171,20767
1033,"Alabama","Colbert",7312,16746,511,107,239,24915
1035,"Alabama","Conecuh",3080,3420,51,10,24,6585
1037,"Alabama","Coosa",1782,3381,53,14,22,5252
1039,"Alabama","Covington",2387,13267,183,36,67,15940
1041,"Alabama","Crenshaw",1664,4513,65,14,11,6267
1043,"Alabama","Cullman",3798,32989,687,134,265,37873
1045,"Alabama","Dale",4413,13808,350,62,116,18749
1047,"Alabama","Dallas",12836,5789,96,24,47,18792
1049,"Alabama","DeKalb",3622,21405,458,152,189,25826
1051,"Alabama","Elmore",8443,27634,738,112,333,37260
1053,"Alabama","Escambia",4605,9935,188,37,80,14845
1055,"Alabama","Etowah",10442,32353,835,164,370,44164
1057,"Alabama","Fayette",1362,6712,109,24,42,8249
1059,"Alabama","Franklin",2197,9466,238,54,85,12040
1061,"Alabama","Geneva",1525,9994,149,24,66,11758
1063,"Alabama","Greene",4013,838,13,5,11,4880
1065,"Alabama","Hale",4775,3173,54,12,26,8040
1067,"Alabama","Henry",2292,5632,91,17,40,8072
1069,"Alabama","Houston",10664,30728,779,144,324,42639
1071,"Alabama","Jackson",3673,16672,393,90,156,20984
1073,"Alabama","Jefferson",156873,134768,6645,1554,4351,304191
1075,"Alabama","Lamar",1036,5823,62,15,30,6966
1077,"Alabama","Lauderdale",9952,27899,987,222,465,39525
1079,"Alabama","Lawrence",3627,10833,250,31,88,14829
1081,"Alabama","Lee",21230,34617,2030,364,950,59191
1083,"Alabama","Limestone",9468,29067,1055,202,502,40294
1085,"Alabama","Lowndes",4883,1751,32,11,7,6684
1087,"Alabama","Macon",7566,1431,69,49,25,9140
1089,"Alabama","Madison",62822,89520,6621,1254,3172,163389
1091,"Alabama","Marengo",5615,5233,104,13,29,10994
1093,"Alabama","Marion",1432,11274,181,26,71,12984
1095,"Alabama","Marshall",4917,29233,678,158,330,35316
1097,"Alabama","Mobile",72186,95116,3291,791,1353,172737
1099,"Alabama","Monroe",4332,5795,88,17,39,10271
1101,"Alabama","Montgomery",58916,34003,1486,490,983,95878
1103,"Alabama","Morgan",11254,37486,1168,218,518,50644
1105,"Alabama","Perry",3824,1407,23,6,18,5278
1107,"Alabama","Pickens",3972,5456,49,19,46,9542
1109,"Alabama","Pike",5056,7693,257,48,114,13168
1111,"Alabama","Randolph",2291,7705,124,19,48,10187
1113,"Alabama","Russell",9579,9210,281,68,118,19256
1115,"Alabama","St Clair",5589,31651,684,130,346,38400
1117,"Alabama","Shelby",22977,73020,2965,480,1812,101254
1119,"Alabama","Sumter",4746,1581,57,14,13,6411
1121,"Alabama","Talladega",12121,20614,411,106,155,33407
1123,"Alabama","Tallapoosa",5519,13594,233,52,88,19486
1125,"Alabama","Tuscaloosa",31762,47723,1873,390,952,82700
1127,"Alabama","Walker",4497,24266,455,95,159,29472
1129,"Alabama","Washington",2374,6042,73,22,22,8533
1131,"Alabama","Wilcox",4339,1742,22,7,13,6123
1133,"Alabama","Winston",872,9228,131,29,53,10313
4001,"Arizona","Apache",17083,8240,1221,469,106,27119
4003,"Arizona","Cochise",17450,28092,2394,993,455,49384
4005,"Arizona","Coconino",32404,21108,2978,1414,536,58440
4007,"Arizona","Gila",7003,14182,803,212,112,22312
4009,"Arizona","Graham",3301,8025,497,116,195,12134
4011,"Arizona","Greenlee",1092,1892,200,59,27,3270
4012,"Arizona","LaPaz",1575,4003,211,73,15,5877
4013,"Arizona","Maricopa",702907,747361,67043,19432,12355,1549098
4015,"Arizona","Mohave",17455,58282,2639,740,230,79346
4017,"Arizona","Navajo",16459,20577,1410,703,505,39654
4019,"Arizona","Pima",224661,167428,15620,6200,2509,416418
4021,"Arizona","Pinal",47892,72819,5010,1476,1057,128254
4023,"Arizona","SantaCruz",11690,3897,432,221,47,16287
4025,"Arizona","Yavapai",35590,71330,3996,1588,652,113156
4027,"Arizona","Yuma",24605,25165,1873,649,124,52416
5001,"Arkansas","Arkansas",1939,3826,126,64,257,6212
5003,"Arkansas","Ashley",2408,5338,156,34,147,8083
5005,"Arkansas","Baxter",4169,14682,452,140,323,19766
5007,"Arkansas","Benton",28005,60871,3871,949,3128,96824
5009,"Arkansas","Boone",2926,12235,379,134,437,16111
5011,"Arkansas","Bradley",1317,2164,73,16,83,3653
5013,"Arkansas","Calhoun",639,1556,44,3,27,2269
5015,"Arkansas","Carroll",3342,6786,238,210,182,10758
5017,"Arkansas","Chicot",2350,1716,35,15,60,4176
5019,"Arkansas","Clark",3620,4404,196,68,238,8526
5021,"Arkansas","Clay",1199,3781,100,35,85,5200
5023,"Arkansas","Cleburne",2101,9458,229,63,234,12085
5025,"Arkansas","Cleveland",723,2462,59,8,102,3354
5027,"Arkansas","Columbia",3140,5456,117,40,134,8887
5029,"Arkansas","Conway",2656,4849,171,43,208,7927
5031,"Arkansas","Craighead",10538,22892,1031,304,808,35573
5033,"Arkansas","Crawford",4488,16686,581,173,522,22450
5035,"Arkansas","Crittenden",8410,6964,242,96,240,15952
5037,"Arkansas","Cross",1999,4584,105,24,162,6874
5039,"Arkansas","Dallas",1165,1509,26,12,59,2771
5041,"Arkansas","Desha",2228,1919,44,4,62,4257
5043,"Arkansas","Drew",2365,3968,111,43,108,6595
5045,"Arkansas","Faulkner",14629,29346,1675,511,1366,47527
5047,"Arkansas","Franklin",1376,5039,177,34,144,6770
5049,"Arkansas","Fulton",1067,3471,107,41,86,4772
5051,"Arkansas","Garland",12311,26087,989,387,1031,40805
5053,"Arkansas","Grant",1373,5725,177,30,140,7445
5055,"Arkansas","Greene",3071,10720,404,97,308,14600
5057,"Arkansas","Hempstead",2377,4401,106,22,143,7049
5059,"Arkansas","Hot Spring",3149,8172,239,112,272,11944
5061,"Arkansas","Howard",1351,3157,60,22,84,4674
5063,"Arkansas","Independence",2881,9936,352,85,360,13614
5065,"Arkansas","Izard",1113,4042,125,45,123,5448
5067,"Arkansas","Jackson",1583,3267,111,26,169,5156
5069,"Arkansas","Jefferson",15772,9250,296,157,419,25894
5071,"Arkansas","Johnson",2427,6091,294,90,210,9112
5073,"Arkansas","Lafayette",1032,1758,26,5,39,2860
5075,"Arkansas","Lawrence",1263,4064,165,39,154,5685
5077,"Arkansas","Lee",1735,1229,22,6,34,3026
5079,"Arkansas","Lincoln",1252,2455,48,16,55,3826
5081,"Arkansas","Little River",1397,3605,85,14,126,5227
5083,"Arkansas","Logan",1715,5746,195,54,211,7921
5085,"Arkansas","Lonoke",5664,19958,767,172,539,27100
5087,"Arkansas","Madison",1588,4928,144,54,127,6841
5089,"Arkansas","Marion",1434,5336,157,56,124,7107
5091,"Arkansas","Miller",4273,11294,237,69,218,16091
5093,"Arkansas","Mississippi",5670,7061,181,65,227,13204
5095,"Arkansas","Monroe",1312,1489,37,9,37,2884
5097,"Arkansas","Montgomery",748,2643,52,33,83,3559
5099,"Arkansas","Nevada",1157,2000,35,6,48,3246
5101,"Arkansas","Newton",699,2875,49,69,61,3753
5103,"Arkansas","Ouachita",4321,5351,97,24,142,9935
5105,"Arkansas","Perry",1049,3008,113,38,98,4306
5107,"Arkansas","Phillips",4310,2446,62,20,115,6953
5109,"Arkansas","Pike",685,3150,73,8,65,3981
5111,"Arkansas","Poinsett",1880,5502,154,34,152,7722
5113,"Arkansas","Polk",1212,6618,164,56,181,8231
5115,"Arkansas","Pope",5000,16256,618,225,470,22569
5117,"Arkansas","Prairie",814,2505,56,10,59,3444
5119,"Arkansas","Pulaski",89574,61257,4328,1553,3064,159776
5121,"Arkansas","Randolph",1425,4509,203,53,189,6379
5123,"Arkansas","St Francis",4031,3195,64,18,122,7430
5125,"Arkansas","Saline",13256,35863,1466,326,1189,52100
5127,"Arkansas","Scott",602,2731,83,25,69,3510
5129,"Arkansas","Searcy",601,2955,68,18,86,3728
5131,"Arkansas","Sebastian",12300,29127,1630,481,1099,44637
