Area,Region1,Region2,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Connecticut,Northeast,New England,1,0,0,0,0,0,0,0,0,0
Maine,Northeast,New England,0,0,0,0,0,0,0,0,0,0
Massachusetts,Northeast,New England,0,0,0,1,0,0,1,0,1,1
New Hampshire,Northeast,New England,0,0,1,1,0,0,0,0,1,0
Rhode Island,Northeast,New England,0,1,0,0,0,0,0,0,0,0
Vermont,Northeast,New England,0,0,0,0,0,0,0,0,0,0
New Jersey,Northeast,Middle Atlantic,0,0,1,2,0,1,0,2,0,0
New York,Northeast,Middle Atlantic,4,2,3,2,0,0,0,4,2,1
Pennsylvania,Northeast,Middle Atlantic,3,2,2,1,3,6,2,4,2,0
Illinois,Midwest,East North Central,1,0,2,1,3,2,4,1,0,1
Indiana,Midwest,East North Central,2,0,1,3,0,0,0,2,0,1
Michigan,Midwest,East North Central,4,1,1,1,1,0,3,4,1,1
Ohio,Midwest,East North Central,1,2,1,2,2,0,1,4,1,0
Wisconsin,Midwest,East North Central,1,0,0,1,0,0,0,1,0,0
Iowa,Midwest,West North Central,0,0,0,0,0,0,0,1,0,1
Kansas,Midwest,West North Central,0,2,1,0,0,1,0,1,2,0
Minnesota,Midwest,West North Central,0,2,0,0,0,1,2,1,1,0
Missouri,Midwest,West North Central,1,3,0,1,3,0,0,3,1,0
Nebraska,Midwest,West North Central,0,0,0,0,0,0,0,0,0,0
North Dakota,Midwest,West North Central,0,0,0,0,0,0,0,1,0,0
South Dakota,Midwest,West North Central,0,0,0,0,0,1,0,2,0,0
Delaware,South,South Atlantic,0,0,0,0,0,1,0,1,0,0
District of Columbia,South,South Atlantic,1,0,1,0,0,0,0,0,0,0
Florida,South,South Atlantic,3,2,3,6,3,3,4,6,2,2
Georgia,South,South Atlantic,1,5,2,0,2,0,5,3,1,0
Maryland,South,South Atlantic,1,1,0,2,1,0,1,0,0,1
North Carolina,South,South Atlantic,3,1,0,3,2,3,1,2,3,0
South Carolina,South,South Atlantic,1,1,0,3,2,0,0,2,1,0
Virginia,South,South Atlantic,0,3,4,0,3,0,0,3,0,1
West Virginia,South,South Atlantic,0,0,1,0,0,0,0,1,3,1
Alabama,South,East South Central,5,1,2,1,0,4,1,1,2,0
Kentucky,South,East South Central,0,2,0,1,1,0,0,0,1,1
Mississippi,South,East South Central,0,6,1,0,0,0,3,1,1,2
Tennessee,South,East South Central,3,0,1,1,1,1,0,4,1,0
Arkansas,South,West South Central,0,0,1,1,0,1,2,1,0,0
Louisiana,South,West South Central,6,2,2,5,2,0,3,0,2,1
Oklahoma,South,West South Central,0,1,1,0,0,2,0,0,0,0
Texas,South,West South Central,3,3,3,9,3,6,2,4,5,6
Arizona,West,Mountain,2,1,0,3,2,0,5,3,2,0
Colorado,West,Mountain,0,1,2,0,0,1,1,2,1,0
Idaho,West,Mountain,0,0,0,1,0,0,0,0,0,0
Montana,West,Mountain,0,0,0,0,0,0,2,0,0,0
Nevada,West,Mountain,0,0,1,0,0,0,1,0,1,0
New Mexico,West,Mountain,1,2,1,0,0,1,0,0,0,0
Utah,West,Mountain,0,0,0,0,0,0,2,0,1,1
Wyoming,West,Mountain,0,0,0,0,0,0,0,0,0,0
Alaska,West,Pacific,0,0,0,0,0,0,2,0,0,0
California,West,Pacific,5,6,6,4,3,5,5,3,2,5
Hawaii,West,Pacific,0,0,0,1,0,0,0,0,0,0
Oregon,West,Pacific,0,0,0,0,2,0,0,2,0,0
Washington,West,Pacific,1,0,1,0,2,6,0,0,2,0
American Samoa,Other,Other,0,0,0,0,0,0,0,0,0,0
Guam,Other,Other,0,0,0,0,0,0,0,0,0,0
Mariana Islands,Other,Other,0,0,0,0,0,0,0,0,0,0
Puerto Rico,Other,Other,2,2,2,1,0,2,3,2,5,0
U.S. Virgin Islands,Other,Other,1,0,0,0,0,0,0,0,1,0
