"athlete","gender","age","sport","gold","silver","bronze","total","id","season","year","country"
"Kayum Ayub","Male",21,"Wrestling",0,0,0,0,"kayum-ayub-1","summer","1968","Afghanistan"
"Aka-Jahan Dastagir","Male",22,"Wrestling",0,0,0,0,"aka-jahan-dastagir-1","summer","1968","Afghanistan"
"Ghulam Dastagir","Male",23,"Wrestling",0,0,0,0,"ghulam-dastagir-1","summer","1968","Afghanistan"
"Ahmad Djan","Male",20,"Wrestling",0,0,0,0,"ahmad-djan-1","summer","1968","Afghanistan"
"Mohammad Ebrahimi","Male",30,"Wrestling",0,0,0,0,"mohammad-ebrahimi-1","summer","1968","Afghanistan"
"Rabah Labiod","Male",20,"Boxing",0,0,0,0,"rabah-labiod-1","summer","1968","Algeria"
"Larbi Lazhari","Male",27,"Gymnastics",0,0,0,0,"larbi-lazhari-1","summer","1968","Algeria"
"Ali Mebarki","Male",23,"Boxing",0,0,0,0,"ali-mebarki-1","summer","1968","Algeria"
"Alberto Demiddi","Male",24,"Rowing",0,0,1,1,"alberto-demiddi-1","summer","1968","Argentina"
"Mario Guilloti","Male",22,"Boxing",0,0,1,1,"mario-guilloti-1","summer","1968","Argentina"
"Hugo Aberastegui","Male",27,"Rowing",0,0,0,0,"hugo-aberastegui-1","summer","1968","Argentina"
"José Eugenio Acosta","Male",26,"Equestrianism",0,0,0,0,"jose-eugenio-acosta-1","summer","1968","Argentina"
"Pedro Agüero","Male",19,"Boxing",0,0,0,0,"pedro-aguero-1","summer","1968","Argentina"
"Carlos Miguel Álvarez","Male",25,"Cycling",0,0,0,0,"carlos-miguel-alvarez-1","summer","1968","Argentina"
"Juan Alves","Male",29,"Cycling",0,0,0,0,"juan-alves-1","summer","1968","Argentina"
"Domingo Amaizón","Male",32,"Athletics",0,0,0,0,"domingo-amaizon-1","summer","1968","Argentina"
"Jorge Amaya","Male",34,"Equestrianism",0,0,0,0,"jorge-amaya-1","summer","1968","Argentina"
"Eduardo Anderson","Male",18,"Hockey",0,0,0,0,"eduardo-anderson-1","summer","1968","Argentina"
"Alberto Balestrini","Male",37,"Fencing",0,0,0,0,"alberto-balestrini-1","summer","1968","Argentina"
"Leonardo Baremboin","Male",18,"Swimming",0,0,0,0,"leonardo-baremboin-1","summer","1968","Argentina"
"Enrico Barney","Male",27,"Athletics",0,0,0,0,"enrico-barney-1","summer","1968","Argentina"
"Jorge Bedoya","Male",38,"Equestrianism",0,0,0,0,"jorge-bedoya-1","summer","1968","Argentina"
"Boris Belada","Male",48,"Sailing",0,0,0,0,"boris-belada-1","summer","1968","Argentina"
"Osvaldo Boretto","Male",16,"Swimming",0,0,0,0,"osvaldo-boretto-1","summer","1968","Argentina"
"Roberto Breppe","Male",27,"Cycling",0,0,0,0,"roberto-breppe-1","summer","1968","Argentina"
"Andrés Calonge","Male",23,"Athletics",0,0,0,0,"andres-calonge-1","summer","1968","Argentina"
"Fernando Calp","Male",22,"Hockey",0,0,0,0,"fernando-calp-1","summer","1968","Argentina"
"Domingo Casco","Male",20,"Boxing",0,0,0,0,"domingo-casco-1","summer","1968","Argentina"
"Héctor Cassina","Male",25,"Cycling",0,0,0,0,"hector-cassina-1","summer","1968","Argentina"
"Gerardo Cavallieri","Male",NA,"Cycling",0,0,0,0,"gerardo-cavallieri-1","summer","1968","Argentina"
"Oscar Cervo","Male",48,"Shooting",0,0,0,0,"oscar-cervo-1","summer","1968","Argentina"
"Armando Cicognini","Male",25,"Hockey",0,0,0,0,"armando-cicognini-1","summer","1968","Argentina"
"Adriana Comolli","Female",16,"Swimming",0,0,0,0,"adriana-comolli-1","summer","1968","Argentina"
"Ernesto Contreras","Male",31,"Cycling",0,0,0,0,"ernesto-contreras-1","summer","1968","Argentina"
"Guillermo Cuello","Male",27,"Athletics",0,0,0,0,"guillermo-cuello-1","summer","1968","Argentina"
"Carlos D'Elia","Male",45,"Equestrianism",0,0,0,0,"carlos-delia-1","summer","1968","Argentina"
"Alberto Disera","Male",26,"Hockey",0,0,0,0,"alberto-disera-1","summer","1968","Argentina"
"Juan Carlos Dyrzka","Male",27,"Athletics",0,0,0,0,"juan-carlos-dyrzka-1","summer","1968","Argentina"
"Alberto Forelli","Male",22,"Swimming",0,0,0,0,"alberto-forelli-1","summer","1968","Argentina"
"Juan Carlos Frecia","Male",38,"Fencing",0,0,0,0,"juan-carlos-frecia-1","summer","1968","Argentina"
"Víctor Galíndez","Male",19,"Boxing",0,0,0,0,"victor-galindez-1","summer","1968","Argentina"
"Miguel García","Male",23,"Boxing",0,0,0,0,"miguel-garcia-1","summer","1968","Argentina"
"Jorge Giannini","Male",20,"Hockey",0,0,0,0,"jorge-giannini-1","summer","1968","Argentina"
"Juan Carlos Gómez","Male",36,"Rowing",0,0,0,0,"juan-carlos-gomez-1","summer","1968","Argentina"
"Julio Graffigna","Male",37,"Wrestling",0,0,0,0,"julio-graffigna-1","summer","1968","Argentina"
