"athlete","gender","age","sport","gold","silver","bronze","total","id","season","year","country"
"Suela Mëhilli","Female",20,"Alpine Skiing",0,0,0,0,"suela-mehilli-1","winter","2014","Albania"
"Mireia Gutiérrez","Female",25,"Alpine Skiing",0,0,0,0,"mireia-gutierrez-1","winter","2014","Andorra"
"Lluís Marín Tarroch","Male",25,"Snowboarding",0,0,0,0,"lluis-marin-tarroch-1","winter","2014","Andorra"
"Marc Oliveras","Male",22,"Alpine Skiing",0,0,0,0,"marc-oliveras-1","winter","2014","Andorra"
"Kevin Esteve Rigail","Male",24,"Alpine Skiing",0,0,0,0,"kevin-esteve-rigail-1","winter","2014","Andorra"
"Laure Soulié","Female",26,"Biathlon",0,0,0,0,"laure-soulie-1","winter","2014","Andorra"
"Joan Verdú","Male",18,"Alpine Skiing",0,0,0,0,"joan-verdu-1","winter","2014","Andorra"
"Salomé Báncora","Female",20,"Alpine Skiing",0,0,0,0,"salome-bancora-1","winter","2014","Argentina"
"Jorge Birkner","Male",23,"Alpine Skiing",0,0,0,0,"jorge-birkner-2","winter","2014","Argentina"
"Federico Cichero","Male",30,"Cross Country Skiing",0,0,0,0,"federico-cichero-1","winter","2014","Argentina"
"Sebastiano Gastaldi","Male",22,"Alpine Skiing",0,0,0,0,"sebastiano-gastaldi-1","winter","2014","Argentina"
"Julietta Quiroga","Female",25,"Alpine Skiing",0,0,0,0,"julietta-quiroga-1","winter","2014","Argentina"
"Cristian Simari Birkner","Male",33,"Alpine Skiing",0,0,0,0,"cristian-simari-birkner-1","winter","2014","Argentina"
"Macarena Simari Birkner","Female",29,"Alpine Skiing",0,0,0,0,"macarena-simari-birkner-1","winter","2014","Argentina"
"Katya Galstyan","Female",21,"Cross Country Skiing",0,0,0,0,"katya-galstyan-1","winter","2014","Armenia"
"Sergey Mikayelyan","Male",21,"Cross Country Skiing",0,0,0,0,"sergey-mikayelyan-1","winter","2014","Armenia"
"Arman Serebrakyan","Male",26,"Alpine Skiing",0,0,0,0,"arman-serebrakyan-1","winter","2014","Armenia"
"Artur Yeghoyan","Male",23,"Cross Country Skiing",0,0,0,0,"artur-yeghoyan-1","winter","2014","Armenia"
"Torah Bright","Female",27,"Snowboarding",0,1,0,1,"torah-bright-1","winter","2014","Australia"
"David Morris","Male",29,"Freestyle Skiing",0,1,0,1,"david-morris-1","winter","2014","Australia"
"Lydia Ierodiaconou-Lassila","Female",32,"Freestyle Skiing",0,0,1,1,"lydia-ierodiaconou-lassila-1","winter","2014","Australia"
"Alexei Almoukov","Male",23,"Biathlon",0,0,0,0,"alexei-almoukov-1","winter","2014","Australia"
"Emily Bamford","Female",21,"Alpine Skiing",0,0,0,0,"emily-bamford-1","winter","2014","Australia"
"Dale Begg-Smith","Male",29,"Freestyle Skiing",0,0,0,0,"dale-begg-smith-1","winter","2014","Australia"
"Phil Bellingham","Male",22,"Cross Country Skiing",0,0,0,0,"phil-bellingham-1","winter","2014","Australia"
"Pierre Boda","Male",20,"Short Track Speed Skating",0,0,0,0,"pierre-boda-1","winter","2014","Australia"
"Cam Bolton","Male",23,"Snowboarding",0,0,0,0,"cam-bolton-1","winter","2014","Australia"
"Esther Bottomley","Female",30,"Cross Country Skiing",0,0,0,0,"esther-bottomley-1","winter","2014","Australia"
"Belle Brockhoff","Female",21,"Snowboarding",0,0,0,0,"belle-brockhoff-1","winter","2014","Australia"
"Kent Callister","Male",18,"Snowboarding",0,0,0,0,"kent-callister-1","winter","2014","Australia"
"Lucy Chaffer","Female",30,"Skeleton",0,0,0,0,"lucy-chaffer-1","winter","2014","Australia"
"Lavinia Chrystal","Female",24,"Alpine Skiing",0,0,0,0,"lavinia-chrystal-1","winter","2014","Australia"
"Britteny Cox","Female",19,"Freestyle Skiing",0,0,0,0,"britteny-cox-1","winter","2014","Australia"
"Holly Crawford","Female",29,"Snowboarding",0,0,0,0,"holly-crawford-1","winter","2014","Australia"
