"Fipscode","State","Geographic.area","Population","Land.Area.in.square.miles"
4001,"Arizona","Apache",71518,11197.52
4003,"Arizona","Cochise",131346,6165.69
4005,"Arizona","Coconino",134421,18618.89
4007,"Arizona","Gila",53597,4757.93
4009,"Arizona","Graham",37220,4622.6
4011,"Arizona","Greenlee",8437,1843.13
4012,"Arizona","LaPaz",20489,4499.63
4013,"Arizona","Maricopa",3817117,9200.14
4015,"Arizona","Mohave",200186,13311.08
4017,"Arizona","Navajo",107449,9950.42
4019,"Arizona","Pima",980263,9187.04
4021,"Arizona","Pinal",375770,5365.61
4023,"Arizona","SantaCruz",47420,1236.92
4025,"Arizona","Yavapai",211033,8123.5
4027,"Arizona","Yuma",195751,5513.99
