"Fipscode","State","Geographic.area","Population","Land.Area.in.square.miles"
5001,"Arkansas","Arkansas",19019,988.77
5003,"Arkansas","Ashley",21853,925.35
5005,"Arkansas","Baxter",41513,554.28
5007,"Arkansas","Benton",221339,847.36
5009,"Arkansas","Boone",36903,590.23
5011,"Arkansas","Bradley",11508,649.23
5013,"Arkansas","Calhoun",5368,628.58
5015,"Arkansas","Carroll",27446,630.09
5017,"Arkansas","Chicot",11800,644.3
5019,"Arkansas","Clark",22995,866.07
5021,"Arkansas","Clay",16083,639.46
5023,"Arkansas","Cleburne",25970,553.69
5025,"Arkansas","Cleveland",8689,597.78
5027,"Arkansas","Columbia",24552,766.05
5029,"Arkansas","Conway",21273,552.25
5031,"Arkansas","Craighead",96443,707.21
5033,"Arkansas","Crawford",61948,593.09
5035,"Arkansas","Crittenden",50902,609.76
5037,"Arkansas","Cross",17870,616.38
5039,"Arkansas","Dallas",8116,667.39
5041,"Arkansas","Desha",13008,768.15
5043,"Arkansas","Drew",18509,828.36
5045,"Arkansas","Faulkner",113237,647.88
5047,"Arkansas","Franklin",18125,608.86
5049,"Arkansas","Fulton",12245,618.19
5051,"Arkansas","Garland",96024,677.78
5053,"Arkansas","Grant",17853,631.81
5055,"Arkansas","Greene",42090,577.7
5057,"Arkansas","Hempstead",22609,727.52
5059,"Arkansas","Hot Spring",32923,615.2
5061,"Arkansas","Howard",13789,588.55
5063,"Arkansas","Independence",36647,763.95
5065,"Arkansas","Izard",13696,580.58
5067,"Arkansas","Jackson",17997,633.94
5069,"Arkansas","Jefferson",77435,870.75
5071,"Arkansas","Johnson",25540,659.8
5073,"Arkansas","Lafayette",7645,528.27
5075,"Arkansas","Lawrence",17415,587.61
5077,"Arkansas","Lee",10424,602.62
5079,"Arkansas","Lincoln",14134,561.52
5081,"Arkansas","Little River",13171,532.25
5083,"Arkansas","Logan",22353,708.12
5085,"Arkansas","Lonoke",68356,770.73
5087,"Arkansas","Madison",15717,834.26
5089,"Arkansas","Marion",16653,597.01
5091,"Arkansas","Miller",43462,625.58
5093,"Arkansas","Mississippi",46480,900.57
5095,"Arkansas","Monroe",8149,607.12
5097,"Arkansas","Montgomery",9487,779.88
5099,"Arkansas","Nevada",8997,617.84
5101,"Arkansas","Newton",8330,820.9
5103,"Arkansas","Ouachita",26120,732.78
5105,"Arkansas","Perry",10445,551.4
5107,"Arkansas","Phillips",21757,695.66
5109,"Arkansas","Pike",11291,600.62
5111,"Arkansas","Poinsett",24583,758.39
5113,"Arkansas","Polk",20662,857.68
5115,"Arkansas","Pope",61754,812.55
5117,"Arkansas","Prairie",8715,647.96
5119,"Arkansas","Pulaski",382748,759.76
5121,"Arkansas","Randolph",17969,652.19
5123,"Arkansas","St Francis",28258,634.77
5125,"Arkansas","Saline",107118,723.6
5127,"Arkansas","Scott",11233,892.32
5129,"Arkansas","Searcy",8195,666.09
5131,"Arkansas","Sebastian",125744,531.91
5133,"Arkansas","Sevier",17058,565.13
5135,"Arkansas","Sharp",17264,604.44
5137,"Arkansas","Stone",12394,606.4
5139,"Arkansas","Union",41639,1039.21
5141,"Arkansas","Van Buren",17295,708.14
5143,"Arkansas","Washington",203065,941.97
5145,"Arkansas","White",77076,1035.08
5147,"Arkansas","Woodruff",7260,586.79
5149,"Arkansas","Yell",22185,929.98
