"Fipscode","State","Geographic.area","Population","Land.Area.in.square.miles"
8001,"Colorado","Adams",441603,1167.65
8003,"Colorado","Alamosa",15445,722.64
8005,"Colorado","Arapahoe",572003,798.1
8007,"Colorado","Archuleta",12084,1350.18
8009,"Colorado","Baca",3788,2554.97
8011,"Colorado","Bent",6499,1512.86
8013,"Colorado","Boulder",294567,726.29
8014,"Colorado","Broomfield",55889,33.03
8015,"Colorado","Chaffee",17809,1013.4
8017,"Colorado","Cheyenne",1836,1778.28
8019,"Colorado","Clear Creek",9088,395.23
8021,"Colorado","Conejos",8256,1287.39
8023,"Colorado","Costilla",3524,1226.95
8025,"Colorado","Crowley",5823,787.42
8027,"Colorado","Custer",4255,738.63
8029,"Colorado","Delta",30952,1142.05
8031,"Colorado","Denver",600158,153
8033,"Colorado","Dolores",2064,1067.05
8035,"Colorado","Douglas",285465,840.25
8037,"Colorado","Eagle",52197,1684.53
8039,"Colorado","Elbert",23086,1850.85
8041,"Colorado","El Paso",622263,2126.8
8043,"Colorado","Fremont",46824,1533.07
8045,"Colorado","Garfield",56389,2947.56
8047,"Colorado","Gilpin",5441,149.9
8049,"Colorado","Grand",14843,1846.33
8051,"Colorado","Gunnison",15324,3239.1
8053,"Colorado","Hinsdale",843,1117.25
8055,"Colorado","Huerfano",6711,1591
8057,"Colorado","Jackson",1394,1613.72
8059,"Colorado","Jefferson",534543,764.21
8061,"Colorado","Kiowa",1398,1767.77
8063,"Colorado","Kit Carson",8270,2160.82
8065,"Colorado","Lake",7310,376.91
8067,"Colorado","La Plata",51334,1692.08
8069,"Colorado","Larimer",299630,2596
8071,"Colorado","Las Animas",15507,4772.67
8073,"Colorado","Lincoln",5467,2577.63
8075,"Colorado","Logan",22709,1838.55
8077,"Colorado","Mesa",146723,3328.97
8079,"Colorado","Mineral",712,875.67
8081,"Colorado","Moffat",13795,4743.29
8083,"Colorado","Montezuma",25535,2029.53
8085,"Colorado","Montrose",41276,2240.7
8087,"Colorado","Morgan",28159,1280.43
8089,"Colorado","Otero",18831,1261.96
8091,"Colorado","Ouray",4436,541.59
8093,"Colorado","Park",16206,2193.85
8095,"Colorado","Phillips",4442,687.93
8097,"Colorado","Pitkin",17148,970.7
8099,"Colorado","Prowers",12551,1638.39
8101,"Colorado","Pueblo",159063,2386.1
8103,"Colorado","Rio Blanco",6666,3220.93
8105,"Colorado","Rio Grande",11982,911.96
8107,"Colorado","Routt",23509,2362.03
8109,"Colorado","Saguache",6108,3168.52
8111,"Colorado","San Juan",699,387.49
8113,"Colorado","San Miguel",7359,1286.61
8115,"Colorado","Sedgwick",2379,548.04
8117,"Colorado","Summit",27994,608.36
8119,"Colorado","Teller",23350,557.06
8121,"Colorado","Washington",4814,2518.03
8123,"Colorado","Weld",252825,3987.24
8125,"Colorado","Yuma",10043,2364.4
