"Fipscode","State","Geographic.area","Population","Land.Area.in.square.miles"
12001,"Florida","Alachua",247336,875.02
12003,"Florida","Baker",27115,585.23
12005,"Florida","Bay",168852,758.46
12007,"Florida","Bradford",28520,293.96
12009,"Florida","Brevard",543376,1015.66
12011,"Florida","Broward",1748066,1209.79
12013,"Florida","Calhoun",14625,567.33
12015,"Florida","Charlotte",159978,680.28
12017,"Florida","Citrus",141236,581.7
12019,"Florida","Clay",190865,604.36
12021,"Florida","Collier",321520,1998.32
12023,"Florida","Columbia",67531,797.57
12027,"Florida","Desoto",34862,637.06
12029,"Florida","Dixie",16422,705.05
12031,"Florida","Duval",864263,762.19
12033,"Florida","Escambia",297619,656.46
12035,"Florida","Flagler",95696,485.46
12037,"Florida","Franklin",11549,534.72
12039,"Florida","Gadsden",46389,516.33
12041,"Florida","Gilchrist",16939,349.68
12043,"Florida","Glades",12884,806.01
12045,"Florida","Gulf",15863,564.01
12047,"Florida","Hamilton",14799,513.79
12049,"Florida","Hardee",27731,637.78
12051,"Florida","Hendry",39140,1152.75
12053,"Florida","Hernando",172778,472.54
12055,"Florida","Highlands",98786,1016.61
12057,"Florida","Hillsborough",1229226,1020.21
12059,"Florida","Holmes",19927,478.78
12061,"Florida","Indian River",138028,502.87
12063,"Florida","Jackson",49746,917.76
12065,"Florida","Jefferson",14761,598.1
12067,"Florida","Lafayette",8870,543.41
12069,"Florida","Lake",297052,938.38
12071,"Florida","Lee",618754,784.51
12073,"Florida","Leon",275487,666.85
12075,"Florida","Levy",40801,1118.21
12077,"Florida","Liberty",8365,835.56
12079,"Florida","Madison",19224,695.95
12081,"Florida","Manatee",322833,742.93
12083,"Florida","Marion",331298,1584.55
12085,"Florida","Martin",146318,543.46
12086,"Florida","Miami-Dade",2496435,1897.72
12087,"Florida","Monroe",73090,983.28
12089,"Florida","Nassau",73314,648.64
12091,"Florida","Okaloosa",180822,930.25
12093,"Florida","Okeechobee",39996,768.91
12095,"Florida","Orange",1145956,903.43
12097,"Florida","Osceola",268685,1327.45
12099,"Florida","Palm Beach",1320134,1969.76
12101,"Florida","Pasco",464697,746.89
12103,"Florida","Pinellas",916542,273.8
12105,"Florida","Polk",602095,1797.84
12107,"Florida","Putnam",74364,727.62
12109,"Florida","St. Johns",190039,600.66
12111,"Florida","St. Lucie",277789,571.93
12113,"Florida","Santa Rosa",151372,1011.6
12115,"Florida","Sarasota",379448,555.87
12117,"Florida","Seminole",422718,309.22
12119,"Florida","Sumter",93420,546.93
12121,"Florida","Suwannee",41551,688.55
12123,"Florida","Taylor",22570,1043.31
12125,"Florida","Union",15535,243.56
12127,"Florida","Volusia",494593,1101.03
12129,"Florida","Wakulla",30776,606.42
12131,"Florida","Walton",55043,1037.62
12133,"Florida","Washington",24896,582.8
