"Fipscode","State","Geographic.area","Population","Land.Area.in.square.miles"
17001,"Illinois","ADAMS",67103,855.2
17003,"Illinois","ALEXANDER",8238,235.51
17005,"Illinois","BOND",17768,380.28
17007,"Illinois","BOONE",54165,280.72
17009,"Illinois","BROWN",6937,305.61
17011,"Illinois","BUREAU",34978,869.03
17013,"Illinois","CALHOUN",5089,253.82
17015,"Illinois","CARROLL",15387,444.81
17017,"Illinois","CASS",13642,375.82
17019,"Illinois","CHAMPAIGN",201081,996.27
17021,"Illinois","CHRISTIAN",34800,709.38
17023,"Illinois","CLARK",16335,501.42
17025,"Illinois","CLAY",13815,468.32
17027,"Illinois","CLINTON",37762,474.09
17029,"Illinois","COLES",53873,508.29
17031,"Illinois","COOK",5194675,945.33
17033,"Illinois","CRAWFORD",19817,443.63
17035,"Illinois","CUMBERLAND",11048,346.02
17037,"Illinois","DEKALB",105160,631.31
17039,"Illinois","DEWITT",16561,397.51
17041,"Illinois","DOUGLAS",19980,416.66
17043,"Illinois","DUPAGE",916924,327.5
17045,"Illinois","EDGAR",18576,623.37
17047,"Illinois","EDWARDS",6721,222.42
17049,"Illinois","EFFINGHAM",34242,478.78
17051,"Illinois","FAYETTE",22140,716.48
17053,"Illinois","FORD",14081,485.62
17055,"Illinois","FRANKLIN",39561,408.89
17057,"Illinois","FULTON",37069,865.59
17059,"Illinois","GALLATIN",5589,323.07
17061,"Illinois","GREENE",13886,543.02
17063,"Illinois","GRUNDY",50063,418.04
17065,"Illinois","HAMILTON",8457,434.67
17067,"Illinois","HANCOCK",19104,793.73
17069,"Illinois","HARDIN",4320,177.53
17071,"Illinois","HENDERSON",7331,378.87
17073,"Illinois","HENRY",50486,822.99
17075,"Illinois","IROQUOIS",29718,1117.32
17077,"Illinois","JACKSON",60218,584.08
17079,"Illinois","JASPER",9698,494.51
17081,"Illinois","JEFFERSON",38827,571.17
17083,"Illinois","JERSEY",22985,369.27
17085,"Illinois","JODAVIESS",22678,601.09
17087,"Illinois","JOHNSON",12582,343.92
17089,"Illinois","KANE",515269,520.06
17091,"Illinois","KANKAKEE",113449,676.56
17093,"Illinois","KENDALL",114736,320.34
17095,"Illinois","KNOX",52919,716.39
17097,"Illinois","LAKE",703462,443.67
17099,"Illinois","LASALLE",113924,1135.12
17101,"Illinois","LAWRENCE",16833,372.18
17103,"Illinois","LEE",36031,724.9
17105,"Illinois","LIVINGSTON",38950,1044.29
17107,"Illinois","LOGAN",30305,618.06
17109,"Illinois","MCDONOUGH",32612,589.41
17111,"Illinois","MCHENRY",308760,603.17
17113,"Illinois","MCLEAN",169572,1183.38
17115,"Illinois","MACON",110768,580.69
17117,"Illinois","MACOUPIN",47765,862.91
17119,"Illinois","MADISON",269282,715.58
17121,"Illinois","MARION",39437,572.36
17123,"Illinois","MARSHALL",12640,386.79
17125,"Illinois","MASON",14666,539.24
17127,"Illinois","MASSAC",15429,237.22
17129,"Illinois","MENARD",12705,314.44
17131,"Illinois","MERCER",16434,561.2
17133,"Illinois","MONROE",32957,385.01
17135,"Illinois","MONTGOMERY",30104,703.69
17137,"Illinois","MORGAN",35547,568.79
17139,"Illinois","MOULTRIE",14846,335.94
17141,"Illinois","OGLE",53497,758.57
17143,"Illinois","PEORIA",186494,619.21
17145,"Illinois","PERRY",22350,441.76
17147,"Illinois","PIATT",16729,439.2
17149,"Illinois","PIKE",16430,831.38
17151,"Illinois","POPE",4470,368.77
17153,"Illinois","PULASKI",6161,199.18
17155,"Illinois","PUTNAM",6006,160.16
17157,"Illinois","RANDOLPH",33476,575.5
17159,"Illinois","RICHLAND",16233,359.99
17161,"Illinois","ROCK ISLAND",147546,427.64
17163,"Illinois","ST. CLAIR",270056,657.76
17165,"Illinois","SALINE",24913,379.82
17167,"Illinois","SANGAMON",197465,868.3
17169,"Illinois","SCHUYLER",7544,437.27
17171,"Illinois","SCOTT",5355,250.91
17173,"Illinois","SHELBY",22363,758.52
17175,"Illinois","STARK",5994,288.08
17177,"Illinois","STEPHENSON",47711,564.52
17179,"Illinois","TAZEWELL",135394,648.97
17181,"Illinois","UNION",17808,413.46
17183,"Illinois","VERMILION",81625,898.37
17185,"Illinois","WABASH",11947,223.25
17187,"Illinois","WARREN",17707,542.41
17189,"Illinois","WASHINGTON",14716,562.57
17191,"Illinois","WAYNE",16760,713.81
17193,"Illinois","WHITE",14665,494.77
17195,"Illinois","WHITESIDE",58498,684.25
17197,"Illinois","WILL",677560,836.91
17199,"Illinois","WILLIAMSON",66357,420.15
17201,"Illinois","WINNEBAGO",295266,513.36
17203,"Illinois","WOODFORD",38664,527.8
