"Fipscode","State","Geographic.area","Population","Land.Area.in.square.miles"
18001,"Indiana","Adams",34387,339.03
18003,"Indiana","Allen",355329,657.31
18005,"Indiana","Bartholomew",76794,406.91
18007,"Indiana","Benton",8854,406.42
18009,"Indiana","Blackford",12766,165.08
18011,"Indiana","Boone",56640,422.91
18013,"Indiana","Brown",15242,311.98
18015,"Indiana","Carroll",20155,372.22
18017,"Indiana","Cass",38966,412.15
18019,"Indiana","Clark",110232,372.86
18021,"Indiana","Clay",26890,357.54
18023,"Indiana","Clinton",33224,405.07
18025,"Indiana","Crawford",10713,305.64
18027,"Indiana","Daviess",31648,429.49
18029,"Indiana","Dearborn",50047,305.03
18031,"Indiana","Decatur",25740,372.57
18033,"Indiana","DeKalb",42223,362.82
18035,"Indiana","Delaware",117671,392.12
18037,"Indiana","Dubois",41889,427.27
18039,"Indiana","Elkhart",197559,463.17
18041,"Indiana","Fayette",24277,215.01
18043,"Indiana","Floyd",74578,147.93
18045,"Indiana","Fountain",17240,395.66
18047,"Indiana","Franklin",23087,384.43
18049,"Indiana","Fulton",20836,368.39
18051,"Indiana","Gibson",33503,487.49
18053,"Indiana","Grant",70061,414.07
18055,"Indiana","Greene",33165,542.49
18057,"Indiana","Hamilton",274569,394.27
18059,"Indiana","Hancock",70002,306.02
18061,"Indiana","Harrison",39364,484.52
18063,"Indiana","Hendricks",145448,406.91
18065,"Indiana","Henry",49462,391.88
18067,"Indiana","Howard",82752,293.06
18069,"Indiana","Huntington",37124,382.65
18071,"Indiana","Jackson",42376,509.31
18073,"Indiana","Jasper",33478,559.62
18075,"Indiana","Jay",21253,383.91
18077,"Indiana","Jefferson",32428,360.63
18079,"Indiana","Jennings",28525,376.58
18081,"Indiana","Johnson",139654,320.43
18083,"Indiana","Knox",38440,516.03
18085,"Indiana","Kosciusko",77358,531.38
18087,"Indiana","LaGrange",37128,379.62
18089,"Indiana","Lake",496005,498.96
18091,"Indiana","La Porte",111467,598.3
18093,"Indiana","Lawrence",46134,449.17
18095,"Indiana","Madison",131636,451.92
18097,"Indiana","Marion",903393,396.3
18099,"Indiana","Marshall",47051,443.63
18101,"Indiana","Martin",10334,335.74
18103,"Indiana","Miami",36903,373.84
18105,"Indiana","Monroe",137974,394.51
18107,"Indiana","Montgomery",38124,504.61
18109,"Indiana","Morgan",68894,403.97
18111,"Indiana","Newton",14244,401.76
18113,"Indiana","Noble",47536,410.84
18115,"Indiana","Ohio",6128,86.14
18117,"Indiana","Orange",19840,398.39
18119,"Indiana","Owen",21575,385.29
18121,"Indiana","Parke",17339,444.66
18123,"Indiana","Perry",19338,381.73
18125,"Indiana","Pike",12845,334.24
18127,"Indiana","Porter",164343,418.15
18129,"Indiana","Posey",25910,409.57
18131,"Indiana","Pulaski",13402,433.65
18133,"Indiana","Putnam",37963,480.53
18135,"Indiana","Randolph",26171,452.38
18137,"Indiana","Ripley",28818,446.43
18139,"Indiana","Rush",17392,408.12
18141,"Indiana","St. Joseph",266931,457.85
18143,"Indiana","Scott",24181,190.4
18145,"Indiana","Shelby",44436,411.15
18147,"Indiana","Spencer",20952,396.74
18149,"Indiana","Starke",23363,309.13
18151,"Indiana","Steuben",34185,308.94
18153,"Indiana","Sullivan",21475,447.14
18155,"Indiana","Switzerland",10613,220.63
18157,"Indiana","Tippecanoe",172780,499.81
18159,"Indiana","Tipton",15936,260.54
18161,"Indiana","Union",7516,161.22
18163,"Indiana","Vanderburgh",179703,233.48
18165,"Indiana","Vermillion",16212,256.88
18167,"Indiana","Vigo",107848,403.31
18169,"Indiana","Wabash",32888,412.43
18171,"Indiana","Warren",8508,364.68
18173,"Indiana","Warrick",59689,384.82
18175,"Indiana","Washington",28262,513.73
18177,"Indiana","Wayne",68917,401.74
18179,"Indiana","Wells",27636,368.09
18181,"Indiana","White",24643,505.12
18183,"Indiana","Whitley",33292,335.57
