"Fipscode","State","Geographic.area","Population","Land.Area.in.square.miles"
19001,"Iowa","Adair",7682,569.27
19003,"Iowa","Adams",4029,423.44
19005,"Iowa","Allamakee",14330,639.08
19007,"Iowa","Appanoose",12887,497.29
19009,"Iowa","Audubon",6119,442.96
19011,"Iowa","Benton",26076,716.26
19013,"Iowa","Black Hawk",131090,565.77
19015,"Iowa","Boone",26306,571.57
19017,"Iowa","Bremer",24276,435.48
19019,"Iowa","Buchanan",20958,571.02
19021,"Iowa","Buena Vista",20260,574.91
19023,"Iowa","Butler",14867,580.13
19025,"Iowa","Calhoun",9670,569.97
19027,"Iowa","Carroll",20816,569.44
19029,"Iowa","Cass",13956,564.27
19031,"Iowa","Cedar",18499,579.44
19033,"Iowa","Cerro Gordo",44151,568.31
19035,"Iowa","Cherokee",12072,576.91
19037,"Iowa","Chickasaw",12439,504.38
19039,"Iowa","Clarke",9286,431.17
19041,"Iowa","Clay",16667,567.24
19043,"Iowa","Clayton",18129,778.54
19045,"Iowa","Clinton",49116,694.91
19047,"Iowa","Crawford",17096,714.19
19049,"Iowa","Dallas",66135,588.45
19051,"Iowa","Davis",8753,502.19
19053,"Iowa","Decatur",8457,531.88
19055,"Iowa","Delaware",17764,577.76
19057,"Iowa","Des Moines",40325,416.12
19059,"Iowa","Dickinson",16667,380.61
19061,"Iowa","Dubuque",93653,608.3
19063,"Iowa","Emmet",10302,395.88
19065,"Iowa","Fayette",20880,730.81
19067,"Iowa","Floyd",16303,500.63
19069,"Iowa","Franklin",10680,581.97
19071,"Iowa","Fremont",7441,511.15
19073,"Iowa","Greene",9336,569.57
19075,"Iowa","Grundy",12453,501.86
19077,"Iowa","Guthrie",10954,590.62
19079,"Iowa","Hamilton",15673,576.75
19081,"Iowa","Hancock",11341,571
19083,"Iowa","Hardin",17534,569.31
19085,"Iowa","Harrison",14928,696.85
19087,"Iowa","Henry",20145,434.33
19089,"Iowa","Howard",9566,473.25
19091,"Iowa","Humboldt",9815,434.35
19093,"Iowa","Ida",7089,431.51
19095,"Iowa","Iowa",16355,586.46
19097,"Iowa","Jackson",19848,636.04
19099,"Iowa","Jasper",36842,730.42
19101,"Iowa","Jefferson",16843,435.51
19103,"Iowa","Johnson",130882,614.04
19105,"Iowa","Jones",20638,575.62
19107,"Iowa","Keokuk",10511,579.18
19109,"Iowa","Kossuth",15543,972.72
19111,"Iowa","Lee",35862,517.52
19113,"Iowa","Linn",211226,716.88
19115,"Iowa","Louisa",11387,401.77
19117,"Iowa","Lucas",8898,430.59
19119,"Iowa","Lyon",11581,587.65
19121,"Iowa","Madison",15679,561.01
19123,"Iowa","Mahaska",22381,570.86
19125,"Iowa","Marion",33309,554.53
19127,"Iowa","Marshall",40648,572.5
19129,"Iowa","Mills",15059,437.44
19131,"Iowa","Mitchell",10776,469.13
19133,"Iowa","Monona",9243,694.07
19135,"Iowa","Monroe",7970,433.72
19137,"Iowa","Montgomery",10740,424.1
19139,"Iowa","Muscatine",42745,437.47
19141,"Iowa","O'Brien",14398,573.04
19143,"Iowa","Osceola",6462,398.68
19145,"Iowa","Page",15932,534.94
19147,"Iowa","Palo Alto",9421,563.84
19149,"Iowa","Plymouth",24986,862.89
19151,"Iowa","Pocahontas",7310,577.24
19153,"Iowa","Polk",430640,573.79
19155,"Iowa","Pottawattamif",93158,950.28
19157,"Iowa","Poweshiek",18914,584.93
19159,"Iowa","Ringgold",5131,535.5
19161,"Iowa","Sac",10350,575.01
19163,"Iowa","Scott",165224,458.09
19165,"Iowa","Shelby",12167,590.78
19167,"Iowa","Sioux",33704,768.33
19169,"Iowa","Story",89542,572.82
19171,"Iowa","Tama",17767,721.01
19173,"Iowa","Taylor",6317,531.9
19175,"Iowa","Union",12534,423.65
19177,"Iowa","Van Buren",7570,484.79
19179,"Iowa","Wapello",35625,431.83
19181,"Iowa","Warren",46225,569.83
19183,"Iowa","Washington",21704,568.84
19185,"Iowa","Wayne",6403,525.44
19187,"Iowa","Webster",38013,715.62
19189,"Iowa","Winnebago",10866,400.49
19191,"Iowa","Winneshiek",21056,689.87
19193,"Iowa","Woodbury",102172,872.83
19195,"Iowa","Worth",7598,400.12
19197,"Iowa","Wright",13229,580.42
