"Fipscode","State","Geographic.area","Population","Land.Area.in.square.miles"
23001,"Maine","Androscoggin County",107702,467.93
23003,"Maine","Aroostook County",71870,6671.33
23005,"Maine","Cumberland County",281674,835.24
23007,"Maine","Franklin County",30768,1696.61
23009,"Maine","Hancock County",54418,1586.89
23011,"Maine","Kennebec County",122151,867.52
23013,"Maine","Knox County",39736,365.13
23015,"Maine","Lincoln County",34457,455.82
23017,"Maine","Oxford County",57833,2076.84
23019,"Maine","Penobscot County",153923,3397.36
23021,"Maine","Piscataquis County",17535,3960.86
23023,"Maine","Sagadahoc County",35293,253.69
23025,"Maine","Somerset County",52228,3924.4
23027,"Maine","Waldo County",38786,729.92
23029,"Maine","Washington County",32856,2562.66
23031,"Maine","York County",197131,990.71
