"Fipscode","State","Geographic.area","Population","Land.Area.in.square.miles"
24001,"Maryland","Allegany",75087,424.16
24003,"Maryland","Anne Arundel",537656,414.9
24005,"Maryland","Baltimore",805029,598.3
24009,"Maryland","Calvert",88737,213.15
24011,"Maryland","Caroline",33066,319.42
24013,"Maryland","Carroll",167134,447.59
24015,"Maryland","Cecil",101108,346.27
24017,"Maryland","Charles",146551,457.75
24019,"Maryland","Dorchester",32618,540.77
24021,"Maryland","Frederick",233385,660.22
24023,"Maryland","Garrett",30097,647.1
24025,"Maryland","Harford",244826,437.09
24027,"Maryland","Howard",287085,250.74
24029,"Maryland","Kent",20197,277.03
24031,"Maryland","Montgomery",971777,491.25
24033,"Maryland","Prince George's",863420,482.69
24035,"Maryland","Queen Anne's",47798,371.91
24037,"Maryland","St. Mary's",105151,357.18
24039,"Maryland","Somerset",26470,319.72
24041,"Maryland","Talbot",37782,268.54
24043,"Maryland","Washington",147430,457.78
24045,"Maryland","Wicomico",98733,374.44
24047,"Maryland","Worcester",51454,468.28
24510,"Maryland","Baltimore City",620961,80.94
