"Fipscode","State","Geographic.area","Population","Land.Area.in.square.miles"
25001,"Massachusetts","Barnstable County",215888,393.72
25003,"Massachusetts","Berkshire County",131219,926.82
25005,"Massachusetts","Bristol County",548285,553.1
25007,"Massachusetts","Dukes County",16535,103.25
25009,"Massachusetts","Essex County",743159,492.56
25011,"Massachusetts","Franklin County",71372,699.32
25013,"Massachusetts","Hampden County",463490,617.14
25015,"Massachusetts","Hampshire County",158080,527.26
25017,"Massachusetts","Middlesex County",1503085,817.82
25019,"Massachusetts","Nantucket County",10172,44.97
25021,"Massachusetts","Norfolk County",670850,396.11
25023,"Massachusetts","Plymouth County",494919,659.08
25025,"Massachusetts","Suffolk County",722023,58.15
25027,"Massachusetts","Worcester County",798552,1510.77
