"Fipscode","State","Geographic.area","Population","Land.Area.in.square.miles"
26001,"Michigan","ALCONA",10942,674.59
26003,"Michigan","ALGER",9601,915.07
26005,"Michigan","ALLEGAN",111408,825.23
26007,"Michigan","ALPENA",29598,571.86
26009,"Michigan","ANTRIM",23580,475.7
26011,"Michigan","ARENAC",15899,363.19
26013,"Michigan","BARAGA",8860,898.26
26015,"Michigan","BARRY",59173,553.09
26017,"Michigan","BAY",107771,442.3
26019,"Michigan","BENZIE",17525,319.7
26021,"Michigan","BERRIEN",156813,567.75
26023,"Michigan","BRANCH",45248,506.37
26025,"Michigan","CALHOUN",136146,706.23
26027,"Michigan","CASS",52293,490.06
26029,"Michigan","CHARLEVOIX",25949,416.34
26031,"Michigan","CHEBOYGAN",26152,715.26
26033,"Michigan","CHIPPEWA",38520,1558.42
26035,"Michigan","CLARE",30926,564.32
26037,"Michigan","CLINTON",75382,566.41
26039,"Michigan","CRAWFORD",14074,556.28
26041,"Michigan","DELTA",37069,1171.1
26043,"Michigan","DICKINSON",26168,761.4
26045,"Michigan","EATON",107759,575.17
26047,"Michigan","EMMET",32694,467.49
26049,"Michigan","GENESEE",425790,636.98
26051,"Michigan","GLADWIN",25692,501.78
26053,"Michigan","GOGEBIC",16427,1101.85
26055,"Michigan","GD. TRAVERSE",86986,464.33
26057,"Michigan","GRATIOT",42476,568.46
26059,"Michigan","HILLSDALE",46688,598.13
26061,"Michigan","HOUGHTON",36628,1009.1
26063,"Michigan","HURON",33118,835.71
26065,"Michigan","INGHAM",280895,556.12
26067,"Michigan","IONIA",63905,571.3
26069,"Michigan","IOSCO",25887,549.1
26071,"Michigan","IRON",11817,1166.15
26073,"Michigan","ISABELLA",70311,572.68
26075,"Michigan","JACKSON",160248,701.67
26077,"Michigan","KALAMAZOO",250331,561.66
26079,"Michigan","KALKASKA",17153,559.86
26081,"Michigan","KENT",602622,846.95
26083,"Michigan","KEWEENAW",2156,540.11
26085,"Michigan","LAKE",11539,567.37
26087,"Michigan","LAPEER",88319,643.01
26089,"Michigan","LEELANAU",21708,347.17
26091,"Michigan","LENAWEE",99892,749.55
26093,"Michigan","LIVINGSTON",180967,565.25
26095,"Michigan","LUCE",6631,899.08
26097,"Michigan","MACKINAC",11113,1021.57
26099,"Michigan","MACOMB",840978,479.22
26101,"Michigan","MANISTEE",24733,542.15
26103,"Michigan","MARQUETTE",67077,1808.4
26105,"Michigan","MASON",28705,495.07
26107,"Michigan","MECOSTA",42798,555.07
26109,"Michigan","MENOMINEE",24029,1044.08
26111,"Michigan","MIDLAND",83629,516.25
26113,"Michigan","MISSAUKEE",14849,564.73
26115,"Michigan","MONROE",152021,549.39
26117,"Michigan","MONTCALM",63342,705.4
26119,"Michigan","MONTMORENCY",9765,546.66
26121,"Michigan","MUSKEGON",172188,499.25
26123,"Michigan","NEWAYGO",48460,813.2
26125,"Michigan","OAKLAND",1202362,867.66
26127,"Michigan","OCEANA",26570,512.07
26129,"Michigan","OGEMAW",21699,563.49
26131,"Michigan","ONTONAGON",6780,1311.22
26133,"Michigan","OSCEOLA",23528,566.39
26135,"Michigan","OSCODA",8640,565.73
26137,"Michigan","OTSEGO",24164,514.97
26139,"Michigan","OTTAWA",263801,563.47
26141,"Michigan","PRESQUE ISLE",13376,658.72
26143,"Michigan","ROSCOMMON",24449,519.64
26145,"Michigan","SAGINAW",200169,800.11
26147,"Michigan","ST. CLAIR",163040,721.17
26149,"Michigan","ST. JOSEPH",61295,500.59
26151,"Michigan","SANILAC",43114,962.57
26153,"Michigan","SCHOOLCRAFT",8485,1171.36
26155,"Michigan","SHIAWASSEE",70648,530.67
26157,"Michigan","TUSCOLA",55729,803.13
26159,"Michigan","VAN BUREN",76258,607.47
26161,"Michigan","WASHTENAW",344791,705.97
26163,"Michigan","WAYNE",1820584,612.08
26165,"Michigan","WEXFORD",32735,565
