"Fipscode","State","Geographic.area","Population","Land.Area.in.square.miles"
27001,"Minnesota","AITKIN",16202,1821.66
27003,"Minnesota","ANOKA",330844,423.01
27005,"Minnesota","BECKER",32504,1315.2
27007,"Minnesota","BELTRAMI",44442,2504.94
27009,"Minnesota","BENTON",38451,408.3
27011,"Minnesota","BIG STONE",5269,499.02
27013,"Minnesota","BLUE EARTH",64013,747.84
27015,"Minnesota","BROWN",25893,611.09
27017,"Minnesota","CARLTON",35386,861.38
27019,"Minnesota","CARVER",91042,354.33
27021,"Minnesota","CASS",28567,2021.54
27023,"Minnesota","CHIPPEWA",12441,581.12
27025,"Minnesota","CHISAGO",53887,414.86
27027,"Minnesota","CLAY",58999,1045.37
27029,"Minnesota","CLEARWATER",8695,998.94
27031,"Minnesota","COOK",5176,1452.28
27033,"Minnesota","COTTONWOOD",11687,638.61
27035,"Minnesota","CROW WING",62500,999.09
27037,"Minnesota","DAKOTA",398552,562.17
27039,"Minnesota","DODGE",20087,439.28
27041,"Minnesota","DOUGLAS",36009,637.3
27043,"Minnesota","FARIBAULT",14553,712.48
27045,"Minnesota","FILLMORE",20866,861.3
27047,"Minnesota","FREEBORN",31255,707.09
27049,"Minnesota","GOODHUE",46183,756.84
27051,"Minnesota","GRANT",6018,548.16
27053,"Minnesota","HENNEPIN",1152425,553.59
27055,"Minnesota","HOUSTON",19027,552.06
27057,"Minnesota","HUBBARD",20428,925.67
27059,"Minnesota","ISANTI",37816,435.79
27061,"Minnesota","ITASCA",45058,2667.72
27063,"Minnesota","JACKSON",10266,702.98
27065,"Minnesota","KANABEC",16239,521.59
27067,"Minnesota","KANDIYOHI",42239,796.78
27069,"Minnesota","KITTSON",4552,1098.8
27071,"Minnesota","KOOCHICHING",13311,3104.07
27073,"Minnesota","LAC QUI PARLE",7259,765.02
27075,"Minnesota","LAKE",10866,2109.29
27077,"Minnesota","LAKE OF THE WOODS",4045,1297.87
27079,"Minnesota","LE SUEUR",27703,448.76
27081,"Minnesota","LINCOLN",5896,536.76
27083,"Minnesota","LYON",25857,714.56
27085,"Minnesota","MCLEOD",36651,491.47
27087,"Minnesota","MAHNOMEN",5413,557.88
27089,"Minnesota","MARSHALL",9439,1775.07
27091,"Minnesota","MARTIN",20840,712.35
27093,"Minnesota","MEEKER",23300,608.18
27095,"Minnesota","MILLE LACS",26097,572.31
27097,"Minnesota","MORRISON",33198,1125.06
27099,"Minnesota","MOWER",39163,711.33
27101,"Minnesota","MURRAY",8725,704.7
27103,"Minnesota","NICOLLET",32727,448.49
27105,"Minnesota","NOBLES",21378,715.11
27107,"Minnesota","NORMAN",6852,872.79
27109,"Minnesota","OLMSTED",144248,653.35
27111,"Minnesota","OTTER TAIL",57303,1972.07
27113,"Minnesota","PENNINGTON",13930,616.57
27115,"Minnesota","PINE",29750,1411.29
27117,"Minnesota","PIPESTONE",9596,465.05
27119,"Minnesota","POLK",31600,1971.13
27121,"Minnesota","POPE",10995,669.71
27123,"Minnesota","RAMSEY",508640,152.21
27125,"Minnesota","RED LAKE",4089,432.41
27127,"Minnesota","REDWOOD",16059,878.57
27129,"Minnesota","RENVILLE",15730,982.91
27131,"Minnesota","RICE",64142,495.68
27133,"Minnesota","ROCK",9687,482.45
27135,"Minnesota","ROSEAU",15629,1671.6
27137,"Minnesota","ST. LOUIS",200226,6247.4
27139,"Minnesota","SCOTT",129928,356.48
27141,"Minnesota","SHERBURNE",88499,432.92
27143,"Minnesota","SIBLEY",15226,588.78
27145,"Minnesota","STEARNS",150642,1343.13
27147,"Minnesota","STEELE",36576,429.65
27149,"Minnesota","STEVENS",9726,563.6
27151,"Minnesota","SWIFT",9783,742.08
27153,"Minnesota","TODD",24895,944.98
27155,"Minnesota","TRAVERSE",3558,573.9
27157,"Minnesota","WABASHA",21676,522.98
27159,"Minnesota","WADENA",13843,536.27
27161,"Minnesota","WASECA",19136,423.36
27163,"Minnesota","WASHINGTON",238136,384.28
27165,"Minnesota","WATONWAN",11211,434.95
27167,"Minnesota","WILKIN",6576,750.96
27169,"Minnesota","WINONA",51461,626.21
27171,"Minnesota","WRIGHT",124700,661.46
27173,"Minnesota","YELLOW MEDICINE",10438,759.1
