"Fipscode","State","Geographic.area","Population","Land.Area.in.square.miles"
28001,"Mississippi","Adams",32297,462.41
28003,"Mississippi","Alcorn",37057,400.04
28005,"Mississippi","Amite",13131,730.1
28007,"Mississippi","Attala",19564,734.98
28009,"Mississippi","Benton",8729,406.62
28011,"Mississippi","Bolivar",34145,876.57
28013,"Mississippi","Calhoun",14962,586.57
28015,"Mississippi","Carroll",10597,628.24
28017,"Mississippi","Chickasaw",17392,501.78
28019,"Mississippi","Choctaw",8547,418.18
28021,"Mississippi","Caliborne",9604,487.41
28023,"Mississippi","Clarke",16732,691.55
28025,"Mississippi","Clay",20634,410.08
28027,"Mississippi","Coahoma",26151,552.44
28029,"Mississippi","Coplah",29449,777.24
28031,"Mississippi","Covington",19568,413.79
28033,"Mississippi","DeSoto",161252,476.15
28035,"Mississippi","Forrest",74934,466.31
28037,"Mississippi","Franklin",8118,563.78
28039,"Mississippi","George",22578,478.71
28041,"Mississippi","Greee",14400,712.76
28043,"Mississippi","Grenada",21906,422.11
28045,"Mississippi","Hancock",43929,473.75
28047,"Mississippi","Harrison",187105,573.99
28049,"Mississippi","Hinds",245285,869.74
28051,"Mississippi","Holmes",19198,756.7
28053,"Mississippi","Humphreys",9375,418.49
28055,"Mississippi","Issaquena",1406,413.05
28057,"Mississippi","Itawamba",23401,532.79
28059,"Mississippi","Jackson",139668,722.75
28061,"Mississippi","Jasper",17062,676.24
28063,"Mississippi","Jefferson",7726,519.93
28065,"Mississippi","Jeff Davis",12487,408.44
28067,"Mississippi","Jones",67761,694.8
28069,"Mississippi","Kemper",10456,766.18
28071,"Mississippi","Lafayette",47351,631.71
28073,"Mississippi","Lamar",55658,497.06
28075,"Mississippi","Lauderdale",80261,703.63
28077,"Mississippi","Lawrence",12929,430.67
28079,"Mississippi","Leake",23805,583
28081,"Mississippi","Lee",82910,449.95
28083,"Mississippi","Leflore",32317,592.54
28085,"Mississippi","Lincoln",34869,586.11
28087,"Mississippi","Lowndes",59779,505.51
28089,"Mississippi","Madison",95203,714.51
28091,"Mississippi","Marion",27088,542.38
28093,"Mississippi","Marshall",37144,706.19
28095,"Mississippi","Monroe",36989,765.09
28097,"Mississippi","Montgomery",10925,406.98
28099,"Mississippi","Neshoba",29676,570.14
28101,"Mississippi","Newton",21720,578.1
28103,"Mississippi","Noxubee",11545,695.14
28105,"Mississippi","Okitbbeha",47671,458.2
28107,"Mississippi","Panola",34707,685.14
28109,"Mississippi","Pearl River",55834,810.86
28111,"Mississippi","Perry",12250,647.25
28113,"Mississippi","Pike",40404,409.01
28115,"Mississippi","Pontotoc",29957,497.69
28117,"Mississippi","Prentiss",25276,414.98
28119,"Mississippi","Quitman",8223,405.01
28121,"Mississippi","Rankin",141617,775.48
28123,"Mississippi","Scott",28264,609.18
28125,"Mississippi","Sharkey",4916,431.72
28127,"Mississippi","Simpson",27503,589.16
28129,"Mississippi","Smith",16491,636.25
28131,"Mississippi","Stone",17786,445.48
28133,"Mississippi","Sunflower",29450,697.75
28135,"Mississippi","Tallahatchie",15378,645.29
28137,"Mississippi","Tate",28886,404.76
28139,"Mississippi","Tippah",22232,457.81
28141,"Mississippi","Tishomingo",19593,424.25
28143,"Mississippi","Tunica",10778,454.67
28145,"Mississippi","Union",27134,415.6
28147,"Mississippi","Walthall",15443,403.94
28149,"Mississippi","Warren",48773,588.5
28151,"Mississippi","Washington",51137,724.74
28153,"Mississippi","Wayne",20747,810.75
28155,"Mississippi","Webster",10253,420.94
28157,"Mississippi","Wilkinson",9878,678.11
28159,"Mississippi","Winston",19198,607.24
28161,"Mississippi","Yalobusha",12678,467.13
28163,"Mississippi","Yazoo",28065,922.95
