"Fipscode","State","Geographic.area","Population","Land.Area.in.square.miles"
29001,"Missouri","Adair",25607,567.32
29003,"Missouri","Andrew",17291,432.7
29005,"Missouri","Atchison",5685,547.3
29007,"Missouri","Audrain",25529,692.23
29009,"Missouri","Barry",35597,778.25
29011,"Missouri","Barton",12402,591.92
29013,"Missouri","Bates",17049,836.69
29015,"Missouri","Benton",19056,704.06
29017,"Missouri","Bollinger",12363,617.91
29019,"Missouri","Boone",162642,685.41
29021,"Missouri","Buchanan",89201,408.03
29023,"Missouri","Butler",42794,694.67
29025,"Missouri","Caldwell",9424,426.39
29027,"Missouri","Callaway",44332,834.57
29029,"Missouri","Camden",44002,655.92
29031,"Missouri","Cape Girardeau",75674,578.53
29033,"Missouri","Carroll",9295,694.62
29035,"Missouri","Carter",6265,507.36
29037,"Missouri","Cass",99478,696.84
29039,"Missouri","Cedar",13982,474.48
29041,"Missouri","Chariton",7831,751.18
29043,"Missouri","Christian",77422,562.65
29045,"Missouri","Clark",7139,504.69
29047,"Missouri","Clay",221939,397.3
29049,"Missouri","Clinton",20743,418.96
29051,"Missouri","Cole",75990,393.75
29053,"Missouri","Cooper",17601,564.77
29055,"Missouri","Crawford",24696,742.52
29057,"Missouri","Dade",7883,490.01
29059,"Missouri","Dallas",16777,540.77
29061,"Missouri","Daviess",8433,563.24
29063,"Missouri","De Kalb",12892,421.36
29065,"Missouri","Dent",15657,752.79
29067,"Missouri","Douglas",13684,813.63
29069,"Missouri","Dunklin",31953,541.07
29071,"Missouri","Franklin",101492,922.68
29073,"Missouri","Gasconade",15222,517.8
29075,"Missouri","Gentry",6738,491.42
29077,"Missouri","Greene",275174,675.3
29079,"Missouri","Grundy",10261,435.28
29081,"Missouri","Harrison",8957,722.5
29083,"Missouri","Henry",22272,696.95
29085,"Missouri","Hickory",9627,399.09
29087,"Missouri","Holt",4912,462.69
29089,"Missouri","Howard",10144,463.85
29091,"Missouri","Howell",40400,927.25
29093,"Missouri","Iron",10630,550.26
29095,"Missouri","Jackson",674158,604.46
29097,"Missouri","Jasper",117404,638.49
29099,"Missouri","Jefferson",218733,656.63
29101,"Missouri","Johnson",52595,829.28
29103,"Missouri","Knox",4131,504.01
29105,"Missouri","Laclede",35571,764.72
29107,"Missouri","Lafayette",33381,628.43
29109,"Missouri","Lawrence",38634,611.74
29111,"Missouri","Lewis",10211,505.04
29113,"Missouri","Lincoln",52566,626.56
29115,"Missouri","Linn",12761,615.56
29117,"Missouri","Livingston",15195,532.33
29119,"Missouri","McDonald",23083,539.48
29121,"Missouri","Macon",15566,801.23
29123,"Missouri","Madison",12226,494.39
29125,"Missouri","Maries",9176,526.98
29127,"Missouri","Marion",28781,436.92
29129,"Missouri","Mercer",3785,453.84
29131,"Missouri","Miller",24748,592.59
29133,"Missouri","Mississippi",14358,411.58
29135,"Missouri","Moniteau",15607,415.03
29137,"Missouri","Monroe",8840,647.65
29139,"Missouri","Montgomery",12236,536.25
29141,"Missouri","Morgan",20565,597.63
29143,"Missouri","New Madrid",18956,674.84
29145,"Missouri","Newton",58114,624.76
29147,"Missouri","Nodaway",23370,876.96
29149,"Missouri","Oregon",10881,789.8
29151,"Missouri","Osage",13878,604.35
29153,"Missouri","Ozark",9723,744.97
29155,"Missouri","Pemiscot",18296,492.54
29157,"Missouri","Perry",18971,474.35
29159,"Missouri","Pettis",42201,682.22
29161,"Missouri","Phelps",45156,671.78
29163,"Missouri","Pike",18516,670.44
29165,"Missouri","Platte",89322,420.19
29167,"Missouri","Polk",31137,635.52
29169,"Missouri","Pulaski",52274,547.1
29171,"Missouri","Putnam",4979,517.32
29173,"Missouri","Ralls",10167,469.78
29175,"Missouri","Randolph",25414,482.68
29177,"Missouri","Ray",23494,568.81
29179,"Missouri","Reynolds",6696,808.48
29181,"Missouri","Ripley",14100,629.54
29183,"Missouri","St. Charles",360485,560.44
29185,"Missouri","St. Clair",9805,669.98
29186,"Missouri","Ste. Genevieve",18145,499.15
29187,"Missouri","St. Francois",65359,451.89
29189,"Missouri","St. Louis",998954,507.8
29195,"Missouri","Saline",23370,755.5
29197,"Missouri","Schuyler",4431,307.3
29199,"Missouri","Scotland",4843,436.67
29201,"Missouri","Scott",39191,419.99
29203,"Missouri","Shannon",8441,1003.82
29205,"Missouri","Shelby",6373,500.86
29207,"Missouri","Stoddard",29968,823.22
29209,"Missouri","Stone",32202,464.03
29211,"Missouri","Sullivan",6714,647.98
29213,"Missouri","Taney",51675,632.44
29215,"Missouri","Texas",26008,1177.27
29217,"Missouri","Vernon",21159,826.4
29219,"Missouri","Warren",32513,428.6
29221,"Missouri","Washington",25195,759.91
29223,"Missouri","Wayne",13521,759.18
29225,"Missouri","Webster",36202,592.56
29227,"Missouri","Worth",2171,266.61
29229,"Missouri","Wright",18815,681.77
29510,"Missouri","St. Louis City",319294,61.91
