"Fipscode","State","Geographic.area","Population","Land.Area.in.square.miles"
30001,"Montana","Beaverhead",9246,5541.62
30003,"Montana","Big Horn",12865,4995.46
30005,"Montana","Blaine",6491,4227.55
30007,"Montana","Broadwater",5612,1192.54
30009,"Montana","Carbon",10078,2048.79
30011,"Montana","Carter",1160,3340.75
30013,"Montana","Cascade",81327,2698.16
30015,"Montana","Chouteau",5813,3972.49
30017,"Montana","Custer",11699,3783.36
30019,"Montana","Daniels",1751,1426.1
30021,"Montana","Dawson",8966,2371.86
30023,"Montana","Deer Lodge",9298,736.53
30025,"Montana","Fallon",2890,1620.77
30027,"Montana","Fergus",11586,4339.8
30029,"Montana","Flathead",90928,5087.66
30031,"Montana","Gallatin",89513,2602.69
30033,"Montana","Garfield",1206,4675.36
30035,"Montana","Glacier",13399,2995.94
30037,"Montana","Golden Valley",884,1175.34
30039,"Montana","Granite",3079,1727.41
30041,"Montana","Hill",16096,2898.95
30043,"Montana","Jefferson",11406,1656.26
30045,"Montana","Judith Basin",2072,1869.82
30047,"Montana","Lake",28746,1490.15
30049,"Montana","Lewis & Clark",63395,3458.83
30051,"Montana","Liberty",2339,1430.05
30053,"Montana","Lincoln",19687,3612.92
30055,"Montana","McCone",1734,2643.17
30057,"Montana","Madison",7691,3587.48
30059,"Montana","Meagher",1891,2391.91
30061,"Montana","Mineral",4223,1219.44
30063,"Montana","Missoula",109299,2593.42
30065,"Montana","Musselshell",4538,1868.16
30067,"Montana","Park",15636,2803.06
30069,"Montana","Petroleum",494,1654.87
30071,"Montana","Phillips",4253,5140.04
30073,"Montana","Pondera",6153,1622.86
30075,"Montana","Powder River",1743,3297.3
30077,"Montana","Powell",7027,2326.39
30079,"Montana","Prairie",1179,1736.74
30081,"Montana","Ravalli",40212,2390.82
30083,"Montana","Richland",9746,2084.14
30085,"Montana","Roosevelt",10425,2354.79
30087,"Montana","Rosebud",9233,5010.4
30089,"Montana","Sanders",11413,2760.52
30091,"Montana","Sheridan",3384,1677.08
30093,"Montana","Silver Bow",34200,718.48
30095,"Montana","Stillwater",9117,1795.35
30097,"Montana","Sweet Grass",3651,1855.2
30099,"Montana","Teton",6073,2272.37
30101,"Montana","Toole",5324,1915.65
30103,"Montana","Treasure",718,977.4
30105,"Montana","Valley",7369,4925.82
30107,"Montana","Wheatland",2168,1423.19
30109,"Montana","Wibaux",1017,889.26
30111,"Montana","Yellowstone",147972,2633.29
