"Fipscode","State","Geographic.area","Population","Land.Area.in.square.miles"
32001,"Nevada","Churchill",24877,4930.46
32003,"Nevada","Clark",1951269,7891.43
32005,"Nevada","Douglas",46997,709.72
32007,"Nevada","Elko",48818,17169.83
32009,"Nevada","Esmeralda",783,3581.88
32011,"Nevada","Eureka",1987,4175.68
32013,"Nevada","Humboldt",16528,9640.76
32015,"Nevada","Lander",5775,5490.1
32017,"Nevada","Lincoln",5345,10633.2
32019,"Nevada","Lyon",51980,2001.19
32021,"Nevada","Mineral",4772,3752.84
32023,"Nevada","Nye",43946,18181.92
32027,"Nevada","Pershing",6753,6036.56
32029,"Nevada","Storey",4010,262.92
32031,"Nevada","Washoe",421407,6302.37
32033,"Nevada","White Pine",10030,8875.65
32510,"Nevada","Carson City",55274,144.66
