"Fipscode","State","Geographic.area","Population","Land.Area.in.square.miles"
34001,"New Jersey","ATLANTIC",274549,555.7
34003,"New Jersey","BERGEN",905116,233.01
34005,"New Jersey","BURLINGTON",448734,798.58
34007,"New Jersey","CAMDEN",513657,221.26
34009,"New Jersey","CAPE MAY",97265,251.42
34011,"New Jersey","CUMBERLAND",156898,483.7
34013,"New Jersey","ESSEX",783969,126.21
34015,"New Jersey","GLOUCESTER",288288,322.01
34017,"New Jersey","HUDSON",634266,46.19
34019,"New Jersey","HUNTERDON",128349,427.82
34021,"New Jersey","MERCER",366513,224.56
34023,"New Jersey","MIDDLESEX",809858,308.91
34025,"New Jersey","MONMOUTH",630380,468.79
34027,"New Jersey","MORRIS",492276,460.18
34029,"New Jersey","OCEAN",576567,628.78
34031,"New Jersey","PASSAIC",501226,184.59
34033,"New Jersey","SALEM",66083,331.9
34035,"New Jersey","SOMERSET",323444,301.81
34037,"New Jersey","SUSSEX",149265,519.01
34039,"New Jersey","UNION",536499,102.85
34041,"New Jersey","WARREN",108692,356.92
