"Fipscode","State","Geographic.area","Population","Land.Area.in.square.miles"
36001,"New York","Albany",304204,522.8
36003,"New York","Allegany",48946,1029.31
36005,"New York","Bronx",1385108,42.1
36007,"New York","Broome",200600,705.77
36009,"New York","Cattaraugus",80317,1308.35
36011,"New York","Cayuga",80026,691.58
36013,"New York","Chautauqua",134905,1060.23
36015,"New York","Chemung",88830,407.35
36017,"New York","Chenango",50477,893.55
36019,"New York","Clinton",82128,1037.85
36021,"New York","Columbia",63096,634.71
36023,"New York","Cortland",49336,498.76
36025,"New York","Delaware",47980,1442.44
36027,"New York","Dutchess",297488,795.63
36029,"New York","Erie",919040,1042.69
36031,"New York","Essex",39370,1794.23
36033,"New York","Franklin",51599,1629.12
36035,"New York","Fulton",55531,495.47
36037,"New York","Genesee",60079,492.94
36039,"New York","Greene",49221,647.16
36041,"New York","Hamilton",4836,1717.37
36043,"New York","Herkimer",64519,1411.47
36045,"New York","Jefferson",116229,1268.59
36047,"New York","Kings",2504700,70.82
36049,"New York","Lewis",27087,1274.68
36051,"New York","Livingston",65393,631.76
36053,"New York","Madison",73442,654.84
36055,"New York","Monroe",744344,657.21
36057,"New York","Montgomery",50219,403.04
36059,"New York","Nassau",1339532,284.72
36061,"New York","New York",1585873,22.83
36063,"New York","Niagara",216469,522.36
36065,"New York","Oneida",234878,1212.43
36067,"New York","Onondaga",467026,778.39
36069,"New York","Ontario",107931,644.07
36071,"New York","Orange",372813,811.69
36073,"New York","Orleans",42883,391.26
36075,"New York","Oswego",122109,951.65
36077,"New York","Otsego",62259,1001.7
36079,"New York","Putnam",99710,230.31
36081,"New York","Queens",2230722,108.53
36083,"New York","Rensselaer",159429,652.43
36085,"New York","Richmond",468730,58.37
36087,"New York","Rockland",311687,173.55
36089,"New York","St. Lawrence",111944,2680.38
36091,"New York","Saratoga",219607,809.98
36093,"New York","Schenectady",154727,204.52
36095,"New York","Schoharie",32749,621.82
36097,"New York","Schuyler",18343,328.33
36099,"New York","Seneca",35251,323.71
36101,"New York","Steuben",98990,1390.56
36103,"New York","Suffolk",1493350,912.05
36105,"New York","Sullivan",77547,968.13
36107,"New York","Tioga",51125,518.6
36109,"New York","Tompkins",101564,474.65
36111,"New York","Ulster",182493,1124.24
36113,"New York","Warren",65707,866.95
36115,"New York","Washington",63216,831.18
36117,"New York","Wayne",93772,603.83
36119,"New York","Westchester",949113,430.5
36121,"New York","Wyoming",42155,592.75
36123,"New York","Yates",25348,338.14
