"Fipscode","State","Geographic.area","Population","Land.Area.in.square.miles"
46003,"South Dakota","Aurora",2710,708.42
46005,"South Dakota","Beadle",17398,1258.71
46007,"South Dakota","Bennett",3431,1184.71
46009,"South Dakota","Bon Homme",7070,563.7
46011,"South Dakota","Brookings",31965,792.21
46013,"South Dakota","Brown",36531,1712.98
46015,"South Dakota","Brule",5255,817.24
46017,"South Dakota","Buffalo",1912,471.38
46019,"South Dakota","Butte",10110,2249.9
46021,"South Dakota","Campbell",1466,733.68
46023,"South Dakota","Charles Mix",9129,1097.49
46025,"South Dakota","Clark",3691,957.6
46027,"South Dakota","Clay",13864,412.19
46029,"South Dakota","Codington",27227,688.5
46031,"South Dakota","Corson",4050,2469.69
46033,"South Dakota","Custer",8216,1557
46035,"South Dakota","Davison",19504,435.56
46037,"South Dakota","Day",5710,1027.87
46039,"South Dakota","Deuel",4364,622.69
46041,"South Dakota","Dewey",5301,2302.49
46043,"South Dakota","Douglas",3002,431.8
46045,"South Dakota","Edmunds",4071,1125.96
46047,"South Dakota","Fall River",7094,1739.92
46049,"South Dakota","Faulk",2364,981.75
46051,"South Dakota","Grant",7356,681.46
46053,"South Dakota","Gregory",4271,1014.96
46055,"South Dakota","Haakon",1937,1810.53
46057,"South Dakota","Hamlin",5903,507.23
46059,"South Dakota","Hand",3431,1436.61
46061,"South Dakota","Hanson",3331,434.51
46063,"South Dakota","Harding",1255,2671.37
46065,"South Dakota","Hughes",17022,741.56
46067,"South Dakota","Hutchinson",7343,812.9
46069,"South Dakota","Hyde",1420,860.52
46071,"South Dakota","Jackson",3031,1863.91
46073,"South Dakota","Jerauld",2071,526.23
46075,"South Dakota","Jones",1006,969.68
46077,"South Dakota","Kingsbury",5148,832.24
46079,"South Dakota","Lake",11200,563.28
46081,"South Dakota","Lawrence",24097,800.04
46083,"South Dakota","Lincoln",44828,577.28
46085,"South Dakota","Lyman",3755,1641.94
46087,"South Dakota","McCook",5618,574.2
46089,"South Dakota","McPherson",2459,1136.64
46091,"South Dakota","Marshall",4656,838.07
46093,"South Dakota","Meade",25434,3470.98
46095,"South Dakota","Mellette",2048,1307.31
46097,"South Dakota","Miner",2389,570.31
46099,"South Dakota","Minnehaha",169468,807.15
46101,"South Dakota","Moody",6486,519.39
46103,"South Dakota","Pennington",100948,2776.55
46105,"South Dakota","Perkins",2982,2870.48
46107,"South Dakota","Potter",2329,861.14
46109,"South Dakota","Roberts",10149,1101.04
46111,"South Dakota","Sanborn",2355,569.32
46113,"South Dakota","Oglala Lakota",13586,2093.9
46115,"South Dakota","Spink",6415,1503.93
46117,"South Dakota","Stanley",2966,1444.43
46119,"South Dakota","Sully",1373,1006.82
46121,"South Dakota","Todd",9612,1388.56
46123,"South Dakota","Tripp",5644,1612.45
46125,"South Dakota","Turner",8347,617.06
46127,"South Dakota","Union",14399,460.54
46129,"South Dakota","Walworth",5438,708.63
46135,"South Dakota","Yankton",22438,521.16
46137,"South Dakota","Ziebach",2801,1961.27
