"Fipscode","State","Geographic.area","Population","Land.Area.in.square.miles"
47001,"Tennessee","Anderson",75129,337.16
47003,"Tennessee","Bedford",45058,473.64
47005,"Tennessee","Benton",16489,394.14
47007,"Tennessee","Bledsoe",12876,406.42
47009,"Tennessee","Blount",123010,558.71
47011,"Tennessee","Bradley",98963,328.76
47013,"Tennessee","Campbell",40716,480.19
47015,"Tennessee","Cannon",13801,265.64
47017,"Tennessee","Carroll",28522,599.25
47019,"Tennessee","Carter",57424,341.2
47021,"Tennessee","Cheatham",39105,302.44
47023,"Tennessee","Chester",17131,285.74
47025,"Tennessee","Claiborne",32213,434.58
47027,"Tennessee","Clay",7861,236.54
47029,"Tennessee","Cocke",35662,434.57
47031,"Tennessee","Coffee",52796,428.96
47033,"Tennessee","Crockett",14586,265.53
47035,"Tennessee","Cumberland",56053,681.03
47037,"Tennessee","Davidson",626681,504.03
47039,"Tennessee","Decatur",11757,333.84
47041,"Tennessee","DeKalb",18723,304.35
47043,"Tennessee","Dickson",49666,489.9
47045,"Tennessee","Dyer",38335,512.33
47047,"Tennessee","Fayette",38413,704.79
47049,"Tennessee","Fentress",17959,498.61
47051,"Tennessee","Franklin",41052,554.54
47053,"Tennessee","Gibson",49683,602.74
47055,"Tennessee","Giles",29485,610.93
47057,"Tennessee","Grainger",22657,280.6
47059,"Tennessee","Greene",68831,622.16
47061,"Tennessee","Grundy",13703,360.53
47063,"Tennessee","Hamblen",62544,161.18
47065,"Tennessee","Hamilton",336463,542.43
47067,"Tennessee","Hancock",6819,222.34
47069,"Tennessee","Hardeman",27253,667.77
47071,"Tennessee","Hardin",26026,577.32
47073,"Tennessee","Hawkins",56833,486.98
47075,"Tennessee","Haywood",18787,533.11
47077,"Tennessee","Henderson",27769,520.07
47079,"Tennessee","Henry",32330,562.1
47081,"Tennessee","Hickman",24690,612.5
47083,"Tennessee","Houston",8426,200.29
47085,"Tennessee","Humphreys",18538,530.98
47087,"Tennessee","Jackson",11638,308.32
47089,"Tennessee","Jefferson",51407,274.08
47091,"Tennessee","Johnson",18244,298.47
47093,"Tennessee","Knox",432226,508.22
47095,"Tennessee","Lake",7832,165.78
47097,"Tennessee","Lauderdale",27815,471.99
47099,"Tennessee","Lawrence",41869,617.13
47101,"Tennessee","Lewis",12161,282.09
47103,"Tennessee","Lincoln",33361,570.34
47105,"Tennessee","Loudon",48556,229.22
47107,"Tennessee","McMinn",52266,430.12
47109,"Tennessee","McNairy",26075,562.86
47111,"Tennessee","Macon",22248,307.14
47113,"Tennessee","Madison",98294,557.12
47115,"Tennessee","Marion",28237,498.16
47117,"Tennessee","Marshall",30617,375.46
47119,"Tennessee","Maury",80956,613.14
47121,"Tennessee","Meigs",11753,195.12
47123,"Tennessee","Monroe",44519,635.56
47125,"Tennessee","Montgomery",172331,539.18
47127,"Tennessee","Moore",6362,129.22
47129,"Tennessee","Morgan",21987,522.18
47131,"Tennessee","Obion",31807,544.73
47133,"Tennessee","Overton",22083,433.48
47135,"Tennessee","Perry",7915,414.73
47137,"Tennessee","Pickett",5077,162.98
47139,"Tennessee","Polk",16825,434.68
47141,"Tennessee","Putnam",72321,401.1
47143,"Tennessee","Rhea",31809,315.38
47145,"Tennessee","Roane",54181,360.71
47147,"Tennessee","Robertson",66283,476.29
47149,"Tennessee","Rutherford",262604,619.36
47151,"Tennessee","Scott",22228,532.3
47153,"Tennessee","Sequatchie",14112,265.86
47155,"Tennessee","Sevier",89889,592.5
47157,"Tennessee","Shelby",927644,763.17
47159,"Tennessee","Smith",19166,314.29
47161,"Tennessee","Stewart",13324,459.33
47163,"Tennessee","Sullivan",156823,413.36
47165,"Tennessee","Sumner",160645,529.45
47167,"Tennessee","Tipton",61081,458.37
47169,"Tennessee","Trousdale",7870,114.19
47171,"Tennessee","Unicoi",18313,186.17
47173,"Tennessee","Union",19109,223.55
47175,"Tennessee","Van Buren",5548,273.42
47177,"Tennessee","Warren",39839,432.68
47179,"Tennessee","Washington",122979,326.46
47181,"Tennessee","Wayne",17021,734.1
47183,"Tennessee","Weakley",35021,580.36
47185,"Tennessee","White",25841,376.67
47187,"Tennessee","Williamson",183182,582.6
47189,"Tennessee","Wilson",113993,570.83
