"Fipscode","State","Geographic.area","Population","Land.Area.in.square.miles"
50001,"Vermont","Addison County",36821,766.33
50003,"Vermont","Bennington County",37125,674.98
50005,"Vermont","Caledonia County",31227,648.86
50007,"Vermont","Chittenden County",156545,536.58
50009,"Vermont","Essex County",6306,663.6
50011,"Vermont","Franklin County",47746,633.71
50013,"Vermont","Grand Isle County",6970,81.81
50015,"Vermont","Lamoille County",24475,458.8
50017,"Vermont","Orange County",28936,687.03
50019,"Vermont","Orleans County",27231,693.27
50021,"Vermont","Rutland County",61642,929.82
50023,"Vermont","Washington County",59534,687.23
50025,"Vermont","Windham County",44513,785.31
50027,"Vermont","Windsor County",56670,969.34
