"Fipscode","State","Geographic.area","Population","Land.Area.in.square.miles"
53001,"Washington","Adams",18728,1924.98
53003,"Washington","Asotin",21623,636.21
53005,"Washington","Benton",175177,1700.38
53007,"Washington","Chelan",72453,2920.52
53009,"Washington","Clallam",71404,1738.33
53011,"Washington","Clark",425363,629
53013,"Washington","Columbia",4078,868.63
53015,"Washington","Cowlitz",102410,1140.13
53017,"Washington","Douglas",38431,1819.26
53019,"Washington","Ferry",7551,2203.16
53021,"Washington","Franklin",78163,1242.17
53023,"Washington","Garfield",2266,710.69
53025,"Washington","Grant",89120,2679.51
53027,"Washington","Grays Harbor",72797,1902.03
53029,"Washington","Island",78506,208.45
53031,"Washington","Jefferson",29872,1803.7
53033,"Washington","King",1931249,2115.57
53035,"Washington","Kitsap",251133,394.94
53037,"Washington","Kittitas",40915,2297.27
53039,"Washington","Klickitat",20318,1871.31
53041,"Washington","Lewis",75455,2402.8
53043,"Washington","Lincoln",10570,2310.49
53045,"Washington","Mason",60699,959.42
53047,"Washington","Okanogan",41120,5267.98
53049,"Washington","Pacific",20920,932.66
53051,"Washington","Pend Oreille",13001,1399.99
53053,"Washington","Pierce",795225,1669.51
53055,"Washington","San Juan",15769,173.91
53057,"Washington","Skagit",116901,1731.2
53059,"Washington","Skamania",11066,1655.68
53061,"Washington","Snohomish",713335,2087.27
53063,"Washington","Spokane",471221,1763.79
53065,"Washington","Stevens",43531,2477.76
53067,"Washington","Thurston",252264,721.96
53069,"Washington","Wahkiakum",3978,263.38
53071,"Washington","Walla Walla",58781,1270.13
53073,"Washington","Whatcom",201140,2106.86
53075,"Washington","Whitman",44776,2159.09
53077,"Washington","Yakima",243231,4295.4
