"Fipscode","State","Geographic.area","Population","Land.Area.in.square.miles"
54001,"West Virginia","Barbour",16589,341.06
54003,"West Virginia","Berkeley",104169,321.14
54005,"West Virginia","Boone",24629,501.54
54007,"West Virginia","Braxton",14523,510.81
54009,"West Virginia","Brooke",24069,89.2
54011,"West Virginia","Cabell",96319,281.02
54013,"West Virginia","Calhoun",7627,279.25
54015,"West Virginia","Clay",9386,341.9
54017,"West Virginia","Doddridge",8202,319.72
54019,"West Virginia","Fayette",46039,661.55
54021,"West Virginia","Gilmer",8693,338.5
54023,"West Virginia","Grant",11937,477.37
54025,"West Virginia","Greenbrier",35480,1019.57
54027,"West Virginia","Hampshire",23964,640.25
54029,"West Virginia","Hancock",30676,82.61
54031,"West Virginia","Hardy",14025,582.31
54033,"West Virginia","Harrison",69099,416.01
54035,"West Virginia","Jackson",29211,464.35
54037,"West Virginia","Jefferson",53498,209.63
54039,"West Virginia","Kanawha",193063,901.59
54041,"West Virginia","Lewis",16372,384.9
54043,"West Virginia","Lincoln",21720,437.04
54045,"West Virginia","Logan",36743,453.74
54047,"West Virginia","McDowell",22113,533.46
54049,"West Virginia","Marion",56418,308.74
54051,"West Virginia","Marshall",33107,305.43
54053,"West Virginia","Mason",27324,430.75
54055,"West Virginia","Mercer",62264,418.99
54057,"West Virginia","Mineral",28212,327.83
54059,"West Virginia","Mingo",26839,423.11
54061,"West Virginia","Monongalia",96189,360.06
54063,"West Virginia","Monroe",13502,472.75
54065,"West Virginia","Morgan",17541,229.07
54067,"West Virginia","Nicholas",26233,646.82
54069,"West Virginia","Ohio",44443,105.82
54071,"West Virginia","Pendleton",7695,696.05
54073,"West Virginia","Pleasants",7605,130.1
54075,"West Virginia","Pocahontas",8719,940.28
54077,"West Virginia","Preston",33520,648.8
54079,"West Virginia","Putnam",55486,345.67
54081,"West Virginia","Raleigh",78859,605.35
54083,"West Virginia","Randolph",29405,1039.68
54085,"West Virginia","Ritchie",10449,451.99
54087,"West Virginia","Roane",14926,483.56
54089,"West Virginia","Summers",13927,360.46
54091,"West Virginia","Taylor",16895,172.77
54093,"West Virginia","Tucker",7141,418.92
54095,"West Virginia","Tyler",9208,256.29
54097,"West Virginia","Upshur",24254,354.64
54099,"West Virginia","Wayne",42481,505.98
54101,"West Virginia","Webster",9154,553.47
54103,"West Virginia","Wetzel",16583,358.06
54105,"West Virginia","Wirt",5717,232.51
54107,"West Virginia","Wood",86956,366.26
54109,"West Virginia","Wyoming",23796,499.45
