"Fipscode","State","Geographic.area","Population","Land.Area.in.square.miles"
55001,"Wisconsin","ADAMS",20875,645.65
55003,"Wisconsin","ASHLAND",16157,1045.04
55005,"Wisconsin","BARRON",45870,862.71
55007,"Wisconsin","BAYFIELD",15014,1477.86
55009,"Wisconsin","BROWN",248007,529.71
55011,"Wisconsin","BUFFALO",13587,671.64
55013,"Wisconsin","BURNETT",15457,821.85
55015,"Wisconsin","CALUMET",48971,318.24
55017,"Wisconsin","CHIPPEWA",62415,1008.37
55019,"Wisconsin","CLARK",34690,1209.82
55021,"Wisconsin","COLUMBIA",56833,765.53
55023,"Wisconsin","CRAWFORD",16644,570.66
55025,"Wisconsin","DANE",488073,1197.24
55027,"Wisconsin","DODGE",88759,875.62
55029,"Wisconsin","DOOR",27785,481.98
55031,"Wisconsin","DOUGLAS",44159,1304.14
55033,"Wisconsin","DUNN",43857,850.11
55035,"Wisconsin","EAU CLAIRE",98736,637.98
55037,"Wisconsin","FLORENCE",4423,488.2
55039,"Wisconsin","FOND DU LAC",101633,719.55
55041,"Wisconsin","FOREST",9304,1014.07
55043,"Wisconsin","GRANT",51208,1146.85
55045,"Wisconsin","GREEN",36842,583.96
55047,"Wisconsin","GREEN LAKE",19051,349.44
55049,"Wisconsin","IOWA",23687,762.58
55051,"Wisconsin","IRON",5916,758.17
55053,"Wisconsin","JACKSON",20449,987.72
55055,"Wisconsin","JEFFERSON",83686,556.47
55057,"Wisconsin","JUNEAU",26664,766.93
55059,"Wisconsin","KENOSHA",166426,271.99
55061,"Wisconsin","KEWAUNEE",20574,342.52
55063,"Wisconsin","LA CROSSE",114638,451.69
55065,"Wisconsin","LAFAYETTE",16836,633.59
55067,"Wisconsin","LANGLADE",19977,870.64
55069,"Wisconsin","LINCOLN",28743,878.97
55071,"Wisconsin","MANITOWOC",81442,589.08
55073,"Wisconsin","MARATHON",134063,1544.98
55075,"Wisconsin","MARINETTE",41749,1399.35
55077,"Wisconsin","MARQUETTE",15404,455.6
55078,"Wisconsin","MENOMINEE",4232,357.61
55079,"Wisconsin","MILWAUKEE",947735,241.4
55081,"Wisconsin","MONROE",44673,900.78
55083,"Wisconsin","OCONTO",37660,997.99
55085,"Wisconsin","ONEIDA",35998,1112.97
55087,"Wisconsin","OUTAGAMIE",176695,637.52
55089,"Wisconsin","OZAUKEE",86395,233.08
55091,"Wisconsin","PEPIN",7469,231.98
55093,"Wisconsin","PIERCE",41019,573.75
55095,"Wisconsin","POLK",44205,913.96
55097,"Wisconsin","PORTAGE",70019,800.68
55099,"Wisconsin","PRICE",14159,1254.38
55101,"Wisconsin","RACINE",195408,332.5
55103,"Wisconsin","RICHLAND",18021,586.15
55105,"Wisconsin","ROCK",160331,718.14
55107,"Wisconsin","RUSK",14755,913.59
55109,"Wisconsin","ST. CROIX",84345,722.33
55111,"Wisconsin","SAUK",61976,830.9
55113,"Wisconsin","SAWYER",16557,1257.3
55115,"Wisconsin","SHAWANO",41949,893.06
55117,"Wisconsin","SHEBOYGAN",115507,511.27
55119,"Wisconsin","TAYLOR",20689,974.88
55121,"Wisconsin","TREMPEALEAU",28816,732.96
55123,"Wisconsin","VERNON",29773,791.58
55125,"Wisconsin","VILAS",21430,856.6
55127,"Wisconsin","WALWORTH",102228,555.13
55129,"Wisconsin","WASHBURN",15911,797.11
55131,"Wisconsin","WASHINGTON",131887,430.7
55133,"Wisconsin","WAUKESHA",389891,549.57
55135,"Wisconsin","WAUPACA",52410,747.71
55137,"Wisconsin","WAUSHARA",24496,626.15
55139,"Wisconsin","WINNEBAGO",166994,434.49
55141,"Wisconsin","WOOD",74749,793.12
