"zipcode","county_fips","county_name","region"
"15001","42007","Beaver","Greater Pittsburgh"
"15003","42007","Beaver","Greater Pittsburgh"
"15004","42125","Washington","Greater Pittsburgh"
"15005","42007","Beaver","Greater Pittsburgh"
"15006","42003","Allegheny","Greater Pittsburgh"
"15007","42003","Allegheny","Greater Pittsburgh"
"15009","42007","Beaver","Greater Pittsburgh"
"15010","42007","Beaver","Greater Pittsburgh"
"15012","42129","Westmoreland","Greater Pittsburgh"
"15014","42003","Allegheny","Greater Pittsburgh"
"15015","42003","Allegheny","Greater Pittsburgh"
"15017","42003","Allegheny","Greater Pittsburgh"
"15018","42003","Allegheny","Greater Pittsburgh"
"15019","42125","Washington","Greater Pittsburgh"
"15020","42003","Allegheny","Greater Pittsburgh"
"15021","42125","Washington","Greater Pittsburgh"
"15022","42125","Washington","Greater Pittsburgh"
"15024","42003","Allegheny","Greater Pittsburgh"
"15025","42003","Allegheny","Greater Pittsburgh"
"15026","42007","Beaver","Greater Pittsburgh"
"15027","42007","Beaver","Greater Pittsburgh"
"15028","42003","Allegheny","Greater Pittsburgh"
"15030","42003","Allegheny","Greater Pittsburgh"
"15031","42003","Allegheny","Greater Pittsburgh"
"15033","42125","Washington","Greater Pittsburgh"
"15034","42003","Allegheny","Greater Pittsburgh"
"15035","42003","Allegheny","Greater Pittsburgh"
"15037","42003","Allegheny","Greater Pittsburgh"
"15038","42125","Washington","Greater Pittsburgh"
"15042","42007","Beaver","Greater Pittsburgh"
"15043","42007","Beaver","Greater Pittsburgh"
"15044","42003","Allegheny","Greater Pittsburgh"
"15045","42003","Allegheny","Greater Pittsburgh"
"15046","42003","Allegheny","Greater Pittsburgh"
"15047","42003","Allegheny","Greater Pittsburgh"
"15049","42003","Allegheny","Greater Pittsburgh"
"15050","42007","Beaver","Greater Pittsburgh"
"15051","42003","Allegheny","Greater Pittsburgh"
"15052","42007","Beaver","Greater Pittsburgh"
"15053","42125","Washington","Greater Pittsburgh"
"15054","42125","Washington","Greater Pittsburgh"
"15055","42125","Washington","Greater Pittsburgh"
"15056","42003","Allegheny","Greater Pittsburgh"
"15057","42125","Washington","Greater Pittsburgh"
"15059","42007","Beaver","Greater Pittsburgh"
"15060","42125","Washington","Greater Pittsburgh"
"15061","42007","Beaver","Greater Pittsburgh"
"15062","42129","Westmoreland","Greater Pittsburgh"
"15063","42125","Washington","Greater Pittsburgh"
"15064","42003","Allegheny","Greater Pittsburgh"
"15065","42003","Allegheny","Greater Pittsburgh"
"15066","42007","Beaver","Greater Pittsburgh"
"15067","42125","Washington","Greater Pittsburgh"
"15068","42129","Westmoreland","Greater Pittsburgh"
"15071","42003","Allegheny","Greater Pittsburgh"
"15072","42129","Westmoreland","Greater Pittsburgh"
"15074","42007","Beaver","Greater Pittsburgh"
"15075","42003","Allegheny","Greater Pittsburgh"
"15076","42003","Allegheny","Greater Pittsburgh"
"15077","42007","Beaver","Greater Pittsburgh"
"15078","42125","Washington","Greater Pittsburgh"
"15081","42007","Beaver","Greater Pittsburgh"
"15082","42003","Allegheny","Greater Pittsburgh"
"15083","42129","Westmoreland","Greater Pittsburgh"
"15084","42003","Allegheny","Greater Pittsburgh"
"15085","42129","Westmoreland","Greater Pittsburgh"
"15086","42003","Allegheny","Greater Pittsburgh"
"15087","42129","Westmoreland","Greater Pittsburgh"
"15088","42003","Allegheny","Greater Pittsburgh"
"15089","42129","Westmoreland","Greater Pittsburgh"
"15090","42003","Allegheny","Greater Pittsburgh"
"15101","42003","Allegheny","Greater Pittsburgh"
"15102","42003","Allegheny","Greater Pittsburgh"
"15104","42003","Allegheny","Greater Pittsburgh"
"15106","42003","Allegheny","Greater Pittsburgh"
"15108","42003","Allegheny","Greater Pittsburgh"
"15110","42003","Allegheny","Greater Pittsburgh"
"15112","42003","Allegheny","Greater Pittsburgh"
"15116","42003","Allegheny","Greater Pittsburgh"
"15120","42003","Allegheny","Greater Pittsburgh"
"15122","42003","Allegheny","Greater Pittsburgh"
