"state","county","precinct","office","candidate","party","votes"
"Alabama","DeKalb","ABSENTEE","STRAIGHT PARTY","Alabama Democratic Party","Democratic",89
"Alabama","DeKalb","ABSENTEE","STRAIGHT PARTY","Alabama Republican Party","Republican",318
"Alabama","DeKalb","ABSENTEE","UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT","Lee Auman","Democratic",146
"Alabama","DeKalb","ABSENTEE","UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT","Robert Aderholt","Republican",525
"Alabama","DeKalb","ABSENTEE","UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT","Write-In","No party",0
"Alabama","DeKalb","ABSENTEE","GOVERNOR","Walt Maddox","Democratic",150
"Alabama","DeKalb","ABSENTEE","GOVERNOR","Kay Ivey","Republican",530
"Alabama","DeKalb","ABSENTEE","GOVERNOR","Write-In","No party",1
"Alabama","DeKalb","ABSENTEE","LIEUTENANT GOVERNOR","Will Boyd","Democratic",139
"Alabama","DeKalb","ABSENTEE","LIEUTENANT GOVERNOR","Will Ainsworth","Republican",531
"Alabama","DeKalb","ABSENTEE","LIEUTENANT GOVERNOR","Write-In","No party",0
"Alabama","DeKalb","ABSENTEE","ATTORNEY GENERAL","Joseph Siegelman","Democratic",148
"Alabama","DeKalb","ABSENTEE","ATTORNEY GENERAL","Steve Marshall","Republican",525
"Alabama","DeKalb","ABSENTEE","ATTORNEY GENERAL","Write-In","No party",0
"Alabama","DeKalb","ABSENTEE","CHIEF JUSTICE OF THE SUPREME COURT","Bob Vance, Jr.","Democratic",154
"Alabama","DeKalb","ABSENTEE","CHIEF JUSTICE OF THE SUPREME COURT","Tom Parker","Republican",501
"Alabama","DeKalb","ABSENTEE","CHIEF JUSTICE OF THE SUPREME COURT","Write-In","No party",0
"Alabama","DeKalb","ABSENTEE","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1","Sarah Hicks Stewart","Republican",493
"Alabama","DeKalb","ABSENTEE","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1","Write-In","No party",3
"Alabama","DeKalb","ABSENTEE","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2","Tommy Bryan","Republican",493
"Alabama","DeKalb","ABSENTEE","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2","Write-In","No party",2
"Alabama","DeKalb","ABSENTEE","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3","Will Sellers","Republican",493
"Alabama","DeKalb","ABSENTEE","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3","Write-In","No party",3
"Alabama","DeKalb","ABSENTEE","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 4","Donna Wesson Smalley","Democratic",144
"Alabama","DeKalb","ABSENTEE","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 4","Jay Mitchell","Republican",497
"Alabama","DeKalb","ABSENTEE","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 4","Write-In","No party",0
"Alabama","DeKalb","ABSENTEE","STATE TREASURER","John McMillan","Republican",494
"Alabama","DeKalb","ABSENTEE","STATE TREASURER","Write-In","No party",2
"Alabama","DeKalb","ABSENTEE","COMMISSIONER OF AGRICULTURE AND INDUSTRIES","Rick Pate","Republican",493
"Alabama","DeKalb","ABSENTEE","COMMISSIONER OF AGRICULTURE AND INDUSTRIES","Write-In","No party",2
"Alabama","DeKalb","ABSENTEE","SECRETARY OF STATE","Heather Milam","Democratic",140
"Alabama","DeKalb","ABSENTEE","SECRETARY OF STATE","John H. Merrill","Republican",512
"Alabama","DeKalb","ABSENTEE","SECRETARY OF STATE","Write-In","No party",0
"Alabama","DeKalb","ABSENTEE","STATE AUDITOR","Miranda Karrine Joseph","Democratic",155
"Alabama","DeKalb","ABSENTEE","STATE AUDITOR","Jim Zeigler","Republican",497
"Alabama","DeKalb","ABSENTEE","STATE AUDITOR","Write-In","No party",0
"Alabama","DeKalb","ABSENTEE","COURT OF CIVIL APPEALS JUDGE, PLACE 1","Christy Olinger Edwards","Republican",492
"Alabama","DeKalb","ABSENTEE","COURT OF CIVIL APPEALS JUDGE, PLACE 1","Write-In","No party",3
"Alabama","DeKalb","ABSENTEE","COURT OF CIVIL APPEALS JUDGE, PLACE 2","Chad Hanson","Republican",491
"Alabama","DeKalb","ABSENTEE","COURT OF CIVIL APPEALS JUDGE, PLACE 2","Write-In","No party",2
"Alabama","DeKalb","ABSENTEE","COURT OF CIVIL APPEALS JUDGE, PLACE 3","Terry A. Moore","Republican",490
"Alabama","DeKalb","ABSENTEE","COURT OF CIVIL APPEALS JUDGE, PLACE 3","Write-In","No party",2
"Alabama","DeKalb","ABSENTEE","COURT OF CRIMINAL APPEALS JUDGE, PLACE 1","Richard Minor","Republican",492
"Alabama","DeKalb","ABSENTEE","COURT OF CRIMINAL APPEALS JUDGE, PLACE 1","Write-In","No party",2
"Alabama","DeKalb","ABSENTEE","COURT OF CRIMINAL APPEALS JUDGE, PLACE 2","Chris McCool","Republican",493
"Alabama","DeKalb","ABSENTEE","COURT OF CRIMINAL APPEALS JUDGE, PLACE 2","Write-In","No party",2
"Alabama","DeKalb","ABSENTEE","COURT OF CRIMINAL APPEALS JUDGE, PLACE 3","Bill Cole","Republican",490
"Alabama","DeKalb","ABSENTEE","COURT OF CRIMINAL APPEALS JUDGE, PLACE 3","Write-In","No party",2
"Alabama","DeKalb","ABSENTEE","PUBLIC SERVICE COMMISSION, PLACE 1","Cara Y. McClure","Democratic",152
"Alabama","DeKalb","ABSENTEE","PUBLIC SERVICE COMMISSION, PLACE 1","Jeremy H. Oden","Republican",491
"Alabama","DeKalb","ABSENTEE","PUBLIC SERVICE COMMISSION, PLACE 1","Write-In","No party",0
"Alabama","DeKalb","ABSENTEE","PUBLIC SERVICE COMMISSION, PLACE 2","Kari Powell","Democratic",151
"Alabama","DeKalb","ABSENTEE","PUBLIC SERVICE COMMISSION, PLACE 2","Chris ""Chip"" Beeker Jr.","Republican",490
