"athlete","gender","age","sport","gold","silver","bronze","total","id","season","year","country"
"Ali Dad","Male",NA,"Wrestling",0,0,0,0,"ali-dad-1","summer","1988","Afghanistan"
"Ahmad Nasir","Male",NA,"Wrestling",0,0,0,0,"ahmad-nasir-1","summer","1988","Afghanistan"
"Mohammad Razigul","Male",NA,"Wrestling",0,0,0,0,"mohammad-razigul-1","summer","1988","Afghanistan"
"Mohammad Shir","Male",NA,"Wrestling",0,0,0,0,"mohammad-shir-1","summer","1988","Afghanistan"
"Mohammad Taj","Male",NA,"Wrestling",0,0,0,0,"mohammad-taj-1","summer","1988","Afghanistan"
"Réda Abdenouz","Male",19,"Athletics",0,0,0,0,"reda-abdenouz-1","summer","1988","Algeria"
"Benaissa Abed","Male",23,"Boxing",0,0,0,0,"benaissa-abed-1","summer","1988","Algeria"
"Makhlouf Ait Hocine","Male",21,"Handball",0,0,0,0,"makhlouf-ait-hocine-1","summer","1988","Algeria"
"Omar Azzeb","Male",28,"Handball",0,0,0,0,"omar-azzeb-1","summer","1988","Algeria"
"Azzedine Basbas","Male",21,"Weightlifting",0,0,0,0,"azzedine-basbas-1","summer","1988","Algeria"
"Ben Ali Beghouach","Male",21,"Handball",0,0,0,0,"ben-ali-beghouach-1","summer","1988","Algeria"
"Ahmed Bel Kessam","Male",26,"Athletics",0,0,0,0,"ahmed-bel-kessam-1","summer","1988","Algeria"
"Abdel Salem Ben Magh Soula","Male",27,"Handball",0,0,0,0,"abdel-salem-ben-magh-soula-1","summer","1988","Algeria"
"Sebti Benzine","Male",24,"Cycling",0,0,0,0,"sebti-benzine-1","summer","1988","Algeria"
"Mahmoud Bouanik","Male",21,"Handball",0,0,0,0,"mahmoud-bouanik-1","summer","1988","Algeria"
"Oarda Bouchabou","Female",18,"Tennis",0,0,0,0,"oarda-bouchabou-1","summer","1988","Algeria"
"Salah Bouchekriou","Male",26,"Handball",0,0,0,0,"salah-bouchekriou-1","summer","1988","Algeria"
"Abdelhak Bouhalissa","Male",27,"Handball",0,0,0,0,"abdelhak-bouhalissa-1","summer","1988","Algeria"
"Mohamed Bouhalla","Male",25,"Athletics",0,0,0,0,"mohamed-bouhalla-1","summer","1988","Algeria"
"Hassiba Boulmerka","Female",20,"Athletics",0,0,0,0,"hassiba-boulmerka-1","summer","1988","Algeria"
"Brahim Bourdrali","Male",25,"Handball",0,0,0,0,"brahim-bourdrali-1","summer","1988","Algeria"
"Mourad Boussebt","Male",28,"Handball",0,0,0,0,"mourad-boussebt-1","summer","1988","Algeria"
"Azzedine Brahmi","Male",22,"Athletics",0,0,0,0,"azzedine-brahmi-1","summer","1988","Algeria"
"Riad Chibani","Male",24,"Judo",0,0,0,0,"riad-chibani-1","summer","1988","Algeria"
"Meziane Dahmani","Male",23,"Judo",0,0,0,0,"meziane-dahmani-1","summer","1988","Algeria"
"Ahmed Dine","Male",23,"Boxing",0,0,0,0,"ahmed-dine-1","summer","1988","Algeria"
"Ahcen Djeffal","Male",35,"Handball",0,0,0,0,"ahcen-djeffal-1","summer","1988","Algeria"
"Abu Sofiane Draouci","Male",28,"Handball",0,0,0,0,"abu-sofiane-draouci-1","summer","1988","Algeria"
"Abdel Wahab Ferguene","Male",29,"Athletics",0,0,0,0,"abdel-wahab-ferguene-1","summer","1988","Algeria"
"Ali Idir","Male",21,"Judo",0,0,0,0,"ali-idir-1","summer","1988","Algeria"
"Lotfi Khaïda","Male",19,"Athletics",0,0,0,0,"lotfi-khaida-1","summer","1988","Algeria"
"Allaoua Khellil","Male",34,"Athletics",0,0,0,0,"allaoua-khellil-1","summer","1988","Algeria"
"Rachid Kram","Male",25,"Athletics",0,0,0,0,"rachid-kram-1","summer","1988","Algeria"
"Fethnour Lacheheb","Male",24,"Handball",0,0,0,0,"fethnour-lacheheb-1","summer","1988","Algeria"
"Mohamed Meridja","Male",27,"Judo",0,0,0,0,"mohamed-meridja-1","summer","1988","Algeria"
"Noureddine Meziane","Male",25,"Boxing",0,0,0,0,"noureddine-meziane-1","summer","1988","Algeria"
"Boualem Miloudi","Male",23,"Judo",0,0,0,0,"boualem-miloudi-1","summer","1988","Algeria"
"Mohamed Mir","Male",25,"Cycling",0,0,0,0,"mohamed-mir-1","summer","1988","Algeria"
"Kamel Ouchia","Male",31,"Handball",0,0,0,0,"kamel-ouchia-1","summer","1988","Algeria"
"Azzedine Saïd","Male",27,"Boxing",0,0,0,0,"azzedine-said-1","summer","1988","Algeria"
"Moustafa Kamel Salmi","Male",23,"Athletics",0,0,0,0,"moustafa-kamel-salmi-1","summer","1988","Algeria"
"Zineddine Mohamed Seghir","Male",29,"Handball",0,0,0,0,"zineddine-mohamed-seghir-1","summer","1988","Algeria"
"Yacine Sheikh","Male",22,"Boxing",0,0,0,0,"yacine-sheikh-1","summer","1988","Algeria"
"Noureddine Tadjine","Male",25,"Athletics",0,0,0,0,"noureddine-tadjine-1","summer","1988","Algeria"
"Hakim Toumi","Male",27,"Athletics",0,0,0,0,"hakim-toumi-1","summer","1988","Algeria"
"Omar Yousfi","Male",32,"Weightlifting",0,0,0,0,"omar-yousfi-1","summer","1988","Algeria"
"Slimane Zengli","Male",23,"Boxing",0,0,0,0,"slimane-zengli-1","summer","1988","Algeria"
"Lopesi Faagu","Male",28,"Weightlifting",0,0,0,0,"lopesi-faagu-1","summer","1988","American Samoa"
"Gary Fanelli","Male",37,"Athletics",0,0,0,0,"gary-fanelli-1","summer","1988","American Samoa"
"Maselino Masoe","Male",22,"Boxing",0,0,0,0,"maselino-masoe-1","summer","1988","American Samoa"
"Mika Masoe","Male",24,"Boxing",0,0,0,0,"mika-masoe-1","summer","1988","American Samoa"
"Alesana Sione","Male",22,"Wrestling",0,0,0,0,"alesana-sione-1","summer","1988","American Samoa"
"Tauama Timoti","Male",29,"Weightlifting",0,0,0,0,"tauama-timoti-1","summer","1988","American Samoa"
"Josep Graells","Male",24,"Athletics",0,0,0,0,"josep-graells-1","summer","1988","Andorra"
"Emili Pérez","Male",21,"Cycling",0,0,0,0,"emili-perez-1","summer","1988","Andorra"
"Xavier Pérez","Male",20,"Cycling",0,0,0,0,"xavier-perez-1","summer","1988","Andorra"
"Abbão Bartolomeu","Male",22,"Judo",0,0,0,0,"abbao-bartolomeu-1","summer","1988","Angola"
"Ricardo José Boy","Male",24,"Judo",0,0,0,0,"ricardo-jose-boy-1","summer","1988","Angola"
"João Carvalho","Male",37,"Athletics",0,0,0,0,"joao-carvalho-1","summer","1988","Angola"
"Nádia Cruz","Female",13,"Swimming",0,0,0,0,"nadia-cruz-1","summer","1988","Angola"
"Guilhermina da Cruz","Female",18,"Athletics",0,0,0,0,"guilhermina-da-cruz-1","summer","1988","Angola"
"Helder de Carvalho","Male",22,"Judo",0,0,0,0,"helder-de-carvalho-1","summer","1988","Angola"
"Apolinário de Silveira","Male",23,"Boxing",0,0,0,0,"apolinario-de-silveira-1","summer","1988","Angola"
"António dos Santos","Male",24,"Athletics",0,0,0,0,"antonio-dos-santos-2","summer","1988","Angola"
"Arménio Fernandes","Male",28,"Athletics",0,0,0,0,"armenio-fernandes-1","summer","1988","Angola"
"Carla Fernandes","Female",14,"Swimming",0,0,0,0,"carla-fernandes-1","summer","1988","Angola"
"Vivaldo Fernandes","Male",17,"Swimming",0,0,0,0,"vivaldo-fernandes-1","summer","1988","Angola"
"Luis Fortunato","Male",25,"Judo",0,0,0,0,"luis-fortunato-1","summer","1988","Angola"
"Gaspar Fragata","Male",16,"Swimming",0,0,0,0,"gaspar-fragata-1","summer","1988","Angola"
"Elsa Freire","Female",14,"Swimming",0,0,0,0,"elsa-freire-1","summer","1988","Angola"
"Jorge Gomes","Male",16,"Swimming",0,0,0,0,"jorge-gomes-1","summer","1988","Angola"
