"Fipscode","State","Geographic.area","Population","Land.Area.in.square.miles"
1001,"Alabama","Autauga",54571,594.44
1003,"Alabama","Baldwin",182265,1589.78
1005,"Alabama","Barbour",27457,884.88
1007,"Alabama","Bibb",22915,622.58
1009,"Alabama","Blount",57322,644.78
1011,"Alabama","Bullock",10914,622.8
1013,"Alabama","Butler",20947,776.83
1015,"Alabama","Calhoun",118572,605.87
1017,"Alabama","Chambers",34215,596.53
1019,"Alabama","Cherokee",25989,553.7
1021,"Alabama","Chilton",43643,692.85
1023,"Alabama","Choctaw",13859,913.5
1025,"Alabama","Clarke",25833,1238.46
1027,"Alabama","Clay",13932,603.96
1029,"Alabama","Cleburne",14972,560.1
1031,"Alabama","Coffee",49948,678.97
1033,"Alabama","Colbert",54428,592.62
1035,"Alabama","Conecuh",13228,850.16
1037,"Alabama","Coosa",11539,650.93
1039,"Alabama","Covington",37765,1030.46
1041,"Alabama","Crenshaw",13906,608.84
1043,"Alabama","Cullman",80406,734.84
1045,"Alabama","Dale",50251,561.15
1047,"Alabama","Dallas",43820,978.69
1049,"Alabama","DeKalb",71109,777.09
1051,"Alabama","Elmore",79303,618.48
1053,"Alabama","Escambia",38319,945.08
1055,"Alabama","Etowah",104430,534.99
1057,"Alabama","Fayette",17241,627.66
1059,"Alabama","Franklin",31704,633.82
1061,"Alabama","Geneva",26790,574.41
1063,"Alabama","Greene",9045,647.11
1065,"Alabama","Hale",15760,643.94
1067,"Alabama","Henry",17302,561.75
1069,"Alabama","Houston",101547,579.82
1071,"Alabama","Jackson",53227,1077.87
1073,"Alabama","Jefferson",658466,1111.28
1075,"Alabama","Lamar",14564,604.85
1077,"Alabama","Lauderdale",92709,667.7
1079,"Alabama","Lawrence",34339,690.68
1081,"Alabama","Lee",140247,607.54
1083,"Alabama","Limestone",82782,559.94
1085,"Alabama","Lowndes",11299,715.91
1087,"Alabama","Macon",21452,608.89
1089,"Alabama","Madison",334811,801.59
1091,"Alabama","Marengo",21027,976.88
1093,"Alabama","Marion",30776,742.29
1095,"Alabama","Marshall",93019,565.84
1097,"Alabama","Mobile",412992,1229.44
1099,"Alabama","Monroe",23068,1025.67
1101,"Alabama","Montgomery",229363,784.25
1103,"Alabama","Morgan",119490,579.34
1105,"Alabama","Perry",10591,719.66
1107,"Alabama","Pickens",19746,881.41
1109,"Alabama","Pike",32899,672.09
1111,"Alabama","Randolph",22913,580.55
1113,"Alabama","Russell",52947,641.14
1115,"Alabama","St Clair",83593,631.9
1117,"Alabama","Shelby",195085,784.93
1119,"Alabama","Sumter",13763,903.89
1121,"Alabama","Talladega",82291,736.78
1123,"Alabama","Tallapoosa",41616,716.52
1125,"Alabama","Tuscaloosa",194656,1321.75
1127,"Alabama","Walker",67023,791.19
1129,"Alabama","Washington",17581,1080.21
1131,"Alabama","Wilcox",11670,888.5
1133,"Alabama","Winston",24484,612.98
