"Fipscode","State","Geographic.area","Population","Land.Area.in.square.miles"
6001,"California","Alameda",1510271,739.02
6003,"California","Alpine",1175,738.33
6005,"California","Amador",38091,594.58
6007,"California","Butte",220000,1636.46
6009,"California","Calaveras",45578,1020.01
6011,"California","Colusa",21419,1150.73
6013,"California","Contra Costa",1049025,715.94
6015,"California","Del Norte",28610,1006.37
6017,"California","El Dorado",181058,1707.88
6019,"California","Fresno",930450,5957.99
6021,"California","Glenn",28122,1313.95
6023,"California","Humboldt",134623,3567.99
6025,"California","Imperial",174528,4176.6
6027,"California","Inyo",18546,10180.88
6029,"California","Kern",839631,8131.92
6031,"California","Kings",152982,1389.42
6033,"California","Lake",64665,1256.46
6035,"California","Lassen",34895,4541.18
6037,"California","Los Angeles",9818605,4057.88
6039,"California","Madera",150865,2137.07
6041,"California","Marin",252409,520.31
6043,"California","Mariposa",18251,1448.82
6045,"California","Mendocino",87841,3506.34
6047,"California","Merced",255793,1934.97
6049,"California","Modoc",9686,3917.77
6051,"California","Mono",14202,3048.98
6053,"California","Monterey",415057,3280.6
6055,"California","Napa",136484,748.36
6057,"California","Nevada",98764,957.77
6059,"California","Orange",3010232,790.57
6061,"California","Placer",348432,1407.01
6063,"California","Plumas",20007,2553.04
6065,"California","Riverside",2189641,7206.48
6067,"California","Sacramento",1418788,964.64
6069,"California","San Benito",55269,1388.71
6071,"California","San Bernardino",2035210,20056.94
6073,"California","San Diego",3095313,4206.63
6075,"California","San Francisco",805235,46.87
6077,"California","San Joaquin",685306,1391.32
6079,"California","San Luis Obispo",269637,3298.57
6081,"California","San Mateo",718451,448.41
6083,"California","Santa Barbara",423895,2735.09
6085,"California","Santa Clara",1781642,1290.1
6087,"California","Santa Cruz",262382,445.17
6089,"California","Shasta",177223,3775.4
6091,"California","Sierra",3240,953.21
6093,"California","Siskiyou",44900,6277.89
6095,"California","Solano",413344,821.76
6097,"California","Sonoma",483878,1575.85
6099,"California","Stanislaus",514453,1494.83
6101,"California","Sutter",94737,602.41
6103,"California","Tehama",63463,2949.71
6105,"California","Trinity",13786,3179.25
6107,"California","Tulare",442179,4824.21
6109,"California","Tuolumne",55365,2220.88
6111,"California","Ventura",823318,1843.13
6113,"California","Yolo",200849,1014.69
6115,"California","Yuba",72155,631.84
