"Fipscode","State","Geographic.area","Population","Land.Area.in.square.miles"
13001,"Georgia","Appling",18236,507.08
13003,"Georgia","Atkinson",8375,339.38
13005,"Georgia","Bacon",11096,258.58
13007,"Georgia","Baker",3451,341.94
13009,"Georgia","Baldwin",45720,257.84
13011,"Georgia","Banks",18395,232.09
13013,"Georgia","Barrow",69367,160.31
13015,"Georgia","Bartow",100157,459.54
13017,"Georgia","Ben Hill",17634,250.12
13019,"Georgia","Berrien",19286,451.9
13021,"Georgia","Bibb",155547,249.76
13023,"Georgia","Bleckley",13063,215.87
13025,"Georgia","Brantley",18411,442.36
13027,"Georgia","Brooks",16243,493.05
13029,"Georgia","Bryan",30233,435.97
13031,"Georgia","Bulloch",70217,672.81
13033,"Georgia","Burke",23316,826.97
13035,"Georgia","Butts",23655,184.39
13037,"Georgia","Calhoun",6694,280.37
13039,"Georgia","Camden",50513,613.03
13043,"Georgia","Candler",10998,243.04
13045,"Georgia","Carroll",110527,499.08
13047,"Georgia","Catoosa",63942,162.16
13049,"Georgia","Charlton",12171,773.58
13051,"Georgia","Chatham",265128,426.44
13053,"Georgia","Chattahoochee",11267,248.74
13055,"Georgia","Chattooga",26015,313.34
13057,"Georgia","Cherokee",214346,421.67
13059,"Georgia","Clarke",116714,119.2
13061,"Georgia","Clay",3183,195.38
13063,"Georgia","Clayton",259424,141.57
13065,"Georgia","Clinch",6798,800.22
13067,"Georgia","Cobb",688078,339.55
13069,"Georgia","Coffee",42356,575.1
13071,"Georgia","Colquitt",45498,544.15
13073,"Georgia","Columbia",124053,290.09
13075,"Georgia","Cook",17212,227.16
13077,"Georgia","Coweta",127317,440.89
13079,"Georgia","Crawford",12630,324.89
13081,"Georgia","Crisp",23439,272.58
13083,"Georgia","Dade",16633,173.98
13085,"Georgia","Dawson",22330,210.83
13087,"Georgia","Decatur",27842,597.14
13089,"Georgia","DeKalb",691893,267.58
13091,"Georgia","Dodge",21796,495.89
13093,"Georgia","Dooly",14918,391.94
13095,"Georgia","Dougherty",94565,328.69
13097,"Georgia","Douglas",132403,200.07
13099,"Georgia","Early",11008,512.59
13101,"Georgia","Echols",4034,414.89
13103,"Georgia","Effingham",52250,477.7
13105,"Georgia","Elbert",20166,351.06
13107,"Georgia","Emanuel",22598,680.6
13109,"Georgia","Evans",11000,182.85
13111,"Georgia","Fannin",23682,386.72
13113,"Georgia","Fayette",106567,194.34
13115,"Georgia","Floyd",96317,509.91
13117,"Georgia","Forsyth",175511,224.02
13119,"Georgia","Franklin",22084,261.5
13121,"Georgia","Fulton",920581,526.63
13123,"Georgia","Gilmer",28292,426.54
13125,"Georgia","Glascock",3082,143.74
13127,"Georgia","Glynn",79626,419.75
13129,"Georgia","Gordon",55186,355.81
13131,"Georgia","Grady",25011,454.53
13133,"Georgia","Greene",15994,387.44
13135,"Georgia","Gwinnett",805321,430.38
13137,"Georgia","Habersham",43041,276.74
13139,"Georgia","Hall",179684,392.78
13141,"Georgia","Hancock",9429,471.84
13143,"Georgia","Haralson",28780,282.17
13145,"Georgia","Harris",32024,463.87
13147,"Georgia","Hart",25213,232.39
13149,"Georgia","Heard",11834,296.03
13151,"Georgia","Henry",203922,322.13
13153,"Georgia","Houston",139900,375.54
13155,"Georgia","Irwin",9538,354.34
13157,"Georgia","Jackson",60485,339.66
13159,"Georgia","Jasper",13900,368.16
13161,"Georgia","Jeff Davis",15068,330.74
13163,"Georgia","Jefferson",16930,526.48
13165,"Georgia","Jenkins",8340,347.28
13167,"Georgia","Johnson",9980,303.01
13169,"Georgia","Jones",28669,393.93
13171,"Georgia","Lamar",18317,183.5
13173,"Georgia","Lanier",10078,185.26
13175,"Georgia","Laurens",48434,807.3
13177,"Georgia","Lee",28298,355.78
13179,"Georgia","Liberty",63453,489.8
13181,"Georgia","Lincoln",7996,210.38
13183,"Georgia","Long",14464,400.29
13185,"Georgia","Lowndes",109233,496.07
13187,"Georgia","Lumpkin",29966,282.93
13189,"Georgia","McDuffie",21875,257.46
13191,"Georgia","McIntosh",14333,424.3
13193,"Georgia","Macon",14740,400.64
13195,"Georgia","Madison",28120,282.31
13197,"Georgia","Marion",8742,366
13199,"Georgia","Meriwether",21992,501.22
13201,"Georgia","Miller",6125,282.42
13205,"Georgia","Mitchell",23498,512.08
13207,"Georgia","Monroe",26424,395.66
13209,"Georgia","Montgomery",9123,239.52
13211,"Georgia","Morgan",17868,347.35
13213,"Georgia","Murray",39628,344.47
13215,"Georgia","Muscogee",189885,216.39
13217,"Georgia","Newton",99958,272.16
13219,"Georgia","Oconee",32808,184.29
13221,"Georgia","Oglethorpe",14899,439.01
13223,"Georgia","Paulding",142324,312.22
13225,"Georgia","Peach",27695,150.27
13227,"Georgia","Pickens",29431,232.06
13229,"Georgia","Pierce",18758,316.49
13231,"Georgia","Pike",17869,216.09
13233,"Georgia","Polk",41475,310.33
13235,"Georgia","Pulaski",12010,249.03
13237,"Georgia","Putnam",21218,344.64
13239,"Georgia","Quitman",2513,151.24
13241,"Georgia","Rabun",16276,369.99
13243,"Georgia","Randolph",7719,428.24
13245,"Georgia","Richmond",200549,324.33
13247,"Georgia","Rockdale",85215,129.79
13249,"Georgia","Schley",5010,166.91
13251,"Georgia","Screven",14593,645.1
13253,"Georgia","Seminole",8729,235.23
13255,"Georgia","Spalding",64073,196.47
13257,"Georgia","Stephens",26175,179.13
13259,"Georgia","Stewart",6058,458.73
13261,"Georgia","Sumter",32819,482.7
13263,"Georgia","Talbot",6865,391.39
13265,"Georgia","Taliaferro",1717,194.61
13267,"Georgia","Tattnall",25520,479.4
13269,"Georgia","Taylor",8906,376.69
13271,"Georgia","Telfair",16500,437.3
13273,"Georgia","Terrell",9315,335.44
13275,"Georgia","Thomas",44720,544.6
13277,"Georgia","Tift",40118,258.91
13279,"Georgia","Toombs",27223,364
13281,"Georgia","Towns",10471,166.56
