"Fipscode","State","Geographic.area","Population","Land.Area.in.square.miles"
16001,"Idaho","Ada",392365,1052.58
16003,"Idaho","Adams",3976,1363.06
16005,"Idaho","Bannock",82839,1111.99
16007,"Idaho","Bear Lake",5986,974.78
16009,"Idaho","Benewah",9285,776.62
16011,"Idaho","Bingham",45607,2093.98
16013,"Idaho","Blaine",21376,2643.59
16015,"Idaho","Boise",7028,1899.24
16017,"Idaho","Bonner",40877,1734.57
16019,"Idaho","Bonneville",104234,1866.08
16021,"Idaho","Boundary",10972,1268.56
16023,"Idaho","Butte",2891,2231.67
16025,"Idaho","Camas",1117,1074.49
16027,"Idaho","Canyon",188923,587.37
16029,"Idaho","Caribou",6963,1764.15
16031,"Idaho","Cassia",22952,2565.08
16033,"Idaho","Clark",982,1764.19
16035,"Idaho","Clearwater",8761,2457.27
16037,"Idaho","Custer",4368,4920.94
16039,"Idaho","Elmore",27038,3074.74
16041,"Idaho","Franklin",12786,663.64
16043,"Idaho","Fremont",13242,1863.53
16045,"Idaho","Gem",16719,560.9
16047,"Idaho","Gooding",15464,728.97
16049,"Idaho","Idaho",16267,8477.35
16051,"Idaho","Jefferson",26140,1093.5
16053,"Idaho","Jerome",22374,597.18
16055,"Idaho","Kootenai",138494,1244.12
16057,"Idaho","Latah",37244,1076
16059,"Idaho","Lemhi",7936,4563.39
16061,"Idaho","Lewis",3821,478.8
16063,"Idaho","Lincoln",5208,1201.41
16065,"Idaho","Madison",37536,469.21
16067,"Idaho","Minidoka",20069,757.59
16069,"Idaho","Nez Perce",39265,848.09
16071,"Idaho","Oneida",4286,1200.06
16073,"Idaho","Owyhee",11526,7665.51
16075,"Idaho","Payette",22623,406.87
16077,"Idaho","Power",7817,1404.24
16079,"Idaho","Shoshone",12765,2629.66
16081,"Idaho","Teton",10170,449.46
16083,"Idaho","Twin Falls",77230,1921.21
16085,"Idaho","Valley",9862,3664.52
16087,"Idaho","Washington",10198,1452.98
