"Fipscode","State","Geographic.area","Population","Land.Area.in.square.miles"
20001,"Kansas","ALLEN",13371,500.3
20003,"Kansas","ANDERSON",8102,579.65
20005,"Kansas","ATCHISON",16924,431.17
20007,"Kansas","BARBER",4861,1134.07
20009,"Kansas","BARTON",27674,895.4
20011,"Kansas","BOURBON",15173,635.47
20013,"Kansas","BROWN",9984,570.87
20015,"Kansas","BUTLER",65880,1429.86
20017,"Kansas","CHASE",2790,773.06
20019,"Kansas","CHAUTAUQUA",3669,638.88
20021,"Kansas","CHEROKEE",21603,587.57
20023,"Kansas","CHEYENNE",2726,1019.89
20025,"Kansas","CLARK",2215,974.63
20027,"Kansas","CLAY",8535,645.3
20029,"Kansas","CLOUD",9533,715.34
20031,"Kansas","COFFEY",8601,626.95
20033,"Kansas","COMANCHE",1891,788.3
20035,"Kansas","COWLEY",36311,1125.75
20037,"Kansas","CRAWFORD",39134,589.76
20039,"Kansas","DECATUR",2961,893.52
20041,"Kansas","DICKINSON",19754,847.07
20043,"Kansas","DONIPHAN",7945,393.41
20045,"Kansas","DOUGLAS",110826,455.87
20047,"Kansas","EDWARDS",3037,621.89
20049,"Kansas","ELK",2882,644.26
20051,"Kansas","ELLIS",28452,899.91
20053,"Kansas","ELLSWORTH",6497,715.85
20055,"Kansas","FINNEY",36776,1301.97
20057,"Kansas","FORD",33848,1098.27
20059,"Kansas","FRANKLIN",25992,571.76
20061,"Kansas","GEARY",34362,384.62
20063,"Kansas","GOVE",2695,1071.66
20065,"Kansas","GRAHAM",2597,898.52
20067,"Kansas","GRANT",7829,574.8
20069,"Kansas","GRAY",6006,868.87
20071,"Kansas","GREELEY",1247,778.45
20073,"Kansas","GREENWOOD",6689,1143.3
20075,"Kansas","HAMILTON",2690,996.51
20077,"Kansas","HARPER",6034,801.27
20079,"Kansas","HARVEY",34684,539.75
20081,"Kansas","HASKELL",4256,577.52
20083,"Kansas","HODGEMAN",1916,859.99
20085,"Kansas","JACKSON",13462,656.22
20087,"Kansas","JEFFERSON",19126,532.57
20089,"Kansas","JEWELL",3077,909.78
20091,"Kansas","JOHNSON",544179,473.37
20093,"Kansas","KEARNY",3977,870.54
20095,"Kansas","KINGMAN",7858,863.36
20097,"Kansas","KIOWA",2553,722.64
20099,"Kansas","LABETTE",21607,645.29
20101,"Kansas","LANE",1750,717.46
20103,"Kansas","LEAVENWORTH",76227,462.83
20105,"Kansas","LINCOLN",3241,719.4
20107,"Kansas","LINN",9656,594.06
20109,"Kansas","LOGAN",2756,1072.99
20111,"Kansas","LYON",33690,847.47
20113,"Kansas","MCPHERSON",29180,898.27
20115,"Kansas","MARION",12660,944.29
20117,"Kansas","MARSHALL",10117,900.18
20119,"Kansas","MEADE",4575,978.09
20121,"Kansas","MIAMI",32787,575.66
20123,"Kansas","MITCHELL",6373,701.79
20125,"Kansas","MONTGOMERY",35471,643.53
20127,"Kansas","MORRIS",5923,695.28
20129,"Kansas","MORTON",3233,729.73
20131,"Kansas","NEMAHA",10178,717.43
20133,"Kansas","NEOSHO",16512,571.47
20135,"Kansas","NESS",3107,1074.75
20137,"Kansas","NORTON",5671,878.13
20139,"Kansas","OSAGE",16295,705.52
20141,"Kansas","OSBORNE",3858,892.5
20143,"Kansas","OTTAWA",6091,720.73
20145,"Kansas","PAWNEE",6973,754.26
20147,"Kansas","PHILLIPS",5642,885.88
20149,"Kansas","POTTAWATOMIE",21604,841.02
20151,"Kansas","PRATT",9656,735.04
20153,"Kansas","RAWLINS",2519,1069.42
20155,"Kansas","RENO",64511,1255.35
20157,"Kansas","REPUBLIC",4980,717.37
20159,"Kansas","RICE",10083,726.24
20161,"Kansas","RILEY",71115,609.77
20163,"Kansas","ROOKS",5181,890.53
20165,"Kansas","RUSH",3307,717.76
20167,"Kansas","RUSSELL",6970,886.26
20169,"Kansas","SALINE",55606,720.22
20171,"Kansas","SCOTT",4936,717.54
20173,"Kansas","SEDGWICK",498365,997.51
20175,"Kansas","SEWARD",22952,639.5
20177,"Kansas","SHAWNEE",177934,544.02
20179,"Kansas","SHERIDAN",2556,895.96
20181,"Kansas","SHERMAN",6010,1056.07
20183,"Kansas","SMITH",3853,895.46
20185,"Kansas","STAFFORD",4437,792.05
20187,"Kansas","STANTON",2235,680.35
20189,"Kansas","STEVENS",5724,727.29
20191,"Kansas","SUMNER",24132,1181.94
20193,"Kansas","THOMAS",7900,1074.69
20195,"Kansas","TREGO",3001,889.48
20197,"Kansas","WABAUNSEE",7053,794.3
20199,"Kansas","WALLACE",1485,913.65
20201,"Kansas","WASHINGTON",5799,894.76
20203,"Kansas","WICHITA",2234,718.57
20205,"Kansas","WILSON",9409,570.42
20207,"Kansas","WOODSON",3309,497.82
20209,"Kansas","WYANDOTTE",157505,151.6
