"Fipscode","State","Geographic.area","Population","Land.Area.in.square.miles"
21001,"Kentucky","Adair",18656,405.28
21003,"Kentucky","Allen",19956,344.34
21005,"Kentucky","Anderson",21421,201.83
21007,"Kentucky","Ballard",8249,246.66
21009,"Kentucky","Barren",42173,487.54
21011,"Kentucky","Bath",11591,278.79
21013,"Kentucky","Bell",28691,359
21015,"Kentucky","Boone",118811,246.36
21017,"Kentucky","Bourbon",19985,289.72
21019,"Kentucky","Boyd",49542,159.86
21021,"Kentucky","Boyle",28432,180.17
21023,"Kentucky","Bracken",8488,205.61
21025,"Kentucky","Breathitt",13878,492.41
21027,"Kentucky","Breckinridge",20059,567.17
21029,"Kentucky","Bullitt",74319,297.02
21031,"Kentucky","Butler",12690,426.09
21033,"Kentucky","Caldwell",12984,344.79
21035,"Kentucky","Calloway",37191,385.02
21037,"Kentucky","Campbell",90336,151.31
21039,"Kentucky","Carlisle",5104,189.43
21041,"Kentucky","Carroll",10811,128.57
21043,"Kentucky","Carter",27720,409.5
21045,"Kentucky","Casey",15955,444.23
21047,"Kentucky","Christian",73955,717.5
21049,"Kentucky","Clark",35613,252.46
21051,"Kentucky","Clay",21730,469.25
21053,"Kentucky","Clinton",10272,197.25
21055,"Kentucky","Crittenden",9315,359.95
21057,"Kentucky","Cumberland",6856,305.18
21059,"Kentucky","Daviess",96656,458.35
21061,"Kentucky","Edmonson",12161,302.88
21063,"Kentucky","Elliott",7852,234.32
21065,"Kentucky","Estill",14672,253.08
21067,"Kentucky","Fayette",295803,283.65
21069,"Kentucky","Fleming",14348,348.54
21071,"Kentucky","Floyd",39451,393.34
21073,"Kentucky","Franklin",49285,207.75
21075,"Kentucky","Fulton",6813,205.5
21077,"Kentucky","Gallatin",8589,101.23
21079,"Kentucky","Garrard",16912,230.08
21081,"Kentucky","Grant",24662,257.96
21083,"Kentucky","Graves",37121,551.74
21085,"Kentucky","Grayson",25746,496.7
21087,"Kentucky","Green",11258,286.03
21089,"Kentucky","Greenup",36910,344.4
21091,"Kentucky","Hancock",8565,187.65
21093,"Kentucky","Hardin",105543,623.28
21095,"Kentucky","Harlan",29278,465.83
21097,"Kentucky","Harrison",18846,306.36
21099,"Kentucky","Hart",18199,412.09
21101,"Kentucky","Henderson",46250,436.67
21103,"Kentucky","Henry",15416,286.28
21105,"Kentucky","Hickman",4902,242.27
21107,"Kentucky","Hopkins",46920,542
21109,"Kentucky","Jackson",13494,345.2
21111,"Kentucky","Jefferson",741096,380.42
21113,"Kentucky","Jessamine",48586,172.12
21115,"Kentucky","Johnson",23356,261.95
21117,"Kentucky","Kenton",159720,160.25
21119,"Kentucky","Knott",16346,351.52
21121,"Kentucky","Knox",31883,386.3
21123,"Kentucky","Larue",14193,261.52
21125,"Kentucky","Laurel",58849,433.95
21127,"Kentucky","Lawrence",15860,415.6
21129,"Kentucky","Lee",7887,208.86
21131,"Kentucky","Leslie",11310,400.84
21133,"Kentucky","Letcher",24519,337.91
21135,"Kentucky","Lewis",13870,482.84
21137,"Kentucky","Lincoln",24742,334.09
21139,"Kentucky","Livingston",9519,313.13
21141,"Kentucky","Logan",26835,552.13
21143,"Kentucky","Lyon",8314,213.84
21145,"Kentucky","McCracken",65565,248.74
21147,"Kentucky","McCreary",18306,426.8
21149,"Kentucky","McLean",9531,252.47
21151,"Kentucky","Madison",82916,437.29
21153,"Kentucky","Magoffin",13333,308.44
21155,"Kentucky","Marion",19820,343.01
21157,"Kentucky","Marshall",31448,301.25
21159,"Kentucky","Martin",12929,229.6
21161,"Kentucky","Mason",17490,240.13
21163,"Kentucky","Meade",28602,305.42
21165,"Kentucky","Menifee",6306,203.58
21167,"Kentucky","Mercer",21331,248.8
21169,"Kentucky","Metcalfe",10099,289.65
21171,"Kentucky","Monroe",10963,329.37
21173,"Kentucky","Montgomery",26499,197.37
21175,"Kentucky","Morgan",13923,381.13
21177,"Kentucky","Muhlenberg",31499,467.08
21179,"Kentucky","Nelson",43437,417.51
21181,"Kentucky","Nicholas",7135,195.17
21183,"Kentucky","Ohio",23842,587.27
21185,"Kentucky","Oldham",60316,187.22
21187,"Kentucky","Owen",10841,351.1
21189,"Kentucky","Owsley",4755,197.41
21191,"Kentucky","Pendleton",14877,277.16
21193,"Kentucky","Perry",28712,339.67
21195,"Kentucky","Pike",65024,786.83
21197,"Kentucky","Powell",12613,178.98
21199,"Kentucky","Pulaski",63063,658.41
21201,"Kentucky","Robertson",2282,99.91
21203,"Kentucky","Rockcastle",17056,316.54
21205,"Kentucky","Rowan",23333,279.8
21207,"Kentucky","Russell",17565,253.66
21209,"Kentucky","Scott",47173,281.77
21211,"Kentucky","Shelby",42074,379.64
21213,"Kentucky","Simpson",17327,234.2
21215,"Kentucky","Spencer",17061,186.68
21217,"Kentucky","Taylor",24512,266.33
21219,"Kentucky","Todd",12460,374.5
21221,"Kentucky","Trigg",14339,441.43
21223,"Kentucky","Trimble",8809,151.65
21225,"Kentucky","Union",15007,342.85
21227,"Kentucky","Warren",113792,541.6
21229,"Kentucky","Washington",11717,297.27
21231,"Kentucky","Wayne",20813,458.17
21233,"Kentucky","Webster",13621,331.94
21235,"Kentucky","Whitley",35637,437.83
21237,"Kentucky","Wolfe",7355,222.17
21239,"Kentucky","Woodford",24939,188.78
