"Fipscode","State","Geographic.area","Population","Land.Area.in.square.miles"
22001,"Louisiana","Acadia",61773,655.12
22003,"Louisiana","Allen",25764,761.85
22005,"Louisiana","Ascension",107215,289.98
22007,"Louisiana","Assumption",23421,338.66
22009,"Louisiana","Avoyelles",42073,832.43
22011,"Louisiana","Beauregard",35654,1157.34
22013,"Louisiana","Bienville",14353,811.27
22015,"Louisiana","Bossier",116979,840.06
22017,"Louisiana","Caddo",254969,878.54
22019,"Louisiana","Calcasieu",192768,1063.66
22021,"Louisiana","Caldwell",10132,529.42
22023,"Louisiana","Cameron",6839,1284.89
22025,"Louisiana","Catahoula",10407,708.03
22027,"Louisiana","Claiborne",17195,754.88
22029,"Louisiana","Concordia",20822,696.92
22031,"Louisiana","De Soto",26656,875.58
22033,"Louisiana","East Baton Rouge",440171,455.37
22035,"Louisiana","East Carroll",7759,420.7
22037,"Louisiana","East Feliciana",20267,453.41
22039,"Louisiana","Evangeline",33984,662.38
22041,"Louisiana","Franklin",20767,624.59
22043,"Louisiana","Grant",22309,643.03
22045,"Louisiana","Iberia",73240,574.11
22047,"Louisiana","Iberville",33387,618.63
22049,"Louisiana","Jackson",16274,569.18
22051,"Louisiana","Jefferson",432552,295.63
22053,"Louisiana","Jefferson Davis",31594,651.33
22055,"Louisiana","Lafayette",221578,268.72
22057,"Louisiana","Lafourche",96318,1068.21
22059,"Louisiana","Lasalle",14890,624.68
22061,"Louisiana","Lincoln",46735,471.74
22063,"Louisiana","Livingston",128026,648.17
22065,"Louisiana","Madison",12093,624.44
22067,"Louisiana","Morehouse",27979,794.93
22069,"Louisiana","Natchitoches",39566,1252.25
22071,"Louisiana","Orleans",343829,169.42
22073,"Louisiana","Ouachita",153720,610.41
22075,"Louisiana","Plaquemines",23042,779.91
22077,"Louisiana","Pointe Coupee",22802,557.35
22079,"Louisiana","Rapides",131613,1317.96
22081,"Louisiana","Red River",9091,389.09
22083,"Louisiana","Richland",20725,559.04
22085,"Louisiana","Sabine",24233,866.66
22087,"Louisiana","St. Bernard",35897,377.52
22089,"Louisiana","St. Charles",52780,279.08
22091,"Louisiana","St. Helena",11203,408.4
22093,"Louisiana","St. James",22102,241.54
22095,"Louisiana","St. John The Baptist",45924,213.07
22097,"Louisiana","St. Landry",83384,923.88
22099,"Louisiana","St. Martin",52160,737.65
22101,"Louisiana","St. Mary",54650,555.38
22103,"Louisiana","St. Tammany",233740,845.55
22105,"Louisiana","Tangipahoa",121097,791.27
22107,"Louisiana","Tensas",5252,602.78
22109,"Louisiana","Terrebonne",111860,1231.81
22111,"Louisiana","Union",22721,876.99
22113,"Louisiana","Vermilion",57999,1173.2
22115,"Louisiana","Vernon",52334,1327.91
22117,"Louisiana","Washington",47168,669.52
22119,"Louisiana","Webster",41207,593.03
22121,"Louisiana","West Baton Rouge",23788,192.39
22123,"Louisiana","West Carroll",11604,359.65
22125,"Louisiana","West Feliciana",15625,403.21
22127,"Louisiana","Winn",15313,950.09
