"Fipscode","State","Geographic.area","Population","Land.Area.in.square.miles"
31001,"Nebraska","Adams",31364,563.27
31003,"Nebraska","Antelope",6685,857.22
31005,"Nebraska","Arthur",460,715.35
31007,"Nebraska","Banner",690,746.11
31009,"Nebraska","Blaine",478,710.87
31011,"Nebraska","Boone",5505,686.55
31013,"Nebraska","Box Butte",11308,1075.29
31015,"Nebraska","Boyd",2099,539.94
31017,"Nebraska","Brown",3145,1221.33
31019,"Nebraska","Buffalo",46102,968.11
31021,"Nebraska","Burt",6858,491.58
31023,"Nebraska","Butler",8395,584.91
31025,"Nebraska","Cass",25241,557.45
31027,"Nebraska","Cedar",8852,740.31
31029,"Nebraska","Chase",3966,894.42
31031,"Nebraska","Cherry",5713,5960.42
31033,"Nebraska","Cheyenne",9998,1196.29
31035,"Nebraska","Clay",6542,572.29
31037,"Nebraska","Colfax",10515,411.66
31039,"Nebraska","Cuming",9139,570.62
31041,"Nebraska","Custer",10939,2575.52
31043,"Nebraska","Dakota",21006,264.25
31045,"Nebraska","Dawes",9182,1396.46
31047,"Nebraska","Dawson",24326,1013.1
31049,"Nebraska","Deuel",1941,439.85
31051,"Nebraska","Dixon",6000,476.23
31053,"Nebraska","Dodge",36691,528.71
31055,"Nebraska","Douglas",517110,328.45
31057,"Nebraska","Dundy",2008,919.68
31059,"Nebraska","Fillmore",5890,575.37
31061,"Nebraska","Franklin",3225,575.82
31063,"Nebraska","Frontier",2756,974.59
31065,"Nebraska","Furnas",4959,719.13
31067,"Nebraska","Gage",22311,851.49
31069,"Nebraska","Garden",2057,1704.28
31071,"Nebraska","Garfield",2049,569.79
31073,"Nebraska","Gosper",2044,458.16
31075,"Nebraska","Grant",614,776.22
31077,"Nebraska","Greeley",2538,569.81
31079,"Nebraska","Hall",58607,546.29
31081,"Nebraska","Hamilton",9124,542.88
31083,"Nebraska","Harlan",3423,553.47
31085,"Nebraska","Hayes",967,713.06
31087,"Nebraska","Hitchcock",2908,709.94
31089,"Nebraska","Holt",10435,2412.4
31091,"Nebraska","Hooker",736,721.12
31093,"Nebraska","Howard",6274,569.34
31095,"Nebraska","Jefferson",7547,570.18
31097,"Nebraska","Johnson",5217,376.05
31099,"Nebraska","Kearney",6489,516.24
31101,"Nebraska","Keith",8368,1061.6
31103,"Nebraska","Keya Paha",824,773.07
31105,"Nebraska","Kimball",3821,951.85
31107,"Nebraska","Knox",8701,1108.35
31109,"Nebraska","Lancaster",285407,837.55
31111,"Nebraska","Lincoln",36288,2564.07
31113,"Nebraska","Logan",763,570.66
31115,"Nebraska","Loup",632,568.29
31117,"Nebraska","McPherson",539,858.98
31119,"Nebraska","Madison",34876,572.74
31121,"Nebraska","Merrick",7845,484.88
31123,"Nebraska","Morrill",5042,1423.84
31125,"Nebraska","Nance",3735,441.63
31127,"Nebraska","Nemaha",7248,407.38
31129,"Nebraska","Nuckolls",4500,575.16
31131,"Nebraska","Otoe",15740,615.63
31133,"Nebraska","Pawnee",2773,431.07
31135,"Nebraska","Perkins",2970,883.34
31137,"Nebraska","Phelps",9188,539.79
31139,"Nebraska","Pierce",7266,573.25
31141,"Nebraska","Platte",32237,674.06
31143,"Nebraska","Polk",5406,438.34
31145,"Nebraska","Red Willow",11055,716.99
31147,"Nebraska","Richardson",8363,551.84
31149,"Nebraska","Rock",1526,1008.32
31151,"Nebraska","Saline",14200,574.02
31153,"Nebraska","Sarpy",158840,238.99
31155,"Nebraska","Saunders",20780,750.23
31157,"Nebraska","Scotts Bluff",36970,739.4
31159,"Nebraska","Seward",16750,571.43
31161,"Nebraska","Sheridan",5469,2440.86
31163,"Nebraska","Sherman",3152,565.83
31165,"Nebraska","Sioux",1311,2066.74
31167,"Nebraska","Stanton",6129,427.95
31169,"Nebraska","Thayer",5228,573.81
31171,"Nebraska","Thomas",647,713.24
31173,"Nebraska","Thurston",6940,393.58
31175,"Nebraska","Valley",4260,568.05
31177,"Nebraska","Washington",20234,389.96
31179,"Nebraska","Wayne",9595,442.91
31181,"Nebraska","Webster",3812,574.91
31183,"Nebraska","Wheeler",818,575.18
31185,"Nebraska","York",13665,572.51
