"Fipscode","State","Geographic.area","Population","Land.Area.in.square.miles"
35001,"New Mexico","Bernalillo",662564,1160.83
35003,"New Mexico","Catron",3725,6923.69
35005,"New Mexico","Chaves",65645,6065.27
35006,"New Mexico","Cibola",27213,4539.48
35007,"New Mexico","Colfax",13750,3758.06
35009,"New Mexico","Curry",48376,1404.8
35011,"New Mexico","De Baca",2022,2322.62
35013,"New Mexico","Dona Ana",209233,3807.51
35015,"New Mexico","Eddy",53829,4175.73
35017,"New Mexico","Grant",29514,3961.63
35019,"New Mexico","Guadalupe",4687,3030.48
35021,"New Mexico","Harding",695,2125.44
35023,"New Mexico","Hidalgo",4894,3436.86
35025,"New Mexico","Lea",64727,4390.93
35027,"New Mexico","Lincoln",20497,4831.09
35028,"New Mexico","Los Alamos",17950,109.17
35029,"New Mexico","Luna",25095,2965.19
35031,"New Mexico","McKinley",71492,5449.81
35033,"New Mexico","Mora",4881,1931.27
35035,"New Mexico","Otero",63797,6613.21
35037,"New Mexico","Quay",9041,2874.35
35039,"New Mexico","Rio Arriba",40246,5860.84
35041,"New Mexico","Roosevelt",19846,2447.43
35043,"New Mexico","Sandoval",131561,3710.65
35045,"New Mexico","San Juan",130044,5513.07
35047,"New Mexico","San Miguel",29393,4715.82
35049,"New Mexico","Santa Fe",144170,1909.41
35051,"New Mexico","Sierra",11988,4178.96
35053,"New Mexico","Socorro",17866,6646.68
35055,"New Mexico","Taos",32937,2203.11
35057,"New Mexico","Torrance",16383,3344.85
35059,"New Mexico","Union",4549,3823.74
35061,"New Mexico","Valencia",76569,1066.17
