"Fipscode","State","Geographic.area","Population","Land.Area.in.square.miles"
37001,"North Carolina","ALAMANCE",151131,423.94
37003,"North Carolina","ALEXANDER",37198,259.99
37005,"North Carolina","ALLEGHANY",11155,235.06
37007,"North Carolina","ANSON",26948,531.45
37009,"North Carolina","ASHE",27281,426.13
37011,"North Carolina","AVERY",17797,247.09
37013,"North Carolina","BEAUFORT",47759,827.19
37015,"North Carolina","BERTIE",21282,699.27
37017,"North Carolina","BLADEN",35190,874.33
37019,"North Carolina","BRUNSWICK",107431,846.97
37021,"North Carolina","BUNCOMBE",238318,656.67
37023,"North Carolina","BURKE",90912,507.1
37025,"North Carolina","CABARRUS",178011,361.75
37027,"North Carolina","CALDWELL",83029,471.57
37029,"North Carolina","CAMDEN",9980,240.56
37031,"North Carolina","CARTERET",66469,506.25
37033,"North Carolina","CASWELL",23719,424.92
37035,"North Carolina","CATAWBA",154358,398.72
37037,"North Carolina","CHATHAM",63505,682.19
37039,"North Carolina","CHEROKEE",27444,455.43
37041,"North Carolina","CHOWAN",14793,172.47
37043,"North Carolina","CLAY",10587,214.75
37045,"North Carolina","CLEVELAND",98078,464.25
37047,"North Carolina","COLUMBUS",58098,937.29
37049,"North Carolina","CRAVEN",103505,708.96
37051,"North Carolina","CUMBERLAND",319431,652.31
37053,"North Carolina","CURRITUCK",23547,261.85
37055,"North Carolina","DARE",33920,383.42
37057,"North Carolina","DAVIDSON",162878,552.67
37059,"North Carolina","DAVIE",41240,264.11
37061,"North Carolina","DUPLIN",58505,816.22
37063,"North Carolina","DURHAM",267587,285.98
37065,"North Carolina","EDGECOMBE",56552,505.34
37067,"North Carolina","FORSYTH",350670,408.15
37069,"North Carolina","FRANKLIN",60619,491.68
37071,"North Carolina","GASTON",206086,356.03
37073,"North Carolina","GATES",12197,340.44
37075,"North Carolina","GRAHAM",8861,292.08
37077,"North Carolina","GRANVILLE",59916,531.57
37079,"North Carolina","GREENE",21362,265.93
37081,"North Carolina","GUILFORD",488406,645.7
37083,"North Carolina","HALIFAX",54691,724.09
37085,"North Carolina","HARNETT",114678,594.99
37087,"North Carolina","HAYWOOD",59036,553.69
37089,"North Carolina","HENDERSON",106740,373.07
37091,"North Carolina","HERTFORD",24669,353.06
37093,"North Carolina","HOKE",46952,390.74
37095,"North Carolina","HYDE",5810,612.7
37097,"North Carolina","IREDELL",159437,573.83
37099,"North Carolina","JACKSON",40271,490.75
37101,"North Carolina","JOHNSTON",168878,791.3
37103,"North Carolina","JONES",10153,470.71
37105,"North Carolina","LEE",57866,254.96
37107,"North Carolina","LENOIR",59495,400.59
37109,"North Carolina","LINCOLN",78265,297.94
37111,"North Carolina","MCDOWELL",44996,440.61
37113,"North Carolina","MACON",33922,515.56
37115,"North Carolina","MADISON",20764,449.57
37117,"North Carolina","MARTIN",24505,461.22
37119,"North Carolina","MECKLENBURG",919628,523.84
37121,"North Carolina","MITCHELL",15579,221.42
37123,"North Carolina","MONTGOMERY",27798,491.76
37125,"North Carolina","MOORE",88247,697.84
37127,"North Carolina","NASH",95840,540.41
37129,"North Carolina","NEW HANOVER",202667,191.53
37131,"North Carolina","NORTHAMPTON",22099,536.59
37133,"North Carolina","ONSLOW",177772,762.74
37135,"North Carolina","ORANGE",133801,397.96
37137,"North Carolina","PAMLICO",13144,336.54
37139,"North Carolina","PASQUOTANK",40661,226.88
37141,"North Carolina","PENDER",52217,869.79
37143,"North Carolina","PERQUIMANS",13453,247.09
37145,"North Carolina","PERSON",39464,392.32
37147,"North Carolina","PITT",168148,651.97
37149,"North Carolina","POLK",20510,237.79
37151,"North Carolina","RANDOLPH",141752,782.52
37153,"North Carolina","RICHMOND",46639,473.82
37155,"North Carolina","ROBESON",134168,949.22
37157,"North Carolina","ROCKINGHAM",93643,565.55
37159,"North Carolina","ROWAN",138428,511.37
37161,"North Carolina","RUTHERFORD",67810,564.15
37163,"North Carolina","SAMPSON",63431,944.74
37165,"North Carolina","SCOTLAND",36157,318.84
37167,"North Carolina","STANLY",60585,395.09
37169,"North Carolina","STOKES",47401,448.86
37171,"North Carolina","SURRY",73673,532.17
37173,"North Carolina","SWAIN",13981,528
37175,"North Carolina","TRANSYLVANIA",33090,378.53
37177,"North Carolina","TYRRELL",4407,389.03
37179,"North Carolina","UNION",201292,631.52
37181,"North Carolina","VANCE",45422,253.52
37183,"North Carolina","WAKE",900993,835.22
37185,"North Carolina","WARREN",20972,428.46
37187,"North Carolina","WASHINGTON",13228,348.13
37189,"North Carolina","WATAUGA",51079,312.56
37191,"North Carolina","WAYNE",122623,553.09
37193,"North Carolina","WILKES",69340,754.28
37195,"North Carolina","WILSON",81234,368.17
37197,"North Carolina","YADKIN",38406,334.83
37199,"North Carolina","YANCEY",17818,312.6
