"Fipscode","State","Geographic.area","Population","Land.Area.in.square.miles"
38001,"North Dakota","Adams",2343,987.62
38003,"North Dakota","Barnes",11066,1491.55
38005,"North Dakota","Benson",6660,1388.71
38007,"North Dakota","Billings",783,1148.85
38009,"North Dakota","Bottineau",6429,1668.42
38011,"North Dakota","Bowman",3151,1161.81
38013,"North Dakota","Burke",1968,1103.57
38015,"North Dakota","Burleigh",81308,1632.65
38017,"North Dakota","Cass",149778,1764.94
38019,"North Dakota","Cavalier",3993,1488.75
38021,"North Dakota","Dickey",5289,1131.47
38023,"North Dakota","Divide",2071,1260.79
38025,"North Dakota","Dunn",3536,2008.46
38027,"North Dakota","Eddy",2385,630.17
38029,"North Dakota","Emmons",3550,1510.43
38031,"North Dakota","Foster",3343,635.45
38033,"North Dakota","Golden Valley",1680,1000.79
38035,"North Dakota","Grand Forks",66861,1436.38
38037,"North Dakota","Grant",2394,1659.14
38039,"North Dakota","Griggs",2420,708.81
38041,"North Dakota","Hettinger",2477,1132.22
38043,"North Dakota","Kidder",2435,1351.19
38045,"North Dakota","LaMoure",4139,1145.94
38047,"North Dakota","Logan",1990,992.82
38049,"North Dakota","McHenry",5395,1873.95
38051,"North Dakota","McIntosh",2809,974.73
38053,"North Dakota","McKenzie",6360,2760.32
38055,"North Dakota","McLean",8962,2110.88
38057,"North Dakota","Mercer",8424,1042.96
38059,"North Dakota","Morton",27471,1926.27
38061,"North Dakota","Mountrail",7673,1825.3
38063,"North Dakota","Nelson",3126,981.77
38065,"North Dakota","Oliver",1846,722.51
38067,"North Dakota","Pembina",7413,1118.69
38069,"North Dakota","Pierce",4357,1018.6
38071,"North Dakota","Ramsey",11451,1186.85
38073,"North Dakota","Ransom",5457,862.36
38075,"North Dakota","Renville",2470,877.05
38077,"North Dakota","Richland",16321,1435.78
38079,"North Dakota","Rolette",13937,903.08
38081,"North Dakota","Sargent",3829,858.51
38083,"North Dakota","Sheridan",1321,972.38
38085,"North Dakota","Sioux",4153,1094.09
38087,"North Dakota","Slope",727,1214.92
38089,"North Dakota","Stark",24199,1334.74
38091,"North Dakota","Steele",1975,712.22
38093,"North Dakota","Stutsman",21100,2221.72
38095,"North Dakota","Towner",2246,1024.56
38097,"North Dakota","Traill",8121,861.95
38099,"North Dakota","Walsh",11119,1281.93
38101,"North Dakota","Ward",61675,2013.28
38103,"North Dakota","Wells",4207,1271.05
38105,"North Dakota","Williams",22398,2077.4
