"Fipscode","State","Geographic.area","Population","Land.Area.in.square.miles"
39001,"Ohio","Adams",28550,583.87
39003,"Ohio","Allen",106331,402.5
39005,"Ohio","Ashland",53139,422.95
39007,"Ohio","Ashtabula",101497,701.93
39009,"Ohio","Athens",64757,503.6
39011,"Ohio","Auglaize",45949,401.39
39013,"Ohio","Belmont",70400,532.13
39015,"Ohio","Brown",44846,490.02
39017,"Ohio","Butler",368130,467.06
39019,"Ohio","Carroll",28836,394.61
39021,"Ohio","Champaign",40097,428.67
39023,"Ohio","Clark",138333,397.47
39025,"Ohio","Clermont",197363,452.1
39027,"Ohio","Clinton",42040,408.68
39029,"Ohio","Columbiana",107841,531.89
39031,"Ohio","Coshocton",36901,563.91
39033,"Ohio","Crawford",43784,401.79
39035,"Ohio","Cuyahoga",1280122,457.19
39037,"Ohio","Darke",52959,598.1
39039,"Ohio","Defiance",39037,411.46
39041,"Ohio","Delaware",174214,443.1
39043,"Ohio","Erie",77079,251.56
39045,"Ohio","Fairfield",146156,504.41
39047,"Ohio","Fayette",29030,406.36
39049,"Ohio","Franklin",1163414,532.19
39051,"Ohio","Fulton",42698,405.44
39053,"Ohio","Gallia",30934,466.53
39055,"Ohio","Geauga",93389,400.16
39057,"Ohio","Greene",161573,413.73
39059,"Ohio","Guernsey",40087,522.25
39061,"Ohio","Hamilton",802374,405.91
39063,"Ohio","Hancock",74782,531.36
39065,"Ohio","Hardin",32058,470.4
39067,"Ohio","Harrison",15864,402.34
39069,"Ohio","Henry",28215,416.01
39071,"Ohio","Highland",43589,553.08
39073,"Ohio","Hocking",29380,421.32
39075,"Ohio","Holmes",42366,422.53
39077,"Ohio","Huron",59626,491.49
39079,"Ohio","Jackson",33225,420.3
39081,"Ohio","Jefferson",69709,408.33
39083,"Ohio","Knox",60921,525.49
39085,"Ohio","Lake",230041,227.49
39087,"Ohio","Lawrence",62450,453.37
39089,"Ohio","Licking",166492,682.5
39091,"Ohio","Logan",45858,458.43
39093,"Ohio","Lorain",301356,491.1
39095,"Ohio","Lucas",441815,340.86
39097,"Ohio","Madison",43435,465.88
39099,"Ohio","Mahoning",238823,411.62
39101,"Ohio","Marion",66501,403.76
39103,"Ohio","Medina",172332,421.36
39105,"Ohio","Meigs",23770,430.1
39107,"Ohio","Mercer",40814,462.45
39109,"Ohio","Miami",102506,406.58
39111,"Ohio","Monroe",14642,455.72
39113,"Ohio","Montgomery",535153,461.55
39115,"Ohio","Morgan",15054,416.42
39117,"Ohio","Morrow",34827,406.08
39119,"Ohio","Muskingum",86074,664.58
39121,"Ohio","Noble",14645,398.01
39123,"Ohio","Ottawa",41428,254.92
39125,"Ohio","Paulding",19614,416.44
39127,"Ohio","Perry",36058,407.97
39129,"Ohio","Pickaway",55698,501.32
39131,"Ohio","Pike",28709,440.28
39133,"Ohio","Portage",161419,487.38
39135,"Ohio","Preble",42270,424.12
39137,"Ohio","Putnam",34499,482.52
39139,"Ohio","Richland",124475,495.27
39141,"Ohio","Ross",78064,689.19
39143,"Ohio","Sandusky",60944,408.45
39145,"Ohio","Scioto",79499,610.21
39147,"Ohio","Seneca",56745,551.02
39149,"Ohio","Shelby",49423,407.68
39151,"Ohio","Stark",375586,575.27
39153,"Ohio","Summit",541781,412.75
39155,"Ohio","Trumbull",210312,618.3
39157,"Ohio","Tuscarawas",92582,567.64
39159,"Ohio","Union",52300,431.73
39161,"Ohio","Van Wert",28744,409.16
39163,"Ohio","Vinton",13435,412.36
39165,"Ohio","Warren",212693,401.31
39167,"Ohio","Washington",61778,631.97
39169,"Ohio","Wayne",114520,554.93
39171,"Ohio","Williams",37642,420.97
39173,"Ohio","Wood",125488,617.2
39175,"Ohio","Wyandot",22615,406.86
