"Fipscode","State","Geographic.area","Population","Land.Area.in.square.miles"
40001,"Oklahoma","ADAIR",22683,573.48
40003,"Oklahoma","ALFALFA",5642,866.45
40005,"Oklahoma","ATOKA",14182,975.52
40007,"Oklahoma","BEAVER",5636,1814.67
40009,"Oklahoma","BECKHAM",22119,901.81
40011,"Oklahoma","BLAINE",11943,928.42
40013,"Oklahoma","BRYAN",42416,904.47
40015,"Oklahoma","CADDO",29600,1278.29
40017,"Oklahoma","CANADIAN",115541,896.63
40019,"Oklahoma","CARTER",47557,822.18
40021,"Oklahoma","CHEROKEE",46987,749.41
40023,"Oklahoma","CHOCTAW",15205,770.36
40025,"Oklahoma","CIMARRON",2475,1834.74
40027,"Oklahoma","CLEVELAND",255755,538.77
40029,"Oklahoma","COAL",5925,516.68
40031,"Oklahoma","COMANCHE",124098,1069.29
40033,"Oklahoma","COTTON",6193,632.65
40035,"Oklahoma","CRAIG",15029,761.35
40037,"Oklahoma","CREEK",69967,950.14
40039,"Oklahoma","CUSTER",27469,988.82
40041,"Oklahoma","DELAWARE",41487,738.18
40043,"Oklahoma","DEWEY",4810,999.48
40045,"Oklahoma","ELLIS",4151,1231.52
40047,"Oklahoma","GARFIELD",60580,1058.47
40049,"Oklahoma","GARVIN",27576,802.12
40051,"Oklahoma","GRADY",52431,1100.5
40053,"Oklahoma","GRANT",4527,1000.87
40055,"Oklahoma","GREER",6239,639.32
40057,"Oklahoma","HARMON",2922,537.19
40059,"Oklahoma","HARPER",3685,1039.02
40061,"Oklahoma","HASKELL",12769,576.52
40063,"Oklahoma","HUGHES",14003,804.65
40065,"Oklahoma","JACKSON",26446,802.65
40067,"Oklahoma","JEFFERSON",6472,758.83
40069,"Oklahoma","JOHNSTON",10957,642.94
40071,"Oklahoma","KAY",46562,919.73
40073,"Oklahoma","KINGFISHER",15034,898.16
40075,"Oklahoma","KIOWA",9446,1015.23
40077,"Oklahoma","LATIMER",11154,722.08
40079,"Oklahoma","LEFLORE",50384,1589.21
40081,"Oklahoma","LINCOLN",34273,952.31
40083,"Oklahoma","LOGAN",41848,743.83
40085,"Oklahoma","LOVE",9423,514
40087,"Oklahoma","MCCLAIN",34506,570.7
40089,"Oklahoma","MCCURTAIN",33151,1850.01
40091,"Oklahoma","MCINTOSH",20252,618.5
40093,"Oklahoma","MAJOR",7527,954.99
40095,"Oklahoma","MARSHALL",15840,371.08
40097,"Oklahoma","MAYES",41259,655.39
40099,"Oklahoma","MURRAY",13488,416.46
40101,"Oklahoma","MUSKOGEE",70990,810.45
40103,"Oklahoma","NOBLE",11561,731.9
40105,"Oklahoma","NOWATA",10536,565.78
40107,"Oklahoma","OKFUSKEE",12191,618.57
40109,"Oklahoma","OKLAHOMA",718633,708.82
40111,"Oklahoma","OKMULGEE",40069,697.35
40113,"Oklahoma","OSAGE",47472,2246.36
40115,"Oklahoma","OTTAWA",31848,470.82
40117,"Oklahoma","PAWNEE",16577,567.95
40119,"Oklahoma","PAYNE",77350,684.7
40121,"Oklahoma","PITTSBURG",45837,1305.46
40123,"Oklahoma","PONTOTOC",37492,720.44
40125,"Oklahoma","POTTAWATOMIE",69442,787.67
40127,"Oklahoma","PUSHMATAHA",11572,1395.84
40129,"Oklahoma","ROGER MILLS",3647,1141.14
40131,"Oklahoma","ROGERS",86905,675.63
40133,"Oklahoma","SEMINOLE",25482,632.84
40135,"Oklahoma","SEQUOYAH",42391,673.27
40137,"Oklahoma","STEPHENS",45048,870.24
40139,"Oklahoma","TEXAS",20640,2041.26
40141,"Oklahoma","TILLMAN",7992,871.13
40143,"Oklahoma","TULSA",603403,570.25
40145,"Oklahoma","WAGONER",73085,561.56
40147,"Oklahoma","WASHINGTON",50976,415.45
40149,"Oklahoma","WASHITA",11629,1003.17
40151,"Oklahoma","WOODS",8878,1286.45
40153,"Oklahoma","WOODWARD",20081,1242.4
