"Fipscode","State","Geographic.area","Population","Land.Area.in.square.miles"
41001,"Oregon","Baker",16134,3068.36
41003,"Oregon","Benton",85579,675.94
41005,"Oregon","Clackamas",375992,1870.32
41007,"Oregon","Clatsop",37039,829.05
41009,"Oregon","Columbia",49351,657.36
41011,"Oregon","Coos",63043,1596.17
41013,"Oregon","Crook",20978,2979.09
41015,"Oregon","Curry",22364,1627.46
41017,"Oregon","Deschutes",157733,3018.19
41019,"Oregon","Douglas",107667,5036.07
41021,"Oregon","Gilliam",1871,1204.81
41023,"Oregon","Grant",7445,4528.54
41025,"Oregon","Harney",7422,10133.17
41027,"Oregon","Hood River",22346,521.95
41029,"Oregon","Jackson",203206,2783.55
41031,"Oregon","Jefferson",21720,1780.78
41033,"Oregon","Josephine",82713,1639.67
41035,"Oregon","Klamath",66380,5941.05
41037,"Oregon","Lake",7895,8138.98
41039,"Oregon","Lane",351715,4553.12
41041,"Oregon","Lincoln",46034,979.77
41043,"Oregon","Linn",116672,2290.13
41045,"Oregon","Malheur",31313,9887.53
41047,"Oregon","Marion",315335,1182.33
41049,"Oregon","Morrow",11173,2031.61
41051,"Oregon","Multnomah",735334,431.3
41053,"Oregon","Polk",75403,740.79
41055,"Oregon","Sherman",1765,823.69
41057,"Oregon","Tillamook",25250,1102.58
41059,"Oregon","Umatilla",75889,3215.51
41061,"Oregon","Union",25748,2036.61
41063,"Oregon","Wallowa",7008,3146.19
41065,"Oregon","Wasco",25213,2381.52
41067,"Oregon","Washington",529710,724.23
41069,"Oregon","Wheeler",1441,1714.75
41071,"Oregon","Yamhill",99193,715.86
