"Fipscode","State","Geographic.area","Population","Land.Area.in.square.miles"
42001,"Pennsylvania","ADAMS",101407,518.67
42003,"Pennsylvania","ALLEGHENY",1223348,730.07
42005,"Pennsylvania","ARMSTRONG",68941,653.2
42007,"Pennsylvania","BEAVER",170539,434.71
42009,"Pennsylvania","BEDFORD",49762,1012.3
42011,"Pennsylvania","BERKS",411442,856.51
42013,"Pennsylvania","BLAIR",127089,525.8
42015,"Pennsylvania","BRADFORD",62622,1147.4
42017,"Pennsylvania","BUCKS",625249,604.31
42019,"Pennsylvania","BUTLER",183862,788.6
42021,"Pennsylvania","CAMBRIA",143679,688.35
42023,"Pennsylvania","CAMERON",5085,396.23
42025,"Pennsylvania","CARBON",65249,381.46
42027,"Pennsylvania","CENTRE",153990,1109.92
42029,"Pennsylvania","CHESTER",498886,750.51
42031,"Pennsylvania","CLARION",39988,600.83
42033,"Pennsylvania","CLEARFIELD",81642,1144.72
42035,"Pennsylvania","CLINTON",39238,887.98
42037,"Pennsylvania","COLUMBIA",67295,483.11
42039,"Pennsylvania","CRAWFORD",88765,1012.3
42041,"Pennsylvania","CUMBERLAND",235406,545.46
42043,"Pennsylvania","DAUPHIN",268100,525.05
42045,"Pennsylvania","DELAWARE",558979,183.84
42047,"Pennsylvania","ELK",31946,827.36
42049,"Pennsylvania","ERIE",280566,799.15
42051,"Pennsylvania","FAYETTE",136606,790.34
42053,"Pennsylvania","FOREST",7716,427.19
42055,"Pennsylvania","FRANKLIN",149618,772.22
42057,"Pennsylvania","FULTON",14845,437.55
42059,"Pennsylvania","GREENE",38686,575.95
42061,"Pennsylvania","HUNTINGDON",45913,874.64
42063,"Pennsylvania","INDIANA",88880,827.03
42065,"Pennsylvania","JEFFERSON",45200,652.43
42067,"Pennsylvania","JUNIATA",24636,391.35
42069,"Pennsylvania","LACKAWANNA",214437,459.08
42071,"Pennsylvania","LANCASTER",519445,943.81
42073,"Pennsylvania","LAWRENCE",91108,358.18
42075,"Pennsylvania","LEBANON",133568,361.83
42077,"Pennsylvania","LEHIGH",349497,345.17
42079,"Pennsylvania","LUZERNE",320918,890.33
42081,"Pennsylvania","LYCOMING",116111,1228.59
42083,"Pennsylvania","McKEAN",43450,979.2
42085,"Pennsylvania","MERCER",116638,672.57
42087,"Pennsylvania","MIFFLIN",46682,411.03
42089,"Pennsylvania","MONROE",169842,608.29
42091,"Pennsylvania","MONTGOMERY",799874,483.04
42093,"Pennsylvania","MONTOUR",18267,130.24
42095,"Pennsylvania","NORTHAMPTON",297735,369.67
42097,"Pennsylvania","NORTHUMBERLAND",94528,458.37
42099,"Pennsylvania","PERRY",45969,551.45
42101,"Pennsylvania","PHILADELPHIA",1526006,134.1
42103,"Pennsylvania","PIKE",57369,544.96
42105,"Pennsylvania","POTTER",17457,1081.32
42107,"Pennsylvania","SCHUYLKILL",148289,778.63
42109,"Pennsylvania","SNYDER",39702,328.71
42111,"Pennsylvania","SOMERSET",77742,1074.37
42113,"Pennsylvania","SULLIVAN",6428,449.94
42115,"Pennsylvania","SUSQUEHANNA",43356,823.43
42117,"Pennsylvania","TIOGA",41981,1133.79
42119,"Pennsylvania","UNION",44947,315.98
42121,"Pennsylvania","VENANGO",54984,674.28
42123,"Pennsylvania","WARREN",41815,884.13
42125,"Pennsylvania","WASHINGTON",207820,856.99
42127,"Pennsylvania","WAYNE",52822,725.6
42129,"Pennsylvania","WESTMORELAND",365169,1027.55
42131,"Pennsylvania","WYOMING",28276,397.32
42133,"Pennsylvania","YORK",434972,904.18
