"Fipscode","State","Geographic.area","Population","Land.Area.in.square.miles"
45001,"South Carolina","Abbeville",25417,490.48
45003,"South Carolina","Aiken",160099,1071.03
45005,"South Carolina","Allendale",10419,408.09
45007,"South Carolina","Anderson",187126,715.43
45009,"South Carolina","Bamberg",15987,393.37
45011,"South Carolina","Barnwell",22621,548.39
45013,"South Carolina","Beaufort",162233,576.28
45015,"South Carolina","Berkeley",177843,1098.86
45017,"South Carolina","Calhoun",15175,381.15
45019,"South Carolina","Charleston",350209,916.09
45021,"South Carolina","Cherokee",55342,392.66
45023,"South Carolina","Chester",33140,580.66
45025,"South Carolina","Chesterfield",46734,799.08
45027,"South Carolina","Clarendon",34971,606.94
45029,"South Carolina","Colleton",38892,1056.49
45031,"South Carolina","Darlington",68681,561.15
45033,"South Carolina","Dillon",32062,404.87
45035,"South Carolina","Dorchester",136555,573.23
45037,"South Carolina","Edgefield",26985,500.41
45039,"South Carolina","Fairfield",23956,686.28
45041,"South Carolina","Florence",136885,799.96
45043,"South Carolina","Georgetown",60158,813.55
45045,"South Carolina","Greenville",451225,785.12
45047,"South Carolina","Greenwood",69661,454.73
45049,"South Carolina","Hampton",21090,559.9
45051,"South Carolina","Horry",269291,1133.9
45053,"South Carolina","Jasper",24777,655.32
45055,"South Carolina","Kershaw",61697,726.56
45057,"South Carolina","Lancaster",76652,549.16
45059,"South Carolina","Laurens",66537,713.8
45061,"South Carolina","Lee",19220,410.18
45063,"South Carolina","Lexington",262391,698.91
45065,"South Carolina","McCormick",10233,359.13
45067,"South Carolina","Marion",33062,489.23
45069,"South Carolina","Marlboro",28933,479.67
45071,"South Carolina","Newberry",37508,630.04
45073,"South Carolina","Oconee",74273,626.33
45075,"South Carolina","Orangeburg",92501,1106.1
45077,"South Carolina","Pickens",119224,496.41
45079,"South Carolina","Richland",384504,757.07
45081,"South Carolina","Saluda",19875,452.78
45083,"South Carolina","Spartanburg",284307,807.93
45085,"South Carolina","Sumter",107456,665.07
45087,"South Carolina","Union",28961,514.17
45089,"South Carolina","Williamsburg",34423,934.16
45091,"South Carolina","York",226073,680.59
