"Fipscode","State","Geographic.area","Population","Land.Area.in.square.miles"
48001,"Texas","ANDERSON",58458,1062.6
48003,"Texas","ANDREWS",14786,1500.71
48005,"Texas","ANGELINA",86771,797.78
48007,"Texas","ARANSAS",23158,252.07
48009,"Texas","ARCHER",9054,903.11
48011,"Texas","ARMSTRONG",1901,909.11
48013,"Texas","ATASCOSA",44911,1219.54
48015,"Texas","AUSTIN",28417,646.51
48017,"Texas","BAILEY",7165,826.8
48019,"Texas","BANDERA",20485,790.96
48021,"Texas","BASTROP",74171,888.15
48023,"Texas","BAYLOR",3726,867.48
48025,"Texas","BEE",31861,880.24
48027,"Texas","BELL",310235,1051.02
48029,"Texas","BEXAR",1714773,1239.82
48031,"Texas","BLANCO",10497,709.25
48033,"Texas","BORDEN",641,897.44
48035,"Texas","BOSQUE",18212,982.98
48037,"Texas","BOWIE",92565,885.01
48039,"Texas","BRAZORIA",313166,1357.7
48041,"Texas","BRAZOS",194851,585.45
48043,"Texas","BREWSTER",9232,6183.73
48045,"Texas","BRISCOE",1637,900
48047,"Texas","BROOKS",7223,943.36
48049,"Texas","BROWN",38106,944.43
48051,"Texas","BURLESON",17187,659.03
48053,"Texas","BURNET",42750,994.26
48055,"Texas","CALDWELL",38066,545.26
48057,"Texas","CALHOUN",21381,506.84
48059,"Texas","CALLAHAN",13544,899.37
48061,"Texas","CAMERON",406220,890.92
48063,"Texas","CAMP",12401,195.83
48065,"Texas","CARSON",6182,920.22
48067,"Texas","CASS",30464,936.96
48069,"Texas","CASTRO",8062,894.43
48071,"Texas","CHAMBERS",35096,597.14
48073,"Texas","CHEROKEE",50845,1052.91
48075,"Texas","CHILDRESS",7041,696.4
48077,"Texas","CLAY",10752,1088.72
48079,"Texas","COCHRAN",3127,775.15
48081,"Texas","COKE",3320,911.47
48083,"Texas","COLEMAN",8895,1261.95
48085,"Texas","COLLIN",782341,841.22
48087,"Texas","COLLINGSWORTH",3057,918.44
48089,"Texas","COLORADO",20874,960.27
48091,"Texas","COMAL",108472,559.48
48093,"Texas","COMANCHE",13974,937.75
48095,"Texas","CONCHO",4087,983.8
48097,"Texas","COOKE",38437,874.76
48099,"Texas","CORYELL",75388,1052.07
48101,"Texas","COTTLE",1505,900.56
48103,"Texas","CRANE",4375,785.07
