"Fipscode","State","Geographic.area","Population","Land.Area.in.square.miles"
49001,"Utah","Beaver",6629,2589.88
49003,"Utah","Box Elder",49975,5745.55
49005,"Utah","Cache",112656,1164.81
49007,"Utah","Carbon",21403,1478.49
49009,"Utah","Daggett",1059,696.98
49011,"Utah","Davis",306479,298.78
49013,"Utah","Duchesne",18607,3240.94
49015,"Utah","Emery",10976,4462.31
49017,"Utah","Garfield",5172,5175.12
49019,"Utah","Grand",9225,3671.54
49021,"Utah","Iron",46163,3296.68
49023,"Utah","Juab",10246,3392.28
49025,"Utah","Kane",7125,3990.23
49027,"Utah","Millard",12503,6572.42
49029,"Utah","Morgan",9469,609.2
49031,"Utah","Piute",1556,757.79
49033,"Utah","Rich",2264,1028.77
49035,"Utah","Salt Lake",1029655,742.28
49037,"Utah","San Juan",14746,7819.99
49039,"Utah","Sanpete",27822,1590.15
49041,"Utah","Sevier",20802,1910.58
49043,"Utah","Summit",36324,1871.71
49045,"Utah","Tooele",58218,6941.35
49047,"Utah","Uintah",32588,4479.69
49049,"Utah","Utah",516564,2003.45
49051,"Utah","Wasatch",23530,1175.5
49053,"Utah","Washington",138115,2426.36
49055,"Utah","Wayne",2778,2460.68
49057,"Utah","Weber",231236,576.08
