"Fipscode","State","Geographic.area","Population","Land.Area.in.square.miles"
51001,"Virginia","ACCOMACK COUNTY",33164,449.5
51003,"Virginia","ALBEMARLE COUNTY",98970,720.7
51005,"Virginia","ALLEGHANY COUNTY",16250,445.46
51007,"Virginia","AMELIA COUNTY",12690,355.27
51009,"Virginia","AMHERST COUNTY",32353,473.93
51011,"Virginia","APPOMATTOX COUNTY",14973,333.49
51013,"Virginia","ARLINGTON COUNTY",207627,25.97
51015,"Virginia","AUGUSTA COUNTY",73750,967
51017,"Virginia","BATH COUNTY",4731,529.16
51019,"Virginia","BEDFORD COUNTY",68676,753.02
51021,"Virginia","BLAND COUNTY",6824,357.72
51023,"Virginia","BOTETOURT COUNTY",33148,541.2
51025,"Virginia","BRUNSWICK COUNTY",17434,566.17
51027,"Virginia","BUCHANAN COUNTY",24098,502.76
51029,"Virginia","BUCKINGHAM COUNTY",17146,579.66
51031,"Virginia","CAMPBELL COUNTY",54842,503.87
51033,"Virginia","CAROLINE COUNTY",28545,527.51
51035,"Virginia","CARROLL COUNTY",30042,474.69
51036,"Virginia","CHARLES CITY COUNTY",7256,182.82
51037,"Virginia","CHARLOTTE COUNTY",12586,475.27
51041,"Virginia","CHESTERFIELD COUNTY",316236,423.3
51043,"Virginia","CLARKE COUNTY",14034,176.18
51045,"Virginia","CRAIG COUNTY",5190,329.53
51047,"Virginia","CULPEPER COUNTY",46689,379.23
51049,"Virginia","CUMBERLAND COUNTY",10052,297.46
51051,"Virginia","DICKENSON COUNTY",15903,330.53
51053,"Virginia","DINWIDDIE COUNTY",28001,503.72
51057,"Virginia","ESSEX COUNTY",11151,257.12
51059,"Virginia","FAIRFAX COUNTY",1081726,390.97
51061,"Virginia","FAUQUIER COUNTY",65203,647.45
51063,"Virginia","FLOYD COUNTY",15279,380.42
51065,"Virginia","FLUVANNA COUNTY",25691,286.01
51067,"Virginia","FRANKLIN COUNTY",56159,690.43
51069,"Virginia","FREDERICK COUNTY",78305,413.5
51071,"Virginia","GILES COUNTY",17286,355.78
51073,"Virginia","GLOUCESTER COUNTY",36858,217.81
51075,"Virginia","GOOCHLAND COUNTY",21717,281.42
51077,"Virginia","GRAYSON COUNTY",15533,442.17
51079,"Virginia","GREENE COUNTY",18403,156.25
51081,"Virginia","GREENSVILLE COUNTY",12243,295.23
51083,"Virginia","HALIFAX COUNTY",36241,817.84
51085,"Virginia","HANOVER COUNTY",99863,468.54
51087,"Virginia","HENRICO COUNTY",306935,233.7
51089,"Virginia","HENRY COUNTY",54151,382.33
51091,"Virginia","HIGHLAND COUNTY",2321,415.16
51093,"Virginia","ISLE OF WIGHT COUNTY",35270,315.61
51095,"Virginia","JAMES CITY COUNTY",67009,142.44
51097,"Virginia","KING & QUEEN COUNTY",6945,315.14
51099,"Virginia","KING GEORGE COUNTY",23584,179.64
51101,"Virginia","KING WILLIAM COUNTY",15935,273.94
51103,"Virginia","LANCASTER COUNTY",11391,133.25
51105,"Virginia","LEE COUNTY",25587,435.52
51107,"Virginia","LOUDOUN COUNTY",312311,515.56
51109,"Virginia","LOUISA COUNTY",33153,496.3
51111,"Virginia","LUNENBURG COUNTY",12914,431.68
51113,"Virginia","MADISON COUNTY",13308,320.68
51115,"Virginia","MATHEWS COUNTY",8978,85.93
51117,"Virginia","MECKLENBURG COUNTY",32727,625.49
51119,"Virginia","MIDDLESEX COUNTY",10959,130.31
51121,"Virginia","MONTGOMERY COUNTY",94392,387.01
51125,"Virginia","NELSON COUNTY",15020,470.86
51127,"Virginia","NEW KENT COUNTY",18429,209.73
51131,"Virginia","NORTHAMPTON COUNTY",12389,211.61
51133,"Virginia","NORTHUMBERLAND COUNTY",12330,191.3
51135,"Virginia","NOTTOWAY COUNTY",15853,314.39
51137,"Virginia","ORANGE COUNTY",33481,340.78
51139,"Virginia","PAGE COUNTY",24042,310.86
51141,"Virginia","PATRICK COUNTY",18490,483.1
51143,"Virginia","PITTSYLVANIA COUNTY",63506,968.94
51145,"Virginia","POWHATAN COUNTY",28046,260.22
51147,"Virginia","PRINCE EDWARD COUNTY",23368,349.96
51149,"Virginia","PRINCE GEORGE COUNTY",35725,265.16
51153,"Virginia","PRINCE WILLIAM COUNTY",402002,336.4
51155,"Virginia","PULASKI COUNTY",34872,319.86
51157,"Virginia","RAPPAHANNOCK COUNTY",7373,266.23
51159,"Virginia","RICHMOND COUNTY",9254,191.49
51161,"Virginia","ROANOKE COUNTY",92376,250.52
51163,"Virginia","ROCKBRIDGE COUNTY",22307,597.56
51165,"Virginia","ROCKINGHAM COUNTY",76314,849.09
51167,"Virginia","RUSSELL COUNTY",28897,473.82
51169,"Virginia","SCOTT COUNTY",23177,535.53
51171,"Virginia","SHENANDOAH COUNTY",41993,508.78
51173,"Virginia","SMYTH COUNTY",32208,450.93
51175,"Virginia","SOUTHAMPTON COUNTY",18570,599.14
51177,"Virginia","SPOTSYLVANIA COUNTY",122397,401.5
51179,"Virginia","STAFFORD COUNTY",128961,268.96
51181,"Virginia","SURRY COUNTY",7058,278.95
51183,"Virginia","SUSSEX COUNTY",12087,490.22
51185,"Virginia","TAZEWELL COUNTY",45078,518.85
51187,"Virginia","WARREN COUNTY",37575,213.47
51191,"Virginia","WASHINGTON COUNTY",54876,560.97
51193,"Virginia","WESTMORELAND COUNTY",17454,229.37
