"Fipscode","State","Geographic.area","Population","Land.Area.in.square.miles"
56001,"Wyoming","Albany",36299,4273.84
56003,"Wyoming","Big Horn",11668,3137.1
56005,"Wyoming","Campbell",46133,4802.71
56007,"Wyoming","Carbon",15885,7897.58
56009,"Wyoming","Converse",13833,4254.88
56011,"Wyoming","Crook",7083,2854.41
56013,"Wyoming","Fremont",40123,9183.81
56015,"Wyoming","Goshen",13249,2225.39
56017,"Wyoming","Hot Springs",4812,2004.09
56019,"Wyoming","Johnson",8569,4154.15
56021,"Wyoming","Laramie",91738,2685.91
56023,"Wyoming","Lincoln",18106,4076.13
56025,"Wyoming","Natrona",75450,5340.35
56027,"Wyoming","Niobrara",2484,2626.04
56029,"Wyoming","Park",28205,6942.08
56031,"Wyoming","Platte",8667,2084.21
56033,"Wyoming","Sheridan",29116,2523.99
56035,"Wyoming","Sublette",10247,4886.54
56037,"Wyoming","Sweetwater",43806,10426.65
56039,"Wyoming","Teton",21294,3995.38
56041,"Wyoming","Uinta",21118,2081.26
56043,"Wyoming","Washakie",8533,2238.55
56045,"Wyoming","Weston",7208,2398.09
