year,congress,statabb,district,name,party,aauw,age,bday,srvlng,female,white,rgroup,ngirls,nboys,demvote
1997-1998,105,HI,1,"ABERCROMBIE, NEIL",1,100,58,26jun1938,7,0,1,0,0,0,.56999999
1997-1998,105,NY,5,"ACKERMAN, GARY L.",1,88,54,19nov1942,15,0,1,4,1,2,.60000002
1997-1998,105,AL,4,"ADERHOLT, ROBERT B.",2,0,31,22jul1965,1,0,1,1,0,0,.43000001
1997-1998,105,ME,1,"ALLEN, THOMAS H.",1,100,51,16apr1945,1,0,1,1,2,0,.51999998
1997-1998,105,NJ,1,"ANDREWS, ROBERT E.",1,100,39,04aug1957,7,0,1,1,2,0,.58999997
1997-1998,105,TX,7,"ARCHER, W.R.",2,0,68,22mar1928,27,0,1,2,3,4,.28
1997-1998,105,TX,26,"ARMEY, RICHARD K.",2,0,56,07jul1940,13,0,1,1,1,4,.30000001
1997-1998,105,AL,6,"BACHUS, SPENCER",2,0,49,28dec1947,5,0,1,1,2,3,.27000001
1997-1998,105,KY,6,"BAESLER, SCOTTY",1,75,55,09sep1941,5,0,1,1,1,1,.46000001
1997-1998,105,LA,6,"BAKER, RICHARD H.",2,0,48,22may1948,11,0,1,1,1,1,.5
1997-1998,105,ME,2,"BALDACCI, JOHN E.",1,100,41,30jan1955,3,0,1,2,0,1,.50999999
1997-1998,105,NC,10,"BALLENGER, CASS",2,0,70,06dec1926,11,0,1,1,3,0,.31
1997-1998,105,MI,5,"BARCIA, JAMES A.",1,63,44,25feb1952,5,0,1,2,0,0,.56999999
1997-1998,105,GA,7,"BARR, BOB",2,0,48,05nov1948,3,0,1,1,1,3,.40000001
1997-1998,105,WI,5,"BARRETT, THOMAS M.",1,88,43,08dec1953,5,0,1,2,1,1,.63
1997-1998,105,NE,3,"BARRETT, WILLIAM E.",2,38,67,09feb1929,7,0,1,1,2,2,.28999999
1997-1998,105,MD,6,"BARTLETT, ROSCOE G.",2,0,70,03jun1926,5,0,1,1,4,6,.38
1997-1998,105,TX,6,"BARTON, JOE L.",2,0,47,15sep1949,13,0,1,1,2,1,.33000001
1997-1998,105,NH,2,"BASS, CHARLES F.",2,25,45,08jan1952,3,0,1,1,1,1,.5
1997-1998,105,VA,1,"BATEMAN, HERBERT H.",2,13,68,07aug1928,15,0,1,1,1,1,.40000001
1997-1998,105,CA,30,"BECERRA, XAVIER",1,100,38,26jan1958,5,0,0,2,2,0,.70999998
1997-1998,105,TX,25,"BENTSEN, KENNETH",1,100,37,03jun1959,3,0,1,1,2,0,.50999999
1997-1998,105,NE,1,"BEREUTER, DOUGLAS K.",2,13,57,06oct1939,19,0,1,1,0,2,.38
1997-1998,105,CA,26,"BERMAN, HOWARD L.",1,100,55,15apr1941,15,0,1,4,2,0,.64999998
1997-1998,105,AR,1,"BERRY, ROBERT M.",1,63,54,27aug1942,1,0,1,1,1,1,.57999998
1997-1998,105,CA,49,"BILBRAY, BRIAN P.",2,25,45,28jan1951,3,0,1,2,3,2,.49000001
1997-1998,105,FL,9,"BILIRAKIS, MICHAEL",2,0,66,16jul1930,15,0,1,2,0,2,.44
1997-1998,105,GA,2,"BISHOP, SANFORD D., JR.",1,88,49,04feb1947,5,0,0,1,0,0,.49000001
1997-1998,105,IL,5,"BLAGOJEVICH, ROD R.",1,100,40,10dec1956,1,0,1,2,1,0,.63
1997-1998,105,VA,7,"BLILEY, THOMAS J.",2,0,64,28jan1932,17,0,1,2,1,1,.34999999
1997-1998,105,OR,3,"BLUMENAUER, EARL",1,100,48,16aug1948,1,0,1,0,1,1,.57999998
1997-1998,105,MO,7,"BLUNT, ROY",2,13,47,10jan1950,1,0,1,1,1,2,.37
1997-1998,105,NY,23,"BOEHLERT, SHERWOOD L.",2,88,60,28sep1936,15,0,1,2,3,1,.46000001
1997-1998,105,OH,8,"BOEHNER, JOHN A.",2,0,47,17nov1949,7,0,1,2,2,0,.37
1997-1998,105,TX,23,"BONILLA, HENRY",2,13,43,02jan1954,5,0,0,1,1,1,.5
1997-1998,105,MI,10,"BONIOR, DAVID E.",1,75,51,06jun1945,21,0,1,2,1,2,.49000001
1997-1998,105,CA,44,"BONO, SONNY",2,0,61,16feb1935,3,0,1,2,3,1,.44
1997-1998,105,PA,3,"BORSKI, ROBERT A., JR.",1,63,48,20oct1948,15,0,1,2,4,1,.61000001
1997-1998,105,IA,3,"BOSWELL, LEONARD L.",1,88,63,10jan1934,1,0,1,3,2,1,.5
1997-1998,105,VA,9,"BOUCHER, FREDERICK C.",1,88,50,01aug1946,15,0,1,1,0,0,.46000001
